neuron_id,type,totalstrength,avgrelatedness,strengthimbalance,richclubscore,total_3node_motifs,as_source,as_target,kmeanscluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,leiden,hdbscan_cluster,leidenrole,symbolicrole,latentarchetype,multifunctionality_score,functional_types,PCA1,PCA2,pca_distance,is_novel_candidate,composite_score
RMDL,Unknown,532.0,14.897199453551911,26.0,0.1744186046511628,1711,268,280,3,0.5189992,0.29589847,-0.33813733,0.05269886,-0.10330761,-0.78359854,-0.010713024,0.40019304,-0.11230971,0.54672396,0.343753,-0.08899929,-0.63862073,-0.9723306,-0.07419267,-0.27047926,-0.92597806,-0.13878271,-0.34291154,0.088009,0.7691038,0.19054444,-0.58043224,-0.46221256,0.7207043,0.06732773,0.05347594,-0.0037425258,-0.2542332,-0.667396,0.5775245,0.5507804,-0.15084441,-0.6451297,0.082109734,0.12859607,0.12000008,0.042152155,0.32220277,0.47440165,-0.16138425,0.10981409,0.13548277,-0.3808839,0.5992539,-0.32832542,0.5017096,-0.6062885,-0.44767916,0.23554938,0.7015965,0.60269964,-0.71762687,0.00652699,0.20227163,-0.11591598,0.37849906,0.037750028,0.3032465,-0.5563691,-0.40092808,0.23187573,-0.30283892,0.29607913,3,6,🧩 Integrative Hub,Motor 🦴,-1,0.75,"['Unknown', 'Sensory', 'Interneuron']",7.168897033803944,8.00898899690141,10.74881339654619,True,0.7480527160063231
DVA,Unknown,215.0,14.675,97.0,0.2095238095238095,2080,295,178,3,0.4115015,-0.2064485,-0.15802881,0.045541286,-0.39976415,-0.6882684,0.2599167,0.595862,0.04368041,0.977441,0.068550326,-0.27839932,-0.42390066,-0.5164982,-0.13474834,-0.57436466,-0.9024378,-0.02361073,-0.22830707,-0.055973064,0.6807554,0.12593274,-0.848031,-0.6453899,0.41845822,-0.04444389,-0.19165897,0.23534535,-0.3350797,-0.35240194,-0.008068238,0.26134256,0.03720761,-0.65900344,0.10008623,0.17349514,-0.37121996,0.06388002,0.21413547,0.7512616,-0.26434538,-0.24593742,-0.21566565,-0.49219695,1.0032772,-0.38071975,0.4291611,-0.1694987,-0.6912569,0.33098763,0.3313546,0.1478292,-0.37575462,0.33422825,-0.3652657,-0.011618755,-0.048055194,0.16457775,0.27994677,0.010557945,-0.56407464,0.2560939,-0.16244599,0.5508753,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",6.903230299549357,8.002513478118646,10.568576561490525,True,0.7430549477661575
RIAR,Unknown,1247.0,15.579835953520163,155.0,0.2205882352941176,1770,180,198,3,0.63106483,-0.10020826,-0.50047684,0.21587099,0.025219692,-0.82657874,0.009964618,0.55670387,0.08283706,0.77094734,0.3830829,-0.3888593,-0.5598293,-0.85975546,-0.24977838,-0.05802938,-1.1869832,0.19017084,-0.23693998,-0.090384275,0.5199773,-0.20908296,-0.8630764,-0.1884572,0.66139877,-0.09553543,-0.3028602,-0.03283335,-0.054877084,-0.6230928,-0.046622332,0.53565013,0.1177972,-0.53570914,0.36194843,0.23269212,-0.06258643,-0.0039396747,-0.06345756,0.2671298,-0.43593386,0.15643348,-0.04938883,-0.081424676,1.0613023,-0.18197466,0.33649445,-0.43362254,-0.75806457,0.36305478,0.4024698,0.39859277,-0.6474834,0.14653555,0.132031,-0.48239234,0.09215976,0.4445719,0.08787057,0.02205347,-0.13130666,-0.063088104,0.13681088,0.036749363,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Sensory', 'Interneuron']",6.289764098224125,8.480315790374876,10.558261614290045,True,0.7427689256802636
RIBR,Interneuron,448.0,13.721916971916972,166.0,0.1764705882352941,1596,269,250,3,0.36625472,-0.00044679723,-0.13600133,-0.09525264,-0.20096716,-1.0191077,0.018696621,0.48702037,-0.17795165,0.86630607,0.5041747,-0.16288097,-0.33042955,-0.765901,0.10664255,-0.39777598,-0.77366114,-0.20594831,-0.49686137,-0.3179435,0.5545659,-0.18554075,-0.85372937,-0.614479,0.6493782,-0.300229,-0.3350444,-0.29938546,-0.26578972,-0.6106492,0.50240594,0.53412783,-0.11751936,-0.22944573,0.14100553,0.7411135,-0.2365351,-0.022393422,-0.0068478305,0.453944,-0.30524474,-0.019479576,-0.17496291,-0.4298177,0.7391446,-0.20314722,0.4612585,-0.19671597,-0.4938106,0.5648505,0.3693654,0.640717,-0.71189356,0.11664386,0.055504803,-0.06883236,-0.27034864,-0.306929,0.26836488,-0.22027922,-0.11531228,0.23421653,-0.012604809,0.10108166,3,6,🧩 Integrative Hub,Relay 🧠,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.029535370624019,7.821455656143157,10.516155956806077,True,0.7416013823329801
RMDR,Unknown,545.0,15.576151826211508,33.0,0.1744186046511628,1596,226,278,3,0.5438957,0.23866864,-0.37370348,0.07301374,-0.2909868,-0.7077883,-0.005039739,0.26900506,0.25912812,0.954072,0.021581277,-0.24473171,-0.5856001,-0.6898171,-0.3146104,-0.34912956,-0.7665128,0.07111009,-0.5752061,0.23363318,0.6578013,0.13931087,-0.52152073,-0.35041413,0.819819,-0.011516583,-0.1832753,-0.0021987264,-0.43326566,-0.5165958,0.5850445,0.5529515,-0.20600228,-0.6629579,0.013884842,0.2873918,0.060146555,0.016991347,0.32495704,0.031463474,-0.23482607,0.029157775,-0.22398093,-0.6405641,0.58583266,-0.11868628,0.43346858,-0.7255384,-0.81198776,0.30342454,0.16923873,0.5826855,-0.6907343,0.32429928,-0.16627964,-0.08308034,0.51172286,-0.03471176,0.51047987,-0.3109106,-0.4414147,-0.002518188,0.05393848,0.028808158,3,6,🧩 Integrative Hub,Motor 🦴,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",6.7678652907591506,8.002782109710777,10.480864567838347,True,0.7406227911205914
RIR,Unknown,321.0,14.543735224586287,81.0,0.1163262349703027,1326,330,265,3,0.388698,-0.31336397,-0.33489147,-0.054888766,-0.20578688,-0.626332,-0.31470138,0.42867255,-0.043015532,0.9258776,0.04840363,-0.40843228,-0.62550884,-0.4577501,-0.04929722,-0.37798044,-0.69059646,-0.01800344,-0.15524317,-0.22311856,0.6264944,-0.08272031,-0.8898579,-0.46420988,0.55985665,-0.23132616,-0.1988497,0.17122419,0.13991554,-0.4801937,-0.029217234,0.5188539,-0.07412882,-0.85781425,0.006978242,0.34994337,-0.6303506,0.11760709,0.1731834,0.37907568,-0.16239843,-0.3864214,-0.12237755,-0.46389452,1.2159216,-0.5642823,0.60527116,-0.097802,-0.562298,0.61046463,0.6598622,0.20186289,-0.5430079,0.45966947,0.36670718,0.071357645,-0.052221604,-0.09663517,0.059546962,-0.11855649,-0.4651783,0.22094049,-0.0254854,0.025734415,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",6.975610003796718,7.699450504628462,10.389450081611265,True,0.7380879684478804
ASHL,Sensory,261.0,14.040372670807454,135.0,0.1462747778537252,1326,338,231,3,0.3696079,-0.027753524,-0.33308813,-0.11075847,0.058473963,-0.3955458,0.17317021,0.6067955,-0.18065841,0.6117297,0.14332755,-0.08550282,-0.78697824,-0.64210325,-0.096754104,-0.38393986,-0.9748654,-0.036159027,-0.2580327,-0.3346546,0.37249276,-0.13567232,-0.62270814,-0.74812806,0.76986575,0.062700815,-0.2880199,-0.112207025,-0.43103635,-0.1404262,0.16329679,0.5276285,-0.19570732,-1.1005038,0.1321438,0.32648775,-0.7558102,0.2809853,-0.08112,0.21163116,-0.149078,-0.22493011,-0.5112078,-0.5172557,0.8615439,-0.5137922,0.23968299,-0.3006066,-0.55234337,0.29950935,0.49731085,-0.2062879,-0.6793605,0.1989356,-0.31447545,-0.19174379,-0.031232366,0.07692506,0.27574605,-0.15743658,-0.13486402,-0.00209329,0.16703734,0.028297367,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.016163099612353,7.56645363306454,10.318806385511728,True,0.7361290968297389
AIAL,Unknown,421.0,14.444182389937106,141.0,0.0923857216230097,990,287,308,3,0.26142597,-0.046452582,-0.21329167,-0.097951606,-0.36031738,-0.53091854,0.08043436,0.46255672,-0.06950612,0.37791333,0.41767967,-0.17717232,-0.7460832,-0.8647083,-0.39966357,-0.33266675,-1.1757896,-0.24771626,-0.5792146,-0.5229237,0.14652187,-0.29600903,-0.6843391,-0.64133734,0.704257,0.015569794,-0.44448054,-0.22522615,-0.20766263,-0.3072732,0.23577939,0.59923923,-0.21397416,-1.2423868,0.24966541,0.14147761,-0.5109165,0.34306863,-0.18592528,0.17550936,-0.3927078,-0.51880854,-0.46111456,-0.55809784,0.63473254,-0.648462,0.14912847,-0.16694596,-0.36281502,0.035262745,0.6258092,-0.09357074,-0.58688545,0.12072975,-0.38111717,-0.18088284,-0.26389518,-0.051228948,0.0059188497,-0.12720293,-0.13478114,0.2206845,0.19195734,0.2784768,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.294220527333187,7.112534573366393,10.187924281162532,True,0.7324998807257144
AIZR,Unknown,501.0,14.83828899321857,85.0,0.1560021152829191,1431,306,220,3,0.49934095,0.022524199,-0.3398375,-0.08906917,-0.02355838,-0.525481,-0.13600533,0.6164194,-0.15247072,0.9789493,0.30830905,-0.26296967,-0.74131954,-0.6060859,-0.56031793,-0.30817726,-0.55611724,-0.12351495,-0.4395244,-0.41216183,0.4988294,-0.27486902,-0.9027955,-0.3359899,0.7999252,0.0892302,-0.20745452,0.033243593,0.10556394,-0.22260228,-0.059559166,0.5509143,-0.23937754,-0.76903856,0.022353081,0.5436531,-0.45317715,0.1176432,-0.053408854,0.5996984,-0.16727822,-0.27554175,-0.49075732,-0.57473403,0.84991616,-0.4833078,0.39726225,-0.16654402,-0.48774463,0.23725644,0.771637,0.26327536,-0.5097802,0.1348251,-0.074657954,-0.031505078,-0.11535527,-0.106655814,-0.39017153,0.00730779,-0.532323,-0.053038035,0.17097712,-0.15574457,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",6.704848137300346,7.63159696420426,10.158556037563192,True,0.7316855317881906
AVEL,Interneuron,436.0,15.90440031152648,378.0,0.2051282051282051,1830,122,253,3,0.36252525,0.12239758,-0.36610073,0.027795285,0.18088186,-0.75306326,-0.10039899,0.1541217,-0.021205861,0.80192864,0.29513925,-0.0006500522,-0.52295494,-0.83610576,-0.2938896,-0.22696027,-0.8628187,-0.14089775,-0.69856805,-0.10445991,0.6563338,-0.0142472545,-0.9188831,-0.72588754,0.65236825,-0.31465012,0.032104902,-0.008157248,-0.10962043,-0.4432047,0.4843604,0.2579587,0.15748313,-0.622741,0.01877357,0.38137755,-0.28227583,0.23492455,0.09109163,0.30096626,-0.37534967,-0.3350978,-0.47677234,-0.3563377,0.92791134,-0.26396897,0.38898483,-0.35135007,-0.7071639,0.115382016,0.23916845,0.402052,-0.46370804,0.506193,0.15460671,0.10295183,0.09986026,-0.122261,0.23198432,0.09758373,-0.19598109,0.2855896,-0.0070063146,0.2920444,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Sensory', 'Interneuron']",6.372552815134484,7.907881731891651,10.155984583843368,True,0.7316142282184845
