neuron,state
ASHL,0.03288818018904596
ASHL,0.06218855890125006
ASHL,0.292804464884708
ASHR,0.2070958740550127
ASHR,0.18596770979344104
ASHR,0.12258321706948581
ASHR,0.0737492525448681
ASIL,0.10185369743826594
ASIL,0.06637432729051011
ASIL,0.008770181383348546
ASIL,0.018337651984171397
ASIR,0.0621885589053803
ASIR,0.05501295595487694
ASIR,0.01455052820380172
ASIR,0.018935618896537335
ASJL,0.056009567478045814
ASJL,0.022722742675874433
ASJL,0.03528004783802332
ASJL,0.032888180188828046
ASJR,0.05262108830542589
ASJR,0.016743073550784138
ASJR,0.01295594977108897
ASJR,0.007972892166880498
ASKL,0.08810045845163163
ASKL,0.035080725535032595
ASKL,0.043053617702819125
ASKL,0.04385090691817204
ASKR,0.09786725135713438
ASKR,0.08869842536093278
ASKR,0.03169224636350871
ASKR,0.06776958341939497
AUAL,0.12477576242100978
AUAL,0.05142515447846446
AUAL,0.06617500499111473
AUAL,0.01893561889659183
AUAR,0.1433127367152082
AUAR,0.06358381503333642
AUAR,0.0195335858082698
AUAR,0.04883396452514452
AVAL,0.3356587602487301
AVAL,0.8921666334760257
AVAL,0.7659956149787016
AVAL,0.3203109428098081
AVAR,0.29998006780523745
AVAR,1.0
AVAR,0.5423559896525352
AVAR,0.3474187761838391
AVBL,0.3739286426405252
AVBL,0.42774566475561815
AVBL,0.20530197330310485
AVBL,0.3595774367290188
AVBR,0.33266892568835527
AVBR,0.36575642816905896
AVBR,0.42057006181001827
AVBR,0.23858879810016878
AVDL,0.1612517440880364
AVDL,0.340641817839228
AVDL,0.12497508471954022
AVDL,0.248554913302238
AVDR,0.20450468409776135
AVDR,0.28622682879114886
AVDR,0.35858082521437085
AVDR,0.1259716962360178
AVEL,0.42993821013247985
AVEL,0.19314331274090824
AVEL,0.3332668925833619
AVEL,0.10623878812615667
AVER,0.36695236200342013
AVER,0.4450867052305164
AVER,0.10603946581924349
AVER,0.22603149294470143
AVFL,0.13115407615516939
AVFL,0.23041658363315765
AVFL,0.09866454056631281
AVFL,0.11461032490267405
AVFR,0.21407215469739263
AVFR,0.18317719754310172
AVFR,0.07713773171670196
AVFR,0.08172214471006958
AVG,0.12716763006349102
AVG,0.08610723540287128
AVG,0.32330077737242396
AVHL,0.1654375124731731
AVHL,0.2702810444740317
AVHL,0.12975882001448474
AVHL,0.1576639425996149
AVHR,0.232210484378369
AVHR,0.3097468606815922
AVHR,0.0990631851763566
AVHR,0.2005182380034941
AVJL,0.18536974289139588
AVJL,0.15268088499264174
AVJL,0.18935618896276551
AVJL,0.24696033486949598
AVJR,0.18277855294021217
AVJR,0.18656567671178687
AVJR,0.1875622882313674
AVJR,0.19712975883808861
AVKL,0.2625074746159712
AVKL,0.23539964122822066
AVKL,0.17440701614915954
AVKL,0.07335060793234792
AVKR,0.27925054816589195
AVKR,0.19433924656804472
AVKR,0.10823201116765824
AVKR,0.08232011162064966
AVL,0.05979669125556789
AVL,0.13254933227619337
AVL,0.12158660554945094
AVL,0.2641020530248166
AVM,0.08092485549846805
AVM,0.016344428941689297
AVM,0.10564082121378852
AVM,0.023918676501378203
AWAL,0.11560693643181852
AWAL,0.0167430735515106
AWAL,0.013354594379893135
AWAL,0.020729519634190594
AWAR,0.0801275662858041
AWAR,0.04923260913344372
AWAR,0.055411600561479854
AWAR,0.015945784334216184
AWBL,0.1620490333071631
AWBL,0.054813633648009646
AWBL,0.07733705402361245
AWBL,0.022324098067377188
AWBR,0.14789714970952816
AWBR,0.07335060793773435
AWBR,0.045644807657061956
AWBR,0.02949970101735301
AWCL,0.11261710187300994
AWCL,0.012158660553852212
AWCL,0.0709587402889461
AWCL,0.058002790513528996
AWCR,0.1245764401212675
AWCR,0.07175602950368906
AWCR,0.08889774766365846
AWCR,0.016942395854114542
BAGL,0.15248156270513202
BAGL,0.10085708591769951
BAGL,0.02471596571708184
BAGL,0.04424955152727319
BAGR,0.20490332870874275
BAGR,0.05581024517237496
BAGR,0.06458042655324688
BAGR,0.015945784332926986
BDUL,0.17819413994117161
