neuron,chem_in,chem_out,gap_deg,pep_in,pep_out,chem_in_z,chem_out_z,gap_deg_z,pep_in_z,pep_out_z,archetype,NT,is_command,is_monoamine,is_sensory,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,cluster,cluster_label
AVJL,19,6,0,6,0,1.284932022531041,-0.48144318920994433,-1.0600687227324,-0.5852204973719661,-0.756431360403864,Wired_receiver,Other,0,0,0,1,4,5,3,5,chem_in+/chem_out+
AVJR,13,7,1,6,0,0.4405662336749252,-0.3570189889717515,-0.6471998517734652,-0.5852204973719661,-0.756431360403864,Quiet,Other,0,0,0,1,1,4,2,4,Baseline
AVKL,10,17,8,0,37,0.01838333924686735,0.8872230134101767,2.2428822449390777,-0.8328423850782745,0.6304720311937563,Electrical_synchronizer,Other,0,0,0,2,0,0,1,0,chem_in+/gap+
AVKR,8,18,9,0,37,-0.26307192370517124,1.0116472136483696,2.6557511158980125,-0.8328423850782745,0.6304720311937563,Multiplex_integrator,Other,0,0,0,2,0,0,1,0,chem_in+/gap+
AVL,5,3,0,6,29,-0.6852548181332291,-0.8547157899245228,-1.0600687227324,-0.5852204973719661,0.33060102760508164,Quiet,GABA,0,0,0,1,1,4,4,4,Baseline
AVM,7,10,4,44,0,-0.4037995551811905,0.01625361174282696,0.5914067611033389,0.9830514581013204,-0.756431360403864,Intermediate,Glu,0,0,1,0,3,2,0,2,pep_in+
AWAL,6,13,2,16,0,-0.5445271866572098,0.38952621245740543,-0.2343309808145305,-0.17251735119478542,-0.756431360403864,Quiet,Other,0,0,1,4,5,1,0,1,Diffuse
AWAR,6,12,2,16,0,-0.5445271866572098,0.2651020122192126,-0.2343309808145305,-0.17251735119478542,-0.756431360403864,Quiet,Other,0,0,1,4,5,1,0,1,Diffuse
AWBL,10,9,4,24,8,0.01838333924686735,-0.10817058849536586,0.5914067611033389,0.1576451657469591,-0.45656035681518936,Intermediate,ACh,0,0,1,4,5,1,0,1,Diffuse
AWBR,5,10,3,24,8,-0.6852548181332291,0.01625361174282696,0.17853789014440422,0.1576451657469591,-0.45656035681518936,Quiet,ACh,0,0,1,4,5,1,0,1,Diffuse
AWCL,11,9,1,2,4,0.15911097072288663,-0.10817058849536586,-0.6471998517734652,-0.7503017558428384,-0.6064958586095267,Quiet,Glu,0,0,1,4,1,4,2,4,Baseline
AWCR,6,16,1,2,4,-0.5445271866572098,0.7627988131719838,-0.6471998517734652,-0.7503017558428384,-0.6064958586095267,Intermediate,Glu,0,0,1,4,5,1,0,1,Diffuse
BAGL,11,7,2,23,61,0.15911097072288663,-0.3570189889717515,-0.2343309808145305,0.11637485112924104,1.5300850419597805,Wireless_modulator,Glu,0,0,1,3,2,3,4,3,chem_out+/pep_out+
BAGR,14,13,4,23,61,0.5812938651509445,0.38952621245740543,0.5914067611033389,0.11637485112924104,1.5300850419597805,Wireless_modulator,Glu,0,0,1,3,2,3,6,3,chem_out+/pep_out+
BDUL,8,13,1,39,35,-0.26307192370517124,0.38952621245740543,-0.6471998517734652,0.7766998850127301,0.5555042802965876,Intermediate,Other,0,0,0,4,5,1,4,1,Diffuse
BDUR,5,10,2,39,35,-0.6852548181332291,0.01625361174282696,-0.2343309808145305,0.7766998850127301,0.5555042802965876,Intermediate,Other,0,0,0,0,5,1,4,1,Diffuse
BWM-DL01,8,0,1,0,0,-0.26307192370517124,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DL02,9,0,1,0,0,-0.12234429222915194,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DL03,10,0,1,0,0,0.01838333924686735,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DL04,10,0,0,0,0,0.01838333924686735,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DL05,6,0,1,0,0,-0.5445271866572098,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DL06,6,0,0,0,0,-0.5445271866572098,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DL07,5,0,1,0,0,-0.6852548181332291,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DL08,4,0,0,0,0,-0.8259824496092484,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DR01,7,0,1,0,0,-0.4037995551811905,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DR02,10,0,2,0,0,0.01838333924686735,-1.2279883906391011,-0.2343309808145305,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DR03,7,0,1,0,0,-0.4037995551811905,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DR04,11,0,0,0,0,0.15911097072288663,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DR05,5,0,2,0,0,-0.6852548181332291,-1.2279883906391011,-0.2343309808145305,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DR06,8,0,1,0,0,-0.26307192370517124,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DR07,2,0,1,0,0,-1.1074377125612869,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DR08,5,0,0,0,0,-0.6852548181332291,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VL01,7,0,1,0,0,-0.4037995551811905,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VL02,8,0,1,0,0,-0.26307192370517124,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VL03,10,0,1,0,0,0.01838333924686735,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VL04,10,0,1,0,0,0.01838333924686735,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VL05,8,0,1,0,0,-0.26307192370517124,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VL06,6,0,1,0,0,-0.5445271866572098,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VL07,4,0,0,0,0,-0.8259824496092484,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VL08,2,0,0,0,0,-1.1074377125612869,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
