wbgene,symbol,motif,rho,p,q_global,q_per_motif
WBGene00011035,snrp-27,two_in_resid,0.3669207275023355,4.3720668033595826e-07,0.0003517753609570644,8.031579740469496e-05
WBGene00012019,dkf-2,total_deg,0.36676985099240517,4.4235294736319686e-07,0.0003517753609570644,0.00021218196375188012
WBGene00010921,fbxb-4,clust_resid,0.36605950548757205,4.673706758431967e-07,0.00036130206600353947,0.00057646834503288
WBGene00018011,F33E11.3,two_in_resid,0.36596350930458965,4.708536059792067e-07,0.00036130206600353947,8.469479237550981e-05
WBGene00019255,H32C10.1,ffl_resid,0.3657964448837656,4.769742953907756e-07,0.00036130206600353947,0.004118196066403956
WBGene00016611,bicd-1,total_deg,-0.36563924785317276,4.828028941046732e-07,0.00036130206600353947,0.00021939579935261838
WBGene00001428,fkb-3,two_in_resid,0.3656012236724408,4.84222961485931e-07,0.00036130206600353947,8.5322062234072e-05
WBGene00003569,ncx-4,two_out_resid,-0.3649370419384173,5.096814097342378e-07,0.0003753899786422648,0.0009045867854505917
WBGene00019870,R04E5.7,total_deg,0.3647890431164947,5.155261297082627e-07,0.0003753899786422648,0.000222552630195057
WBGene00017419,F13B9.1,two_in_resid,0.3644770720856753,5.28056982315163e-07,0.0003767685796362575,9.034773555211479e-05
WBGene00004881,smg-3,two_out_resid,-0.36443209731995535,5.298873104517338e-07,0.0003767685796362575,0.0009045867854505917
WBGene00011268,pde-12,two_in_resid,0.36419350358154323,5.396991829505703e-07,0.00037928301417635546,9.034773555211479e-05
WBGene00011526,cox-15,two_in_resid,0.3640352551336816,5.463024948029611e-07,0.0003795106917344984,9.034773555211479e-05
WBGene00009305,metl-17,two_in_resid,0.3638278800575361,5.55072722876866e-07,0.0003812214230140003,9.034773555211479e-05
WBGene00020412,T10E9.2,two_in_resid,0.36355027443247895,5.670239762886623e-07,0.00038505387729139524,9.034773555211479e-05
WBGene00011971,lron-9,two_in_resid,0.36335608280403864,5.755299346034646e-07,0.0003864875354173799,9.034773555211479e-05
WBGene00016801,C50C3.5,two_in_resid,0.3630531642356806,5.890422862892814e-07,0.00039121469998628126,9.081769821110099e-05
WBGene00008604,F09B9.5,two_in_resid,0.3625680470576487,6.113156277807252e-07,0.000401594499041429,9.259823035541722e-05
WBGene00013725,ska-1,two_out_resid,0.36220263868879066,6.286218105980484e-07,0.0004079379599894393,0.0009045867854505917
WBGene00010721,K09E4.3,two_in_resid,0.36208130450890225,6.34471164482731e-07,0.0004079379599894393,9.444869024386033e-05
WBGene00018551,F47C12.8,clust_resid,0.3614378956940607,6.663683628513549e-07,0.00041844846314038187,0.0007191780556073248
WBGene00011317,T01C1.4,two_in_resid,0.3613656745109005,6.700429178760839e-07,0.00041844846314038187,9.66416688681358e-05
WBGene00022702,cutc-1,two_in_resid,0.3613353986298108,6.71589081779957e-07,0.00041844846314038187,9.66416688681358e-05
WBGene00006957,wsp-1,two_in_resid,0.36083997228045067,6.973795361232211e-07,0.00043008392249199224,9.870778548996543e-05
