,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
SMBDR,16,7,23,3,8,4,222,68,0.09821428571428571,-10.048206729828685,-8.337024147714295,-0.6603131386781893,1.189644060573329,-19.888416022616383,-0.19432714166907916
SMBVL,16,8,24,10,9,6,212,78,0.1484375,-7.909516737040057,-8.984181855746314,1.0632789486812637,-9.08208629590618,-24.85754663383004,-0.15823183322230727
SMBVR,17,7,24,7,6,5,219,84,0.1092436974789916,-6.273275622719197,-11.616207640543287,0.10088115552630494,-16.934344789839372,-4.107987710172495,-0.15783682865305299
SMDDL,22,8,30,25,43,6,419,142,0.38636363636363635,5.740069905616885,17.34071718727973,-0.3695552860917717,107.1739806016177,37.82502324083329,0.2324597106492507
SMDDR,18,10,28,40,45,8,375,161,0.4722222222222222,11.917725462756188,21.163135742531658,2.0328517118091574,123.12647529030943,27.765048768630436,0.18821887982467067
SMDVL,23,8,31,29,30,6,403,105,0.32065217391304346,9.515001012726373,3.0615336944507376,-0.6083609918872774,76.04999175120497,0.6054515532771774,0.19220914944997802
SMDVR,23,8,31,21,33,7,384,126,0.29347826086956524,1.5150010127263727,6.061533694450738,0.39163900811272256,57.04999175120497,21.605451553277177,0.1650352364064998
URADL,3,5,8,6,0,0,25,22,0.4,5.600308892170684,3.586676675126645,-1.0030231380555183,1.3449598288973093,-33.09572286195964,-0.19527733197264352
URADR,3,5,8,6,0,0,19,32,0.4,5.600308892170684,3.586676675126645,-1.0030231380555183,-4.655040171102691,-23.095722861959644,-0.19527733197264352
URAVL,4,7,11,12,1,0,41,47,0.4642857142857143,1.6526199848574379,0.013177766233610555,-1.794644669132119,1.6775102655256333,-38.25355577194304,-0.13378652811349367
URAVR,5,6,11,9,1,1,48,32,0.3333333333333333,3.2888610991782947,0.3811519814366413,-0.7570424622870773,-6.174748228407566,-38.50399684828551,-0.22515010197561208
URBL,5,22,27,83,19,5,67,317,0.9272727272727272,-0.4920990162036105,-7.973371347075705,-1.1795690645358352,8.477566067920563,6.989913372296144,0.1427427985407036
URBR,6,16,22,54,11,4,58,213,0.6770833333333334,-0.5493078658259023,-7.36960859171257,-0.7599272944880564,-14.016040643615185,-7.41487464797811,0.0027817408862843562
URXL,18,19,37,86,52,12,256,341,0.40350877192982454,14.165935397853872,13.33871637024346,3.545180498044232,1.6809020819940201,73.04287326770759,-0.0076457230182084834
URXR,15,18,33,47,31,8,180,267,0.28888888888888886,-19.297547916263227,-2.176575443237539,0.5380055280712961,-28.675401010288397,14.670718941589598,-0.18452040397416258
URYDL,8,14,22,28,11,5,139,151,0.3482142857142857,-17.27682563718418,-6.6336601613065085,0.31527711920202606,37.27944236851842,-39.91575680066302,-0.24690969255223805
URYDR,5,12,17,24,8,3,111,123,0.5333333333333333,-10.878998944089915,-2.501794266755489,-0.41548993813036095,55.19486963271548,-37.3187805155674,-0.10991753700926643
URYVL,9,12,21,31,17,4,177,159,0.4444444444444444,-4.779274515651956,1.381471761928541,-0.37071276131238484,60.69891423106472,-2.197067265791844,-0.09696282089287422
URYVR,7,11,18,22,12,4,143,110,0.44155844155844154,-8.467826722659566,0.5869964556185465,0.38330656291917453,57.21862228836959,-35.78879327946598,-0.13664272044257525
