,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
AIBL,28,16,44,61,28,6,353,220,0.19866071428571427,1.499176490582876,-18.5116454339504,-4.0136528219891865,-51.743795352694406,-5.245451774212569,0.08449894936771105
AIBR,34,23,57,104,67,10,433,323,0.2186700767263427,9.119593082760247,1.283149652851506,-3.3813424452460517,-64.389840950527,-8.34679617804477,0.15837837844366426
AIML,4,22,26,54,7,3,40,231,0.6931818181818182,-29.267030123313077,-18.694187854246714,-2.9407633587403295,-3.3984450816667504,-78.79051494014777,-0.1168090118015257
AIMR,8,18,26,57,17,6,57,262,0.5138888888888888,-7.722065666029636,-7.222290993434598,0.20964546863983724,-45.80747905739955,11.207720754482352,-0.13774671273340444
AINL,4,15,19,48,6,3,38,239,0.9,-1.2378600728335059,-8.164083898022565,-1.005907970256498,-3.496332586310288,33.993399338347785,0.18890451088925286
AINR,3,13,16,31,2,2,30,204,0.8461538461538461,-8.290171165520263,-7.590584989129525,-1.2142864391798964,4.171116977061374,29.151232248331155,0.13785326746966353
AIYL,13,8,21,13,19,5,155,138,0.3076923076923077,-4.234310058368521,4.8533686227406605,0.779696066067781,-20.710119744668106,35.801168428838295,-0.07535972928396034
AIYR,10,12,22,33,20,6,101,178,0.44166666666666665,-3.004343408542468,3.102288269099553,1.3904815328921094,-30.42507461934798,16.583361046652044,-0.07427969741933182
AIZL,16,20,36,75,45,8,200,302,0.375,-1.2452368235764766,7.249925647869425,-0.2536160030053054,-24.342850573660087,19.512886031606172,-0.10120420328961599
AIZR,19,19,38,55,34,6,235,291,0.24653739612188366,-17.059133495036633,-5.940467122585531,-2.693625207751275,-34.44308676841865,22.823301580151508,-0.13915619757482914
ALA,1,5,6,3,2,0,8,66,1.0,3.0504466779517045,8.14504366078463,-0.5254117264645064,14.592937529722697,11.34342051315258,0.353800865524716
ALML,6,10,16,13,9,4,50,130,0.36666666666666664,-12.38144782255769,0.5133376564795604,0.8985201813552273,-20.38565850473823,-0.6000909806962227,-0.22286749074672801
ALMR,10,11,21,20,11,6,108,131,0.2818181818181818,-11.143033401331095,-4.250554022868428,1.6668894455326564,-23.1533442628685,-15.447508342134313,-0.22000027642887415
ALNL,3,6,9,8,1,1,41,89,0.5,2.738998884959315,2.9395189670946245,-0.27943105069606533,17.07322947241782,18.935146526826713,-0.10940523781158595
ALNR,3,9,12,11,1,2,54,92,0.4444444444444444,-8.844931136674788,-2.0019541570014425,-0.10865478861770761,29.258038402979345,-22.972245306814244,-0.20734451088396866
AQR,15,22,37,102,46,10,206,373,0.4484848484848485,16.257212054891312,6.234793724634372,1.4323738775091073,-3.762322436206375,60.794196496735026,-0.0814360677339725
ASEL,8,11,19,27,18,4,89,155,0.5113636363636364,-3.6928956155500785,5.307812962789555,0.1445008571236679,-11.905366562043099,8.99163503297791,-0.04137662438606016
ASER,12,16,28,58,31,7,122,222,0.4635416666666667,2.10027877683104,4.955290451313481,0.8072384707389082,-40.75997374609133,0.2676952266852197,-0.05799451827246077
