wbgene,symbol,freq_pre,freq_post,freq_max,coef_pre_mean,coef_post_mean
WBGene00020786,T25B2.2,0.0,0.04,0.04,0.0,-0.0019256848700946797
WBGene00016027,C23H5.8,0.0,0.04,0.04,0.0,0.0024039908633881595
WBGene00009434,F35E12.10,0.0,0.04,0.04,0.0,0.0019794632358254467
WBGene00018198,F39E9.6,0.03,0.0,0.03,0.0005093559036742953,0.0
WBGene00002987,lim-4,0.0,0.03,0.03,0.0,0.0025588992665465816
WBGene00015941,C18A3.3,0.0,0.03,0.03,0.0,-0.0005634225887298811
WBGene00019270,H41C03.3,0.0,0.03,0.03,0.0,-0.0005719745454662094
WBGene00164985,ZK1010.10,0.03,0.0,0.03,0.000318444098208629,0.0
WBGene00011849,T19H5.4,0.0,0.03,0.03,0.0,0.001613253390661978
WBGene00012808,Y43F8A.1,0.03,0.02,0.03,0.002910295872577081,0.0004885389513936802
WBGene00011351,T01H3.5,0.01,0.03,0.03,0.00024917635907418416,0.0018561156562512202
WBGene00004778,ser-3,0.0,0.03,0.03,0.0,-7.461591233315034e-05
WBGene00012125,T28D6.5,0.03,0.0,0.03,-0.00043723534473014467,0.0
WBGene00013422,Y66A7A.2,0.0,0.03,0.03,0.0,7.775841795951168e-06
WBGene00004207,ptb-1,0.0,0.03,0.03,0.0,-0.00017150526837419143
WBGene00011968,T23G11.1,0.02,0.03,0.03,0.001377801673804114,-0.0004749717448885249
WBGene00000668,col-93,0.0,0.03,0.03,0.0,0.0014269490774670907
WBGene00017137,pink-1,0.03,0.0,0.03,-0.0007300153829907771,0.0
WBGene00004215,ptp-3,0.0,0.03,0.03,0.0,0.00011116958717218348
WBGene00004300,ram-2,0.0,0.03,0.03,0.0,0.00046520795502956897
WBGene00001755,gst-7,0.0,0.03,0.03,0.0,-0.00023446889832013726
WBGene00008164,C47G2.3,0.03,0.0,0.03,-0.00010604355226441604,0.0
WBGene00015131,B0303.11,0.0,0.03,0.03,0.0,0.0021774129592035995
WBGene00017779,gtr-1,0.0,0.03,0.03,0.0,-0.0009957521104222817
WBGene00044168,M05D6.10,0.0,0.03,0.03,0.0,-0.0002581860555680985
WBGene00200203,D2092.13,0.01,0.03,0.03,0.0003194120075525676,0.0036983047113042437
WBGene00195178,ZC581.10,0.0,0.03,0.03,0.0,0.0021237158682173903
WBGene00008687,F11A10.6,0.03,0.01,0.03,-0.000601868074474903,-8.66578630085325e-05
WBGene00003621,nhr-22,0.0,0.03,0.03,0.0,-0.0006652689535051653
WBGene00012156,ebp-2,0.0,0.03,0.03,0.0,9.37588401397704e-05
WBGene00015014,bath-24,0.03,0.0,0.03,0.0009533710296022778,0.0
WBGene00018045,F35D11.4,0.0,0.03,0.03,0.0,-0.0008884900389466537
WBGene00015769,C14C11.7,0.0,0.03,0.03,0.0,-0.0009925789891230244
WBGene00008730,F13B12.2,0.0,0.03,0.03,0.0,-0.0009565221851950645
WBGene00009896,scl-3,0.03,0.0,0.03,-0.0011029056314578744,0.0
WBGene00011018,R05A10.1,0.01,0.03,0.03,0.00011275711332961729,-0.0005400435579383319
WBGene00015512,mthf-1,0.02,0.03,0.03,-2.5741584656723747e-05,0.00046026573644796545
WBGene00077697,F58E6.13,0.03,0.0,0.03,-0.0007000011308312557,0.0
WBGene00020503,T14B4.9,0.03,0.0,0.03,-0.0007110725627768693,0.0
WBGene00219307,F56D6.17,0.0,0.03,0.03,0.0,0.0009458137903786383
WBGene00010288,F58H1.5,0.03,0.0,0.03,-0.0014415908140307432,0.0
WBGene00012400,Y6E2A.7,0.0,0.03,0.03,0.0,0.0023605025978527343
WBGene00011647,noca-1,0.03,0.0,0.03,-0.00019980614558895844,0.0
WBGene00008218,nasp-2,0.03,0.0,0.03,0.0008273304834403088,0.0
WBGene00008400,drh-3,0.0,0.03,0.03,0.0,-0.0004311520480454778
WBGene00012113,T28B8.1,0.0,0.03,0.03,0.0,0.00020546848002938098
WBGene00007435,algn-6,0.0,0.03,0.03,0.0,-0.0008522234644492068
WBGene00000529,clh-2,0.03,0.0,0.03,-0.000630393043192721,0.0
WBGene00022205,Y73B3A.3,0.0,0.03,0.03,0.0,0.0009975956768321942
WBGene00012461,glb-29,0.0,0.03,0.03,0.0,0.0008733193151303323
WBGene00009848,F48F5.6,0.0,0.03,0.03,0.0,0.0013257283287298092
WBGene00077681,Y44A6D.7,0.0,0.03,0.03,0.0,-0.0007866244639445095
WBGene00013287,Y57A10C.9,0.0,0.03,0.03,0.0,-0.0005255649767283599
WBGene00008018,tbc-8,0.0,0.03,0.03,0.0,-2.1388836439208277e-05
WBGene00007240,C01G10.15,0.03,0.0,0.03,-0.0012608149261729403,0.0
