motif,wbgene,symbol,rho,p,q_global,q_per_motif
dualinh_anchor,WBGene00013601,Y87G2A.13,0.12138508572069394,0.2713687032554466,0.9052371452264406,0.8429477224916754
plus_anchor,WBGene00011142,R08D7.1,0.12138027449612658,0.27138784240994923,0.9052371452264406,0.8598894149220329
plus_anchor,WBGene00194835,Y17G9B.11,0.12137109000821457,0.27142438101971395,0.9052371452264406,0.8598894149220329
plus_anchor,WBGene00012465,Y17G7B.12,0.12136953463493144,0.2714305690821952,0.9052371452264406,0.8598894149220329
plus_anchor,WBGene00018995,ccpp-1,0.1213619233957022,0.27146085181352825,0.9052371452264406,0.8598894149220329
plus_anchor,WBGene00006428,tkr-3,-0.1213389312581366,0.2715523441046156,0.9052371452264406,0.8598894149220329
plus_anchor,WBGene00014848,VM106R.1,-0.12132816653935827,0.2715951871232376,0.9052371452264406,0.8598894149220329
plus_anchor,WBGene00020729,T23E1.2,0.12125625294148133,0.2718815160550228,0.9052371452264406,0.8599229587002853
plus_anchor,WBGene00018384,F43C11.7,0.1212371226413397,0.2719577188078103,0.9052371452264406,0.8599229587002853
dualinh_anchor,WBGene00006638,tsp-12,0.12121181648014603,0.27205854424858084,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00012710,Y39C12A.9,0.12121181648014603,0.27205854424858084,0.9052371452264406,0.8429477224916754
plus_anchor,WBGene00011449,T04H1.2,-0.12120675770530333,0.27207870255784544,0.9052371452264406,0.8599229587002853
plus_anchor,WBGene00022250,Y73B6BL.29,0.1212005557458925,0.272103417621713,0.9052371452264406,0.8599229587002853
plus_anchor,WBGene00016458,C35E7.6,0.1211921492843601,0.27213692012538354,0.9052371452264406,0.8599229587002853
dualinh_anchor,WBGene00017967,ada-2,0.12117880187491506,0.27219011961890754,0.9052371452264406,0.8429477224916754
plus_anchor,WBGene00015300,C01F1.5,-0.12110888422446889,0.2724689083484228,0.9052371452264406,0.8599229587002853
plus_anchor,WBGene00044001,C09G4.4,0.1210925669065325,0.27253399940349005,0.9052371452264406,0.8599229587002853
dualinh_anchor,WBGene00010006,F53H2.3,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00012804,Y43F4B.7,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00021425,ppgn-1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00021440,Y39A3CL.1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00009554,F39B2.3,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00009722,F45D3.2,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00219664,linc-73,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00013156,Y53F4B.9,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00021714,cyh-1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00018804,lido-15,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00235381,Y74C9A.9,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00021564,Y45G12B.3,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00009944,mtcu-2,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00013680,rpom-1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00016540,C39F7.5,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00012228,W03H9.2,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00021867,Y54F10BM.13,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00022029,Y65B4A.6,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00022227,Y73B3B.5,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00045407,T07D4.5,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00023284,F41B5.1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00166811,21ur-8662,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00019864,ceh-93,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00007972,prp-4,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00006618,trt-1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00044588,ZK1236.9,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00077439,F55B12.10,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00012600,Y38E10A.22,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00022117,Y71F9AL.12,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00009266,F30A10.9,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00021347,rpb-10,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00206505,B0250.18,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00000877,cyn-1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00018814,F54D11.4,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00010585,K05C4.9,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00020294,T06F4.1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00010475,K01F9.2,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00014079,ZK792.7,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00002132,inx-10,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00008487,F01D4.3,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00009176,nmat-2,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00010286,F58H1.3,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00010984,nkat-3,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00009927,F52B11.5,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00011645,T09B9.4,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00012858,Y44F5A.1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00022425,plst-1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00015267,chin-1,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00011826,T18D3.9,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00007133,B0284.3,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00006747,unc-7,-0.12109202433368359,0.2725361639483354,0.9052371452264406,0.8429477224916754
plus_anchor,WBGene00003941,pbo-1,0.12107133256810498,0.2726187204747068,0.9052371452264406,0.8599229587002853
plus_anchor,WBGene00007974,dhfr-1,-0.12106619809156169,0.2726392087388287,0.9052371452264406,0.8599229587002853
plus_anchor,WBGene00001448,flp-5,-0.1210617177761904,0.2726570875277583,0.9052371452264406,0.8599229587002853
plus_anchor,WBGene00009315,F32B4.5,-0.121057205164163,0.27267509599302514,0.9052371452264406,0.8599229587002853
dualinh_anchor,WBGene00014112,ZK856.11,0.12105363643493944,0.27268933827404995,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00013725,ska-1,0.12105363643493944,0.27268933827404995,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00010229,F58A4.6,0.12105363643493944,0.27268933827404995,0.9052371452264406,0.8429477224916754
plus_anchor,WBGene00008137,sfxn-1.4,-0.12102183727492051,0.27281626616955035,0.9052371452264406,0.8600615433128447
plus_anchor,WBGene00010625,K07C5.2,-0.12098293065284509,0.27297161779953716,0.9052371452264406,0.8602447207177434
dualinh_anchor,WBGene00008330,C55A6.1,0.12090975070676607,0.2732639814843231,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00020036,R12E2.11,0.12090975070676607,0.2732639814843231,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00020037,mrps-6,0.12077938975165722,0.2737853114503256,0.9052371452264406,0.8429477224916754
plus_anchor,WBGene00022004,npr-22,0.12076071660386019,0.2738600423286909,0.9052371452264406,0.8624873495830728
dualinh_anchor,WBGene00020045,glb-23,0.120745436355258,0.2739212048324243,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00015976,C18E3.9,0.12070636023997335,0.2740776571189394,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00021287,Y24D9B.1,0.12070636023997335,0.2740776571189394,0.9052371452264406,0.8429477224916754
dualinh_anchor,WBGene00000444,ceh-21,0.12070636023997335,0.2740776571189394,0.9052371452264406,0.8429477224916754
plus_anchor,WBGene00008792,F14D7.5,0.12066654753287871,0.2742371201840082,0.9052371452264406,0.8624873495830728
plus_anchor,WBGene00008736,gnrr-6,-0.12061454911630495,0.27444548472336855,0.9052371452264406,0.8624873495830728
plus_anchor,WBGene00016892,pgph-3,0.12057035177327956,0.2746226727576165,0.9052371452264406,0.8624873495830728
dualinh_anchor,WBGene00021042,btb-5,0.12056035452785417,0.274662762547135,0.9052371452264406,0.8429477224916754
