cengen_class,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
IL2_DV,1.25,13.25,14.5,37.25,1.0,0.75,14.0,146.25,2.4840492840492843,-2.8616281047647174,-6.763803303686796,-2.1154784321978988,14.570164876163718,-31.956799951249053,1.7276601517155554
IL2_LR,10.0,16.0,26.0,46.0,22.0,8.5,111.5,255.5,0.42352941176470593,-9.449583437387943,-1.4863425630285363,2.7848498823299206,-21.011996045265946,34.20683860179744,-0.148928575677062
OLL,12.0,22.5,34.5,95.5,31.5,8.5,169.5,310.5,0.47477127615467535,8.001763729957148,-5.251234650894659,0.5105870385753497,4.973778936791973,-8.53165374620346,-0.13859629673757765
OLQ,9.75,14.0,23.75,33.75,21.25,7.5,151.75,213.75,0.38845315904139427,-11.920696199742576,1.3777687262427563,2.397367134059891,23.562461880296212,22.449992746113764,-0.16211424203531893
PLN,3.0,5.5,8.5,5.5,2.0,2.0,50.5,47.0,0.4916666666666667,2.6696538885650014,4.763097821110635,0.8587729056242082,26.709094650657562,-15.580288167566463,-0.11067461822544795
PVC,12.5,13.5,26.0,28.0,11.0,3.0,155.5,99.5,0.23626373626373626,-15.858980651585796,-11.566407025020961,-2.6211446005574763,-14.142642280098954,-84.91926408905871,-0.23722223345237506
PVN,13.0,10.5,23.5,23.5,23.0,4.5,108.0,119.5,0.3506993006993007,-5.887585076396945,4.7354743526606065,-0.4113237155335874,-68.38944563586682,-20.12165809919583,-0.06767250087432325
PVP,9.0,13.5,22.5,49.0,18.0,3.5,116.5,197.0,0.5521978021978022,5.928760473530986,-0.08926480011949062,-1.2853246302732058,-0.20868130365452942,13.349236817387677,-0.010401321897930102
PVQ,5.5,9.0,14.5,24.0,7.0,2.0,61.0,118.5,0.8336038961038961,3.5923966310989357,0.8000871109260785,-0.7056690531064724,-1.5519337230523895,2.9788254742954905,0.24546719390378363
PVR,7.0,12.0,19.0,19.0,6.0,5.0,72.0,77.0,0.2976190476190476,-16.32913672987094,-7.060161252413472,1.1068986502786269,-14.053108068109909,-83.75792389067962,-0.2947100202209116
PVT,7.0,17.0,24.0,66.0,35.0,7.0,125.0,291.0,0.8487394957983193,6.36431323407222,13.70405020742642,1.72485908707589,37.58824014949264,55.396423053252136,0.1857708987636481
RIA,30.5,23.0,53.5,112.0,71.5,10.5,490.5,269.0,0.261528326745718,17.907334207877028,10.260291877752977,-2.04552247496178,46.04412002591741,-61.578295271598364,0.11212347408341865
RIB,25.5,26.0,51.5,108.0,74.5,18.0,371.5,353.5,0.27498168498168496,0.4487486506954643,14.714736217801871,5.819282316094107,1.8488732085423853,-20.887828667458763,-0.044111391454042796
RIC,21.0,20.5,41.5,86.0,36.0,7.0,239.0,322.5,0.2809718670076726,6.198763708365291,-8.96957067029155,-2.585848488303107,-61.09866000396329,31.43046228821882,-0.0749917829448132
RID,9.0,1.0,10.0,0.0,0.0,1.0,105.0,6.0,0.0,17.695135563673098,2.5002065502807795,-0.330225722266364,-8.312051847660882,9.463369457558285,-0.3860003011089523
RIF,8.5,16.5,25.0,53.5,23.0,5.0,107.0,243.0,0.5621212121212121,-4.042635101657854,0.6088538221989421,-0.49514551529709516,-2.9618779478866486,14.55163082752479,-0.0555920801170074
RIG,21.0,25.5,46.5,117.0,74.0,14.5,255.0,425.0,0.37033430763609787,12.89221367230843,20.794640789548346,3.5321119484941566,-46.45731178636075,59.084809232150576,-0.0562688715110999
RIH,17.0,34.0,51.0,141.0,31.0,10.0,143.0,476.0,0.2975778546712803,-3.5286458174261384,-31.089465757407865,-2.3621324857684733,-100.27106441478566,-16.274514212941085,-0.3509561291122089
RIM,28.5,26.0,54.5,137.5,98.5,16.0,552.0,339.5,0.3131842887489258,29.27354197202394,34.877185739314896,3.102865198707587,136.97690665730428,-35.5465437301271,0.07047391606715865
RIP,12.5,1.5,14.0,0.0,0.0,1.5,119.0,3.0,0.0,14.476739434950625,-2.800514528636705,-0.8042496488709083,-47.38187800234503,-1.789696754494937,-0.3039510996488026
RIR,16.0,21.0,37.0,87.0,51.0,12.0,213.0,361.0,0.4107142857142857,5.893453169212165,11.602767939837406,3.469976084354148,-11.614580930139567,63.54375542039253,-0.0796178234142727
RIS,15.0,25.0,40.0,130.0,43.0,12.0,259.0,411.0,0.4613333333333333,29.67328203325718,-1.7066793994616916,2.6031501395874663,48.42248649435516,53.88680466309404,-0.1109713004023149
RIV,13.5,13.5,27.0,49.0,31.0,7.0,254.0,178.0,0.43047577422577415,4.915950455523692,7.154409482150046,1.140049693647018,69.23336886948834,-6.638835776614826,-0.0175492942390168
RMD_DV,24.5,11.25,35.75,20.0,35.25,10.25,405.25,119.5,0.19831962908885983,-15.62185985004634,1.0394959041031808,2.3851047333376845,54.730884817027594,-33.87358046450135,0.062152262526212046
RMD_LR,27.5,14.5,42.0,58.0,77.0,12.0,481.0,209.0,0.3394341290893015,5.90367594784518,33.598682874512136,2.520361899869389,84.22579460723117,6.318029986385966,0.23373377230405168
RME_DV,18.5,4.0,22.5,1.5,3.5,3.0,204.0,26.0,0.07163742690058475,2.4730510595791433,-11.093509755690711,-1.4281036652453118,-53.80513699601994,-17.529953407865726,-0.11486802983765215
RME_LR,17.5,3.5,21.0,3.0,2.5,2.5,151.5,33.0,0.07620614035087714,6.628774956075338,-9.99074740884571,-1.5510940031295322,-91.0452829673675,-2.8258164147027927,-0.12869626471920886
RMF,15.0,11.0,26.0,39.5,39.0,4.5,232.5,197.5,0.4547619047619047,7.231622134216348,17.35352851298661,-1.0271390834448724,25.72671148506805,49.95463322008514,0.08024795277145005
RMG,13.5,25.0,38.5,85.0,27.5,7.0,168.0,298.5,0.33726516371443904,-14.989114627407048,-15.287904160218204,-2.0386413017192755,-19.891530230025793,-58.28383780557178,-0.2732308218981895
RMH,18.0,8.5,26.5,20.0,22.0,6.5,229.5,156.0,0.272703818369453,-0.790309526426757,0.6338723045796861,0.9474635807699783,-21.965929174971308,45.21874468545091,0.0098923347303151
SAA,11.5,8.0,19.5,15.25,13.25,4.75,206.5,121.5,0.31270708458208457,-1.646706719032757,1.0221438619841479,0.8879046247610396,53.475863530950946,19.630525960172463,-0.10853630427116379
SDQ,7.5,11.5,19.0,29.0,10.5,3.0,88.0,180.0,0.5215384615384615,-4.011016172710505,-2.3761741448119587,-0.8743002462988525,-5.479237315076505,26.61685557114913,-0.05099620275636635
SIA,7.5,1.0,8.5,0.0,1.75,1.0,138.0,17.75,0.22460317460317458,18.032738903008863,6.168981789524268,0.02798283642689476,47.37393142795816,21.54272698889245,-0.19958847838275812
SIB,10.25,4.5,14.75,5.5,7.0,4.5,152.25,66.0,0.26875,5.89921442232017,2.136175206132464,1.9038394512473378,19.081905841645032,16.796947708865375,-0.13487184498110036
SMB,17.0,8.0,25.0,7.5,8.25,5.25,229.25,78.25,0.11528966027200352,-10.634585629930566,-11.013365348575308,0.07447324288575767,-6.956075146318867,-24.827118321386152,-0.1659187716989834
SMD,21.5,8.5,30.0,28.75,37.75,6.75,395.25,133.5,0.36817907334211675,7.1719493484564545,11.906730079678216,0.3616436104857077,90.85010984858427,21.95024377900452,0.19448074408259977
URA,3.75,5.75,9.5,8.25,0.5,0.25,33.25,33.25,0.39940476190476193,4.035524717094275,1.8919207744808855,-1.1394333518825581,-1.9518295762718285,-33.23724958603696,-0.18737282350859813
URB,5.5,19.0,24.5,68.5,15.0,4.5,62.5,265.0,0.8021780303030304,-0.5207034410147564,-7.671489969394138,-0.9697481795119458,-2.769237287847311,-0.21248063784098292,0.07276226971349395
URX,16.5,18.5,35.0,66.5,41.5,10.0,218.0,304.0,0.3461988304093566,-2.5658062592046775,5.581070463502961,2.041593013057764,-13.49724946414719,43.856796104648595,-0.09608306349618545
URY,7.25,12.25,19.5,26.25,12.0,4.0,142.5,135.75,0.44188762626262623,-10.350731454896405,-1.7917465526287275,-0.0219047543303863,52.59796213016705,-28.80509946537206,-0.14760819272423845
