FilePath,Tag,Text
./data/temp/VA7.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/RMGR.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/AVFL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/RICL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/VB3.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/ADLR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/SIBVL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/RMED.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/AVBR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/ASJR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/ALNL.morph.xml,{http://morphml.org/metadata/schema}notes,NeurUnkFunc
./data/temp/AIZR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/DA5.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/PVM.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/SIBDR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/VA11.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/IL2DR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/AIML.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/VA6.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/PHCR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/OLLL.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/ASIR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/SABD.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/Acetylcholine.xml,{http://morphml.org/metadata/schema}notes,ChannelML file describing a single synaptic mechanism
./data/temp/Acetylcholine.xml,{http://morphml.org/metadata/schema}contributor,
./data/temp/Acetylcholine.xml,{http://morphml.org/metadata/schema}name,Padraig Gleeson
./data/temp/Acetylcholine.xml,{http://morphml.org/metadata/schema}comment,Note: This is not (yet) based on experimental data from C. elegans
./data/temp/Acetylcholine.xml,{http://morphml.org/metadata/schema}notes,"Simple example of a synaptic mechanism, which consists of a postsynaptic conductance which changes as 
        double exponential function of time."
./data/temp/IL1L.morph.xml,{http://morphml.org/metadata/schema}notes,PolymodalNeuron
./data/temp/RIS.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/SAADR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/RIVL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/VD8.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/RIFL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/IL1VL.morph.xml,{http://morphml.org/metadata/schema}notes,PolymodalNeuron
