neuron,mse_model,mse_identity,delta_identity_minus_model
IL1VL,1.0014203592470534,2.1898419411430066,1.1884215818959531
IL1VR,1.001426104077899,2.1898419411430057,1.1884158370651068
IL2DL,1.0033999902342914,2.1898419411430052,1.1864419509087138
IL2DR,1.0034842736238567,2.1898419411430052,1.1863576675191485
IL2L,1.001978684552234,2.1898419411430052,1.1878632565907712
IL2R,1.0010325106051978,2.1898419411430057,1.1888094305378079
IL2VL,1.0019595288209175,2.1898419411430052,1.1878824123220877
IL2VR,1.0054284905461321,2.189841941143005,1.1844134505968726
OLLL,1.0077433753589857,2.1898419411430057,1.18209856578402
OLLR,1.0076296602422445,2.189841941143006,1.1822122809007616
OLQDL,1.0027567995638043,2.1898419411430052,1.187085141579201
OLQDR,1.0059220046182007,2.1898419411430052,1.1839199365248045
OLQVL,1.0126601983040349,2.1898419411430052,1.1771817428389704
OLQVR,1.0106432889738632,2.1898419411430066,1.1791986521691433
PLNL,1.0016072294194038,2.189841941143006,1.1882347117236023
PLNR,1.004952212273796,2.1898419411430052,1.1848897288692093
PVCL,1.0029247262108105,2.1898419411430052,1.1869172149321947
PVCR,1.000817198412856,2.189841941143005,1.1890247427301488
PVPL,1.001878942764367,2.189841941143005,1.1879629983786377
PVPR,1.0030166195018,2.1898419411430057,1.1868253216412057
PVQL,1.00124131899766,2.1898419411430057,1.1886006221453458
PVQR,1.008537739921756,2.189841941143005,1.1813042012212487
PVR,1.0032580506093525,2.1898419411430052,1.1865838905336528
PVT,1.0022351872497264,2.189841941143006,1.1876067538932797
RIAL,1.0088962012069502,2.1898419411430052,1.180945739936055
RIAR,1.0049000014548992,2.1898419411430057,1.1849419396881065
RIBL,1.0017785543525022,2.1898419411430057,1.1880633867905035
RIBR,0.9994709762798304,2.189841941143004,1.1903709648631735
RICL,1.0091189591285774,2.189841941143006,1.1807229820144287
RICR,1.0093792330984988,2.1898419411430043,1.1804627080445056
RID,1.0030140634495295,2.1898419411430057,1.1868278776934762
RIFL,1.0044268796511728,2.1898419411430057,1.1854150614918328
RIFR,1.0032867633298643,2.1898419411430043,1.18655517781314
RIGL,1.0020466041314282,2.1898419411430052,1.187795337011577
RIGR,1.0018224007818266,2.189841941143005,1.1880195403611782
RIH,1.004842289302518,2.1898419411430057,1.1849996518404877
RIML,1.0027997486171563,2.1898419411430043,1.187042192525848
RIMR,1.006878838011694,2.1898419411430052,1.1829631031313113
RIPL,1.0021997619111334,2.189841941143005,1.1876421792318714
RIPR,1.0031992010198054,2.1898419411430043,1.186642740123199
RIR,1.0057865827050103,2.1898419411430057,1.1840553584379954
RIS,1.0008259384827463,2.189841941143005,1.1890160026602585
RIVL,1.0016287152053782,2.1898419411430066,1.1882132259376283
RIVR,1.0051315501625084,2.1898419411430052,1.1847103909804968
RMDDL,1.0083817979617593,2.1898419411430057,1.1814601431812464
RMDDR,1.0028692503547654,2.189841941143005,1.1869726907882394
RMDL,1.0043740690302727,2.189841941143006,1.1854678721127334
RMDR,1.0041046439949968,2.1898419411430066,1.1857372971480098
RMDVL,1.0014416925142715,2.189841941143006,1.1884002486287346
RMDVR,1.0080296537877524,2.1898419411430043,1.181812287355252
RMED,1.0016541820985174,2.1898419411430043,1.188187759044487
RMEL,1.0041659983930127,2.1898419411430057,1.185675942749993
RMER,0.998982965607332,2.189841941143006,1.190858975535674
RMEV,1.0042003195163638,2.1898419411430052,1.1856416216266414
RMFL,1.0023738887785263,2.1898419411430057,1.1874680523644794
RMFR,1.0023256183395883,2.1898419411430052,1.187516322803417
RMGL,1.001375050245384,2.1898419411430052,1.1884668908976213
RMGR,1.0017215923317833,2.1898419411430066,1.1881203488112233
RMHL,1.0011803352679585,2.189841941143005,1.1886616058750463
RMHR,1.0005462944107362,2.1898419411430052,1.189295646732269
SAADL,1.0023818675334446,2.189841941143005,1.1874600736095602
SAADR,1.0049344047559448,2.189841941143005,1.18490753638706
SAAVL,1.0015473462109963,2.1898419411430052,1.188294594932009
SAAVR,1.0011361352929966,2.1898419411430043,1.1887058058500077
SDQL,1.0083333756064339,2.189841941143005,1.181508565536571
SDQR,1.0012500796673798,2.1898419411430057,1.188591861475626
SIADL,1.0028847163939916,2.1898419411430057,1.186957224749014
SIADR,1.003643041967245,2.1898419411430057,1.1861988991757606
SIAVL,1.0086331940498652,2.189841941143005,1.1812087470931396
SIAVR,1.0009998753218987,2.189841941143005,1.188842065821106
SIBDL,1.0039104637009821,2.189841941143005,1.1859314774420227
SIBDR,1.0093555442163633,2.189841941143005,1.1804863969266415
SIBVL,1.0032567553747347,2.1898419411430052,1.1865851857682705
SIBVR,1.0043528974204514,2.189841941143005,1.1854890437225534
SMBDL,1.0044555240482618,2.189841941143006,1.1853864170947443
SMBDR,1.0081952254543092,2.1898419411430052,1.181646715688696
SMBVL,1.0059772605201633,2.1898419411430052,1.183864680622842
SMBVR,1.004533869060932,2.1898419411430052,1.1853080720820732
SMDDL,1.0025534013984072,2.189841941143005,1.1872885397445976
SMDDR,1.0007173188473517,2.1898419411430057,1.189124622295654
SMDVL,1.0052119357519285,2.1898419411430057,1.1846300053910772
SMDVR,1.0031023186407133,2.1898419411430057,1.1867396225022924
URADL,1.0036994528576075,2.1898419411430057,1.1861424882853981
