,Gene_Idx,Saliency
17650,17650,5.4458913e-05
8996,8996,5.4442007e-05
20936,20936,5.4440847e-05
8313,8313,5.4438508e-05
12711,12711,5.442361e-05
20584,20584,5.4402553e-05
2320,2320,5.4396714e-05
18855,18855,5.4383258e-05
11607,11607,5.4383065e-05
17010,17010,5.4380565e-05
8442,8442,5.43688e-05
1251,1251,5.436464e-05
19856,19856,5.4364067e-05
17348,17348,5.4362128e-05
14019,14019,5.4359603e-05
3390,3390,5.4357828e-05
8572,8572,5.4348864e-05
6580,6580,5.43465e-05
9799,9799,5.434359e-05
21628,21628,5.434321e-05
635,635,5.4342305e-05
21075,21075,5.4341508e-05
16486,16486,5.4332337e-05
2259,2259,5.43298e-05
10597,10597,5.4327727e-05
7820,7820,5.4325767e-05
16435,16435,5.4318647e-05
10065,10065,5.4308814e-05
1647,1647,5.428048e-05
6377,6377,5.4278833e-05
8026,8026,5.4263906e-05
16766,16766,5.4263768e-05
12345,12345,5.426276e-05
8557,8557,5.4261993e-05
20531,20531,5.424902e-05
16494,16494,5.4248416e-05
7472,7472,5.4242253e-05
6850,6850,5.4229342e-05
15010,15010,5.421913e-05
11802,11802,5.4209235e-05
5360,5360,5.420425e-05
12084,12084,5.419682e-05
13077,13077,5.4188964e-05
20392,20392,5.4177217e-05
19682,19682,5.416319e-05
7293,7293,5.4159515e-05
15219,15219,5.4147582e-05
10704,10704,5.414514e-05
16453,16453,5.4143187e-05
19601,19601,5.413381e-05
217,217,5.4123822e-05
16259,16259,5.4112865e-05
6280,6280,5.4104934e-05
1175,1175,5.4103417e-05
7768,7768,5.4093744e-05
17453,17453,5.409318e-05
18634,18634,5.409289e-05
11297,11297,5.406502e-05
19334,19334,5.40642e-05
2250,2250,5.405723e-05
2657,2657,5.405384e-05
6400,6400,5.4050877e-05
20796,20796,5.4039567e-05
14774,14774,5.3963653e-05
22119,22119,5.3939584e-05
8618,8618,5.3936532e-05
16522,16522,5.3925985e-05
4792,4792,5.392586e-05
469,469,5.39202e-05
8236,8236,5.391721e-05
16257,16257,5.3913525e-05
206,206,5.3913333e-05
21419,21419,5.3907756e-05
1367,1367,5.3906308e-05
18898,18898,5.390351e-05
2058,2058,5.3903e-05
5064,5064,5.390158e-05
9276,9276,5.3881475e-05
3483,3483,5.3878088e-05
9184,9184,5.3877608e-05
8564,8564,5.3861608e-05
7847,7847,5.385674e-05
18502,18502,5.384666e-05
12534,12534,5.3844928e-05
7703,7703,5.3838736e-05
2984,2984,5.3834683e-05
7500,7500,5.382817e-05
16326,16326,5.3821837e-05
9026,9026,5.382165e-05
9270,9270,5.3810913e-05
19913,19913,5.380723e-05
339,339,5.3795902e-05
15384,15384,5.378016e-05
4674,4674,5.377985e-05
8726,8726,5.37786e-05
10974,10974,5.3765376e-05
20640,20640,5.375758e-05
4308,4308,5.3747222e-05
19789,19789,5.37452e-05
20400,20400,5.374299e-05
6911,6911,5.374207e-05
4895,4895,5.3734257e-05
3479,3479,5.372404e-05
3777,3777,5.372215e-05
4784,4784,5.3709144e-05
542,542,5.370841e-05
8173,8173,5.3706422e-05
11484,11484,5.3693664e-05
11367,11367,5.368725e-05
16508,16508,5.3682492e-05
13604,13604,5.36776e-05
6529,6529,5.367283e-05
14844,14844,5.365707e-05
3735,3735,5.365069e-05
7066,7066,5.3640742e-05
93,93,5.3614076e-05
10368,10368,5.3609154e-05
16213,16213,5.3606862e-05
15903,15903,5.3606444e-05
3512,3512,5.360375e-05
11256,11256,5.359072e-05
14095,14095,5.359051e-05
14478,14478,5.357982e-05
9314,9314,5.357065e-05
3716,3716,5.3562537e-05
17810,17810,5.3556156e-05
20557,20557,5.3551452e-05
9885,9885,5.3551266e-05
4515,4515,5.3551168e-05
21785,21785,5.3549422e-05
2938,2938,5.3539115e-05
18780,18780,5.3536936e-05
8127,8127,5.3536012e-05
13585,13585,5.353521e-05
8547,8547,5.3528296e-05
2948,2948,5.3527012e-05
10977,10977,5.3524e-05
21961,21961,5.3512314e-05
12385,12385,5.3509382e-05
7926,7926,5.348611e-05
13003,13003,5.3472595e-05
3527,3527,5.3466953e-05
7776,7776,5.3460903e-05
10980,10980,5.3456417e-05
19552,19552,5.3449134e-05
11434,11434,5.3433643e-05
9182,9182,5.3414446e-05
9415,9415,5.3391e-05
17142,17142,5.3390024e-05
3658,3658,5.3385673e-05
4892,4892,5.3374675e-05
4871,4871,5.3369018e-05
6395,6395,5.3367225e-05
7462,7462,5.3360287e-05
16764,16764,5.335469e-05
9651,9651,5.335464e-05
842,842,5.332301e-05
6645,6645,5.3313852e-05
11651,11651,5.3310407e-05
7388,7388,5.3307e-05
16438,16438,5.330202e-05
15206,15206,5.330054e-05
6596,6596,5.3290438e-05
12555,12555,5.3284617e-05
7001,7001,5.3284053e-05
7573,7573,5.3282118e-05
16945,16945,5.3270305e-05
16738,16738,5.324933e-05
9677,9677,5.3247615e-05
12088,12088,5.3243795e-05
19800,19800,5.3241598e-05
15266,15266,5.323193e-05
2791,2791,5.3229458e-05
13502,13502,5.3225955e-05
5462,5462,5.3224452e-05
13103,13103,5.321828e-05
2508,2508,5.3213607e-05
9704,9704,5.3206506e-05
8454,8454,5.3204516e-05
17005,17005,5.319281e-05
5595,5595,5.3190553e-05
14002,14002,5.3183885e-05
1738,1738,5.3181902e-05
2807,2807,5.3169435e-05
4093,4093,5.3160944e-05
20021,20021,5.3157437e-05
19212,19212,5.3156e-05
10955,10955,5.3153402e-05
2641,2641,5.315013e-05
599,599,5.3143878e-05
5929,5929,5.314215e-05
3968,3968,5.314147e-05
8259,8259,5.3138392e-05
4240,4240,5.313422e-05
2940,2940,5.3118638e-05
16157,16157,5.3116662e-05
20496,20496,5.3115393e-05
15113,15113,5.3114753e-05
1565,1565,5.311127e-05
21247,21247,5.311046e-05
3729,3729,5.3109765e-05
2577,2577,5.310573e-05
10860,10860,5.3100062e-05
13394,13394,5.308486e-05
10864,10864,5.3076852e-05
20068,20068,5.3076594e-05
4478,4478,5.3063028e-05
6845,6845,5.3054086e-05
17961,17961,5.304943e-05
9664,9664,5.303334e-05
921,921,5.303301e-05
4826,4826,5.3029606e-05
1290,1290,5.3026648e-05
17209,17209,5.3023854e-05
15887,15887,5.3021497e-05
18558,18558,5.301507e-05
10493,10493,5.3013606e-05
20872,20872,5.3010768e-05
9461,9461,5.300521e-05
271,271,5.300261e-05
20347,20347,5.299729e-05
14661,14661,5.2983483e-05
11239,11239,5.2981173e-05
18807,18807,5.297947e-05
20046,20046,5.2977404e-05
6369,6369,5.297647e-05
4602,4602,5.297129e-05
6939,6939,5.2966836e-05
7983,7983,5.2965683e-05
18650,18650,5.2961404e-05
20362,20362,5.294448e-05
7656,7656,5.2931842e-05
3301,3301,5.2930696e-05
13072,13072,5.2929954e-05
3336,3336,5.2919695e-05
4531,4531,5.291958e-05
17975,17975,5.2915668e-05
17021,17021,5.291397e-05
4058,4058,5.2913267e-05
1198,1198,5.2905485e-05
9931,9931,5.2902204e-05
15717,15717,5.2900046e-05
2917,2917,5.289941e-05
2987,2987,5.2894593e-05
14635,14635,5.2880652e-05
16220,16220,5.2879106e-05
14585,14585,5.287565e-05
10330,10330,5.287267e-05
16923,16923,5.2862844e-05
15278,15278,5.2857406e-05
1472,1472,5.285127e-05
3916,3916,5.2848438e-05
16669,16669,5.2845848e-05
22238,22238,5.283899e-05
9269,9269,5.2837448e-05
20215,20215,5.2834886e-05
7759,7759,5.2827396e-05
802,802,5.2825206e-05
19377,19377,5.2824616e-05
14434,14434,5.282307e-05
6494,6494,5.2822714e-05
15414,15414,5.2812702e-05
10996,10996,5.2804586e-05
2714,2714,5.2795775e-05
12041,12041,5.2785646e-05
18139,18139,5.2776206e-05
2444,2444,5.2774074e-05
16515,16515,5.2768835e-05
17193,17193,5.2767144e-05
5905,5905,5.2764248e-05
16063,16063,5.276404e-05
4351,4351,5.276271e-05
11023,11023,5.2760282e-05
