Neuron,Cluster,TSNE_1,TSNE_2,NeuronName,SymbolicRole
Neuron_130,3,-54.120945,18.088638,PDA,Sensor 🧿
Neuron_131,3,-51.860153,19.041943,PDB,Sensor 🧿
Neuron_132,3,-55.251545,18.773926,PDEL,Sensor 🧿
Neuron_133,6,-16.595747,-2.1958528,PDER,Integrator 🧠
Neuron_134,3,-51.284534,19.89814,PHAL,Sensor 🧿
Neuron_135,3,-58.232822,18.971714,PHAR,Sensor 🧿
Neuron_136,3,-59.104656,19.509958,PHBL,Sensor 🧿
Neuron_137,3,-58.461697,19.036993,PHBR,Sensor 🧿
Neuron_138,3,-59.88392,19.952333,PHCL,Sensor 🧿
Neuron_139,3,-59.88392,19.952333,PHCR,Sensor 🧿
Neuron_140,6,-15.541163,-3.8011124,PHDL,Integrator 🧠
Neuron_141,6,-20.096111,1.9765737,PHDR,Integrator 🧠
Neuron_142,3,-50.951733,19.770025,PHFL,Sensor 🧿
Neuron_143,3,-61.394268,16.034649,PHFR,Sensor 🧿
Neuron_144,6,-18.678936,1.4472768,PHLL,Integrator 🧠
Neuron_145,0,-4.5358267,0.75058556,PHLR,Effector 🔧
Neuron_146,6,-8.5902815,-0.056005467,PHNL,Integrator 🧠
Neuron_147,3,-50.679955,18.853943,PHNR,Sensor 🧿
Neuron_148,3,-60.253654,19.2447,PLML,Sensor 🧿
Neuron_149,0,-4.100247,1.5535994,PLMR,Effector 🔧
Neuron_150,0,1.9479475,-10.018486,PLNL,Effector 🔧
Neuron_151,6,-42.18661,16.213064,PLNR,Integrator 🧠
Neuron_152,3,-50.855232,19.166885,PQR,Sensor 🧿
Neuron_153,6,-34.339714,14.73796,PVCL,Integrator 🧠
Neuron_154,0,-5.1129594,2.1680117,PVCR,Effector 🔧
Neuron_155,3,-49.789833,22.3694,PVDL,Sensor 🧿
Neuron_156,6,-21.53163,1.2466784,PVDR,Integrator 🧠
Neuron_157,6,-6.9137144,2.1533773,PVM,Integrator 🧠
Neuron_158,6,-7.069897,2.242628,PVNL,Integrator 🧠
Neuron_159,6,-15.265636,0.28090218,PVNR,Integrator 🧠
Neuron_160,6,-15.416531,-4.2649117,PVPL,Integrator 🧠
Neuron_161,6,-30.146141,12.015753,PVPR,Integrator 🧠
Neuron_162,7,-70.42638,6.996092,PVR,Relay 🔁
Neuron_163,7,-70.076584,6.8677783,PVT,Relay 🔁
Neuron_164,7,-70.42638,6.996092,PVWL,Relay 🔁
Neuron_165,7,-70.42638,6.996092,PVWR,Relay 🔁
Neuron_166,7,-70.24003,6.5813646,RIAL,Relay 🔁
Neuron_167,3,-61.20963,20.321321,RIAR,Sensor 🧿
Neuron_168,7,-68.837616,8.940923,RIBL,Relay 🔁
Neuron_169,7,-68.78369,8.9785385,RIBR,Relay 🔁
Neuron_170,3,-48.875896,18.670696,RICL,Sensor 🧿
Neuron_171,7,-68.803474,8.1924715,RICR,Relay 🔁
Neuron_172,0,1.6842422,-9.788014,RID,Effector 🔧
Neuron_173,3,-49.367516,20.12888,RIFL,Sensor 🧿
Neuron_174,6,-20.908112,0.8532487,RIFR,Integrator 🧠
Neuron_175,0,17.795616,9.417753,RIGL,Effector 🔧
Neuron_176,0,31.909391,-9.008142,RIGR,Effector 🔧
Neuron_177,0,24.288704,3.4705331,RIH,Effector 🔧
Neuron_178,0,37.471855,20.00662,RIML,Effector 🔧
Neuron_179,0,22.503885,3.552491,RIMR,Effector 🔧
Neuron_180,0,20.175117,-9.625774,RIPL,Effector 🔧
Neuron_181,0,22.510876,-7.4836946,RIPR,Effector 🔧
Neuron_182,0,38.996037,20.338816,RIR,Effector 🔧
Neuron_183,0,31.76252,14.352165,RIS,Effector 🔧
Neuron_184,0,19.156313,-8.733844,RIVL,Effector 🔧
Neuron_185,0,21.241539,2.558714,RIVR,Effector 🔧
Neuron_186,0,23.079422,-9.574842,RMDDL,Effector 🔧
Neuron_187,0,10.990641,-19.043911,RMDDR,Effector 🔧
Neuron_188,6,-12.816604,-18.883904,RMDL,Integrator 🧠
Neuron_189,0,31.76683,12.254823,RMDR,Effector 🔧
Neuron_190,0,55.848137,21.014536,RMDVL,Effector 🔧
Neuron_191,0,31.489658,13.434188,RMDVR,Effector 🔧
Neuron_192,0,26.731188,1.1567186,RMEL,Effector 🔧
Neuron_193,0,-4.198795,-23.774145,RMER,Effector 🔧
Neuron_194,0,7.930402,-20.357622,RMFL,Effector 🔧
Neuron_195,0,-8.593025,-19.390255,RMFR,Effector 🔧
Neuron_196,0,15.999066,8.160775,RMGL,Effector 🔧
Neuron_197,0,39.99765,18.758242,RMGR,Effector 🔧
Neuron_198,0,31.210588,15.419616,SAADL,Effector 🔧
Neuron_199,0,37.56605,19.771954,SAADR,Effector 🔧
Neuron_200,0,40.760876,17.939188,SAAVL,Effector 🔧
Neuron_201,0,51.552647,16.857796,SAAVR,Effector 🔧
Neuron_202,0,14.642289,-12.97747,SABD,Effector 🔧
Neuron_203,0,23.420633,-2.659479,SABVL,Effector 🔧
Neuron_204,0,25.242893,2.8421698,SABVR,Effector 🔧
Neuron_205,0,21.517895,-2.647034,SDQL,Effector 🔧
Neuron_206,0,40.78612,18.335419,SDQR,Effector 🔧
Neuron_207,0,31.917225,15.48409,SIADL,Effector 🔧
Neuron_208,0,36.86441,18.741247,SIADR,Effector 🔧
Neuron_209,0,24.417381,0.55918884,SIAVL,Effector 🔧
Neuron_210,0,24.19091,-2.866071,SIAVR,Effector 🔧
Neuron_211,0,21.806894,-17.638672,SMBDL,Effector 🔧
Neuron_212,0,25.53341,0.4832899,SMBDR,Effector 🔧
Neuron_213,0,22.233143,-8.292883,SMBVL,Effector 🔧
Neuron_214,0,-10.330517,-19.232115,SMBVR,Effector 🔧
Neuron_215,0,14.561343,-12.304421,SMDDL,Effector 🔧
Neuron_216,0,14.02089,8.332222,SMDDR,Effector 🔧
Neuron_217,0,38.357185,20.018837,SMDVL,Effector 🔧
Neuron_218,0,39.55745,20.556286,SMDVR,Effector 🔧
Neuron_219,0,44.47956,15.799627,URADL,Effector 🔧
Neuron_220,0,23.300741,3.5223134,URADR,Effector 🔧
Neuron_221,0,27.300407,-10.075636,URAVL,Effector 🔧
Neuron_222,0,36.671165,20.177916,URAVR,Effector 🔧
Neuron_223,6,-24.503313,-7.5080967,URYDL,Integrator 🧠
Neuron_224,0,36.32222,16.954294,URYDR,Effector 🔧
Neuron_225,6,-23.975597,-8.031125,URYVL,Integrator 🧠
Neuron_226,0,8.106582,-21.36403,URYVR,Effector 🔧
Neuron_227,0,-2.0784652,-22.839275,VA01,Effector 🔧
Neuron_228,6,-18.046965,-16.223412,VA02,Integrator 🧠
Neuron_229,0,-3.832319,-20.47795,VA03,Effector 🔧
Neuron_230,0,1.2943037,-22.310839,VA04,Effector 🔧
Neuron_231,0,-5.285969,-20.423796,VA05,Effector 🔧
Neuron_232,0,-4.6691704,-20.677847,VA06,Effector 🔧
Neuron_233,0,-3.038836,11.724975,VA07,Effector 🔧
Neuron_234,0,30.097075,16.826931,VA08,Effector 🔧
Neuron_235,0,7.243998,-23.316633,VA09,Effector 🔧
Neuron_236,0,30.585629,15.563399,VA10,Effector 🔧
Neuron_237,0,38.98762,19.942913,VA11,Effector 🔧
Neuron_238,6,-13.329898,-20.844536,VA12,Integrator 🧠
Neuron_239,6,-12.309793,-22.079319,VB01,Integrator 🧠
Neuron_240,0,31.417355,14.55652,VB02,Effector 🔧
Neuron_241,0,11.9865885,-20.112415,VB03,Effector 🔧
Neuron_242,0,7.387154,-22.262154,VB04,Effector 🔧
Neuron_243,0,1.6876804,-22.586805,VB05,Effector 🔧
Neuron_244,0,-7.746672,-18.586298,VB06,Effector 🔧
Neuron_245,6,-28.299374,-1.356879,VB07,Integrator 🧠
Neuron_246,0,31.42736,18.613602,VB08,Effector 🔧
Neuron_247,0,56.199333,20.162186,VB09,Effector 🔧
Neuron_248,0,28.165028,2.9267192,VB10,Effector 🔧
Neuron_249,0,22.736238,3.7097166,VB11,Effector 🔧
Neuron_250,0,32.13284,18.39516,VB12,Effector 🔧
Neuron_251,0,39.5773,19.0354,VC01,Effector 🔧
Neuron_252,0,13.343347,-10.193403,VC02,Effector 🔧
Neuron_253,0,9.949156,-16.262882,VC03,Effector 🔧
Neuron_254,0,-2.397047,11.455537,VC04,Effector 🔧
Neuron_255,0,-3.1575215,9.397434,VC05,Effector 🔧
Neuron_256,0,8.2083235,-20.099318,VC06,Effector 🔧
Neuron_257,0,33.532085,15.13834,VD01,Effector 🔧
Neuron_258,0,28.394638,1.484889,VD02,Effector 🔧
Neuron_259,6,-18.900944,-11.529658,VD03,Integrator 🧠
Neuron_260,0,32.874065,16.622944,VD04,Effector 🔧
Neuron_261,0,-5.622538,10.71541,VD05,Effector 🔧
Neuron_262,0,31.57508,12.508296,VD06,Effector 🔧
Neuron_263,6,-11.459636,-20.03379,VD07,Integrator 🧠
Neuron_264,0,31.22022,15.433688,VD08,Effector 🔧
Neuron_265,0,18.178238,6.0891767,VD09,Effector 🔧
Neuron_266,0,22.460625,-10.863055,VD10,Effector 🔧
Neuron_267,0,0.74944526,-19.431477,VD11,Effector 🔧
Neuron_268,0,40.81636,21.887745,VD12,Effector 🔧
Neuron_269,0,50.082523,19.33143,VD13,Effector 🔧
Neuron_270,0,50.583046,20.36825,Unlabeled,Effector 🔧
Neuron_271,0,35.13598,16.064413,Unlabeled,Effector 🔧
Neuron_272,0,35.66553,17.411413,Unlabeled,Effector 🔧
Neuron_273,0,24.628445,4.311012,Unlabeled,Effector 🔧
Neuron_274,0,33.930805,15.653533,Unlabeled,Effector 🔧
Neuron_275,0,13.188874,-7.5986657,Unlabeled,Effector 🔧
Neuron_276,0,9.640067,-19.803394,Unlabeled,Effector 🔧
Neuron_277,0,32.4669,18.713055,Unlabeled,Effector 🔧
Neuron_278,0,21.438475,-9.553474,Unlabeled,Effector 🔧
Neuron_279,0,33.33176,20.337303,Unlabeled,Effector 🔧
Neuron_280,0,40.60327,17.63794,Unlabeled,Effector 🔧
Neuron_281,0,38.81901,-4.6485615,Unlabeled,Effector 🔧
Neuron_282,0,33.545956,20.60805,Unlabeled,Effector 🔧
Neuron_283,0,34.933586,11.489362,Unlabeled,Effector 🔧
Neuron_284,0,17.587923,6.3078575,Unlabeled,Effector 🔧
Neuron_285,0,3.0299048,11.322024,Unlabeled,Effector 🔧
Neuron_286,0,17.544008,5.6243334,Unlabeled,Effector 🔧
Neuron_287,0,33.57981,19.765465,Unlabeled,Effector 🔧
Neuron_288,0,29.55497,3.264553,Unlabeled,Effector 🔧
Neuron_289,0,23.465208,-3.2462282,Unlabeled,Effector 🔧
Neuron_290,0,20.057972,-1.4081993,Unlabeled,Effector 🔧
Neuron_291,0,6.7924747,-21.706709,Unlabeled,Effector 🔧
Neuron_292,0,48.448303,-3.4119406,Unlabeled,Effector 🔧
Neuron_293,6,-45.48264,13.932613,Unlabeled,Integrator 🧠
Neuron_294,6,-12.076383,-20.438908,Unlabeled,Integrator 🧠
Neuron_295,0,0.36697716,-18.144327,Unlabeled,Effector 🔧
Neuron_296,6,-27.444372,-5.7744026,Unlabeled,Integrator 🧠
Neuron_297,0,-7.9056225,-20.4603,Unlabeled,Effector 🔧
Neuron_298,0,15.981968,-13.246085,Unlabeled,Effector 🔧
Neuron_299,6,-42.55814,11.83966,Unlabeled,Integrator 🧠
Neuron_300,6,-45.13264,15.177976,Unlabeled,Integrator 🧠
Neuron_301,6,-12.29499,-22.299988,Unlabeled,Integrator 🧠
Neuron_302,6,-24.667965,-8.796623,Unlabeled,Integrator 🧠
Neuron_303,6,-32.96735,2.6492774,Unlabeled,Integrator 🧠
Neuron_304,6,-38.026924,8.784409,Unlabeled,Integrator 🧠
Neuron_305,6,-28.743103,-1.7501601,Unlabeled,Integrator 🧠
Neuron_306,6,-29.190907,-1.1082312,Unlabeled,Integrator 🧠
Neuron_307,0,21.422047,-17.962639,Unlabeled,Effector 🔧
Neuron_308,6,-37.395588,6.1878304,Unlabeled,Integrator 🧠
Neuron_309,0,13.980897,-12.249042,Unlabeled,Effector 🔧
Neuron_310,6,-12.470483,-20.90097,Unlabeled,Integrator 🧠
Neuron_311,6,-14.891075,-20.42028,Unlabeled,Integrator 🧠
Neuron_312,6,-40.17636,9.128037,Unlabeled,Integrator 🧠
Neuron_313,6,-42.154354,11.418759,Unlabeled,Integrator 🧠
Neuron_314,6,-42.72154,12.294674,Unlabeled,Integrator 🧠
Neuron_315,6,-40.694168,9.859989,Unlabeled,Integrator 🧠
Neuron_316,0,17.725813,10.671714,Unlabeled,Effector 🔧
Neuron_317,0,10.976832,-20.390808,Unlabeled,Effector 🔧
Neuron_318,0,22.107124,-5.2023,Unlabeled,Effector 🔧
Neuron_319,0,26.77867,3.1167684,Unlabeled,Effector 🔧
Neuron_320,0,13.986771,-20.461073,Unlabeled,Effector 🔧
Neuron_321,0,-5.5805306,-20.872797,Unlabeled,Effector 🔧
Neuron_322,0,7.0009894,-23.00235,Unlabeled,Effector 🔧
Neuron_323,0,30.442738,6.677719,Unlabeled,Effector 🔧
Neuron_324,0,-3.161519,-22.648108,Unlabeled,Effector 🔧
Neuron_325,6,-21.629135,-9.066713,Unlabeled,Integrator 🧠
Neuron_326,0,45.446045,18.783886,Unlabeled,Effector 🔧
Neuron_327,0,-6.071966,-18.478827,Unlabeled,Effector 🔧
Neuron_328,0,46.084908,18.881088,Unlabeled,Effector 🔧
Neuron_329,0,4.503398,7.263132,Unlabeled,Effector 🔧
Neuron_330,0,1.8454657,-23.191404,Unlabeled,Effector 🔧
Neuron_331,0,2.2239404,-21.579739,Unlabeled,Effector 🔧
Neuron_332,6,-26.424341,-5.7616515,Unlabeled,Integrator 🧠
Neuron_333,6,-29.61826,-0.5133344,Unlabeled,Integrator 🧠
Neuron_334,6,-40.605263,8.908137,Unlabeled,Integrator 🧠
Neuron_335,6,-12.13107,5.0960855,Unlabeled,Integrator 🧠
Neuron_336,0,28.58395,4.6311893,Unlabeled,Effector 🔧
Neuron_337,6,-20.924522,-11.702496,Unlabeled,Integrator 🧠
Neuron_338,6,-40.722275,9.429601,Unlabeled,Integrator 🧠
Neuron_339,0,32.090397,4.407266,Unlabeled,Effector 🔧
Neuron_340,0,3.1578977,7.9795003,Unlabeled,Effector 🔧
Neuron_341,0,-11.727664,-22.78012,Unlabeled,Effector 🔧
Neuron_342,0,17.016323,-10.455291,Unlabeled,Effector 🔧
Neuron_343,6,-36.919323,5.988786,Unlabeled,Integrator 🧠
Neuron_344,6,-14.063091,4.997279,Unlabeled,Integrator 🧠
Neuron_345,6,-43.11567,12.146481,Unlabeled,Integrator 🧠
Neuron_346,6,-12.740972,-20.2926,Unlabeled,Integrator 🧠
Neuron_347,0,7.791157,-23.073202,Unlabeled,Effector 🔧
Neuron_348,6,-12.113501,-19.090044,Unlabeled,Integrator 🧠
Neuron_349,6,-39.78171,11.531226,Unlabeled,Integrator 🧠
Neuron_350,6,-25.428114,-5.6066556,Unlabeled,Integrator 🧠
Neuron_351,0,18.422657,-10.566259,Unlabeled,Effector 🔧
Neuron_352,0,17.989607,11.1704,Unlabeled,Effector 🔧
Neuron_353,0,24.362703,-8.437541,Unlabeled,Effector 🔧
Neuron_354,6,-29.553156,9.57877,Unlabeled,Integrator 🧠
Neuron_355,0,-7.6560993,-23.18726,Unlabeled,Effector 🔧
Neuron_356,3,-50.290253,18.316597,Unlabeled,Sensor 🧿
Neuron_357,0,20.981236,-9.474465,Unlabeled,Effector 🔧
Neuron_358,0,27.359877,-8.364865,Unlabeled,Effector 🔧
Neuron_359,6,-8.58958,9.769984,Unlabeled,Integrator 🧠
Neuron_360,0,8.493443,-22.732504,Unlabeled,Effector 🔧
Neuron_361,0,1.2955643,-19.296366,Unlabeled,Effector 🔧
Neuron_362,0,35.377377,20.839064,Unlabeled,Effector 🔧
Neuron_363,0,-12.218072,-22.859232,Unlabeled,Effector 🔧
Neuron_364,6,-18.688316,5.241002,Unlabeled,Integrator 🧠
Neuron_365,0,5.78904,-17.558529,Unlabeled,Effector 🔧
Neuron_366,6,-19.058561,-9.393394,Unlabeled,Integrator 🧠
Neuron_367,6,-13.861097,6.562609,Unlabeled,Integrator 🧠
Neuron_368,0,3.349871,7.3894596,Unlabeled,Effector 🔧
Neuron_369,0,2.7154996,-17.597475,Unlabeled,Effector 🔧
Neuron_370,0,15.804498,10.654404,Unlabeled,Effector 🔧
Neuron_371,6,-41.55818,12.116256,Unlabeled,Integrator 🧠
Neuron_372,6,-31.183754,1.6992375,Unlabeled,Integrator 🧠
Neuron_373,0,-8.759233,-17.591513,Unlabeled,Effector 🔧
Neuron_374,6,-20.77103,-11.506118,Unlabeled,Integrator 🧠
Neuron_375,0,1.3251344,7.0444536,Unlabeled,Effector 🔧
Neuron_376,0,16.464401,-15.447173,Unlabeled,Effector 🔧
Neuron_377,0,-7.259012,-20.440033,Unlabeled,Effector 🔧
Neuron_378,0,4.6147785,7.4376616,Unlabeled,Effector 🔧
Neuron_379,0,5.58307,-23.071056,Unlabeled,Effector 🔧
Neuron_380,0,25.556211,1.979408,Unlabeled,Effector 🔧
Neuron_381,0,-5.2503195,5.3144355,Unlabeled,Effector 🔧
Neuron_382,0,9.643547,-17.945162,Unlabeled,Effector 🔧
Neuron_383,0,1.825124,7.670925,Unlabeled,Effector 🔧
Neuron_384,6,-10.768557,-14.3624115,Unlabeled,Integrator 🧠
Neuron_385,0,0.09976883,-14.918448,Unlabeled,Effector 🔧
Neuron_386,6,-18.026697,-9.028217,Unlabeled,Integrator 🧠
Neuron_387,0,17.285988,9.45184,Unlabeled,Effector 🔧
Neuron_388,0,27.539045,0.6857872,Unlabeled,Effector 🔧
Neuron_389,6,-14.070067,-20.304035,Unlabeled,Integrator 🧠
Neuron_390,0,34.36159,10.061379,Unlabeled,Effector 🔧
Neuron_391,0,11.456788,-18.412773,Unlabeled,Effector 🔧
Neuron_392,0,-1.7569906,6.8986454,Unlabeled,Effector 🔧
Neuron_393,0,12.323874,-20.721199,Unlabeled,Effector 🔧
Neuron_394,6,-34.822624,4.8301167,Unlabeled,Integrator 🧠
Neuron_395,0,36.098637,11.122081,Unlabeled,Effector 🔧
Neuron_396,0,1.0460714,-22.452234,Unlabeled,Effector 🔧
Neuron_397,0,-1.2043946,9.389445,Unlabeled,Effector 🔧
Neuron_398,0,-2.983351,-24.493828,Unlabeled,Effector 🔧
Neuron_399,6,-20.19252,4.4003234,Unlabeled,Integrator 🧠
Neuron_400,0,26.993933,-6.1523924,Unlabeled,Effector 🔧
Neuron_401,6,-26.178669,-4.9367394,Unlabeled,Integrator 🧠
Neuron_402,0,-6.7790318,-22.562593,Unlabeled,Effector 🔧
Neuron_403,0,27.495045,-1.3799078,Unlabeled,Effector 🔧
Neuron_404,6,-16.768654,-14.461155,Unlabeled,Integrator 🧠
Neuron_405,0,-8.187248,-20.842941,Unlabeled,Effector 🔧
Neuron_406,0,-0.8891994,-16.117964,Unlabeled,Effector 🔧
Neuron_407,0,-3.2343183,11.227149,Unlabeled,Effector 🔧
Neuron_408,0,15.235563,-19.200108,Unlabeled,Effector 🔧
Neuron_409,0,23.987036,-3.3522878,Unlabeled,Effector 🔧
Neuron_410,0,13.325714,-16.111694,Unlabeled,Effector 🔧
