Neuron,Cluster,TSNE_1,TSNE_2,NeuronName,Canonical
Neuron_228,6,-18.046965,-16.223412,VA02,❌
Neuron_229,0,-3.832319,-20.47795,VA03,❌
Neuron_230,0,1.2943037,-22.310839,VA04,❌
Neuron_231,0,-5.285969,-20.423796,VA05,❌
Neuron_232,0,-4.6691704,-20.677847,VA06,❌
Neuron_233,0,-3.038836,11.724975,VA07,❌
Neuron_234,0,30.097075,16.826931,VA08,❌
Neuron_235,0,7.243998,-23.316633,VA09,❌
Neuron_236,0,30.585629,15.563399,VA10,❌
Neuron_237,0,38.98762,19.942913,VA11,❌
Neuron_238,6,-13.329898,-20.844536,VA12,❌
Neuron_239,6,-12.309793,-22.079319,VB01,❌
Neuron_240,0,31.417355,14.55652,VB02,❌
Neuron_241,0,11.9865885,-20.112415,VB03,❌
Neuron_242,0,7.387154,-22.262154,VB04,❌
Neuron_243,0,1.6876804,-22.586805,VB05,❌
Neuron_244,0,-7.746672,-18.586298,VB06,❌
Neuron_245,6,-28.299374,-1.356879,VB07,❌
Neuron_246,0,31.42736,18.613602,VB08,❌
Neuron_247,0,56.199333,20.162186,VB09,❌
Neuron_248,0,28.165028,2.9267192,VB10,❌
Neuron_249,0,22.736238,3.7097166,VB11,❌
Neuron_250,0,32.13284,18.39516,VB12,❌
Neuron_251,0,39.5773,19.0354,VC01,❌
Neuron_252,0,13.343347,-10.193403,VC02,❌
Neuron_253,0,9.949156,-16.262882,VC03,❌
Neuron_254,0,-2.397047,11.455537,VC04,❌
Neuron_255,0,-3.1575215,9.397434,VC05,❌
Neuron_256,0,8.2083235,-20.099318,VC06,❌
Neuron_257,0,33.532085,15.13834,VD01,❌
Neuron_258,0,28.394638,1.484889,VD02,❌
Neuron_259,6,-18.900944,-11.529658,VD03,❌
Neuron_260,0,32.874065,16.622944,VD04,❌
Neuron_261,0,-5.622538,10.71541,VD05,❌
Neuron_262,0,31.57508,12.508296,VD06,❌
Neuron_263,6,-11.459636,-20.03379,VD07,❌
Neuron_264,0,31.22022,15.433688,VD08,❌
Neuron_265,0,18.178238,6.0891767,VD09,❌
Neuron_266,0,22.460625,-10.863055,VD10,❌
Neuron_267,0,0.74944526,-19.431477,VD11,❌
Neuron_268,0,40.81636,21.887745,VD12,❌
Neuron_269,0,50.082523,19.33143,VD13,❌
Neuron_270,0,50.583046,20.36825,Unlabeled,❌
Neuron_271,0,35.13598,16.064413,Unlabeled,❌
Neuron_272,0,35.66553,17.411413,Unlabeled,❌
Neuron_273,0,24.628445,4.311012,Unlabeled,❌
Neuron_274,0,33.930805,15.653533,Unlabeled,❌
Neuron_275,0,13.188874,-7.5986657,Unlabeled,❌
Neuron_276,0,9.640067,-19.803394,Unlabeled,❌
Neuron_277,0,32.4669,18.713055,Unlabeled,❌
Neuron_278,0,21.438475,-9.553474,Unlabeled,❌
Neuron_279,0,33.33176,20.337303,Unlabeled,❌
Neuron_280,0,40.60327,17.63794,Unlabeled,❌
Neuron_281,0,38.81901,-4.6485615,Unlabeled,❌
Neuron_282,0,33.545956,20.60805,Unlabeled,❌
Neuron_283,0,34.933586,11.489362,Unlabeled,❌
Neuron_284,0,17.587923,6.3078575,Unlabeled,❌
Neuron_285,0,3.0299048,11.322024,Unlabeled,❌
Neuron_286,0,17.544008,5.6243334,Unlabeled,❌
Neuron_287,0,33.57981,19.765465,Unlabeled,❌
Neuron_288,0,29.55497,3.264553,Unlabeled,❌
Neuron_289,0,23.465208,-3.2462282,Unlabeled,❌
Neuron_290,0,20.057972,-1.4081993,Unlabeled,❌
Neuron_291,0,6.7924747,-21.706709,Unlabeled,❌
Neuron_292,0,48.448303,-3.4119406,Unlabeled,❌
Neuron_293,6,-45.48264,13.932613,Unlabeled,❌
Neuron_294,6,-12.076383,-20.438908,Unlabeled,❌
