gene,saliency
WBGene00010964,2.9103548e-13
WBGene00008552,2.909614e-13
WBGene00020311,2.9095907e-13
WBGene00000037,2.909176e-13
WBGene00044903,2.9088721e-13
WBGene00018846,2.908112e-13
WBGene00007257,2.9072147e-13
WBGene00019567,2.907179e-13
WBGene00009132,2.9055163e-13
WBGene00015401,2.9042412e-13
WBGene00022508,2.9038442e-13
WBGene00007026,2.9033883e-13
WBGene00007281,2.903121e-13
WBGene00011445,2.9028524e-13
WBGene00002263,2.900991e-13
WBGene00006591,2.9008103e-13
WBGene00022148,2.9002468e-13
WBGene00016412,2.8997703e-13
WBGene00007129,2.8995087e-13
WBGene00016509,2.8976626e-13
WBGene00020042,2.8954912e-13
WBGene00003607,2.8952814e-13
WBGene00016665,2.89454e-13
WBGene00044762,2.8929384e-13
WBGene00006626,2.8924421e-13
WBGene00022188,2.8921174e-13
WBGene00000904,2.8913905e-13
WBGene00016425,2.8907998e-13
WBGene00000034,2.8906302e-13
WBGene00016217,2.8901753e-13
WBGene00021993,2.8900168e-13
WBGene00004381,2.8890304e-13
WBGene00202424,2.8885341e-13
WBGene00077788,2.8882693e-13
WBGene00004974,2.8879473e-13
WBGene00012803,2.8878064e-13
WBGene00008568,2.887384e-13
WBGene00195072,2.8868693e-13
WBGene00017872,2.8861966e-13
WBGene00017003,2.8856298e-13
WBGene00015307,2.885252e-13
WBGene00015794,2.8849647e-13
WBGene00008770,2.8832814e-13
WBGene00011968,2.8823737e-13
WBGene00005009,2.8820381e-13
WBGene00003649,2.8809046e-13
WBGene00000069,2.88083e-13
WBGene00009443,2.8795382e-13
WBGene00010691,2.879147e-13
WBGene00006719,2.8778526e-13
WBGene00014082,2.8774086e-13
WBGene00020884,2.8771514e-13
WBGene00020873,2.8771335e-13
WBGene00011908,2.876947e-13
WBGene00015029,2.876788e-13
WBGene00007822,2.8758815e-13
WBGene00016933,2.875551e-13
WBGene00010935,2.8745195e-13
WBGene00008723,2.8736342e-13
WBGene00017166,2.8728162e-13
WBGene00014669,2.8725012e-13
WBGene00008489,2.8710376e-13
WBGene00019941,2.8696972e-13
WBGene00219592,2.869119e-13
WBGene00013233,2.8684084e-13
WBGene00018680,2.8681866e-13
WBGene00007236,2.8677654e-13
WBGene00000743,2.8675714e-13
WBGene00006787,2.8671745e-13
WBGene00001239,2.867067e-13
WBGene00199241,2.8669713e-13
WBGene00000720,2.8664996e-13
WBGene00012015,2.8656642e-13
WBGene00017214,2.8655347e-13
WBGene00000992,2.8649042e-13
WBGene00020353,2.864434e-13
WBGene00020409,2.864386e-13
WBGene00018232,2.8632562e-13
WBGene00021658,2.8630397e-13
WBGene00004876,2.8620834e-13
WBGene00018421,2.8615646e-13
WBGene00021013,2.8615231e-13
WBGene00006098,2.860909e-13
WBGene00000728,2.859871e-13
WBGene00019908,2.8597594e-13
WBGene00005080,2.859102e-13
WBGene00003415,2.8557015e-13
WBGene00011408,2.8551404e-13
WBGene00003443,2.854817e-13
WBGene00019511,2.8547938e-13
WBGene00006397,2.8546363e-13
WBGene00235254,2.8544764e-13
WBGene00009061,2.8544528e-13
WBGene00001636,2.8539234e-13
WBGene00044457,2.8538874e-13
WBGene00050943,2.853325e-13
WBGene00010149,2.851816e-13
WBGene00020659,2.851727e-13
WBGene00015406,2.8515222e-13
WBGene00010331,2.850053e-13
WBGene00236809,2.849958e-13
WBGene00007467,2.849005e-13
WBGene00021354,2.8489987e-13
WBGene00195213,2.8487548e-13
WBGene00015684,2.8483813e-13
WBGene00013440,2.8483612e-13
WBGene00044049,2.847835e-13
WBGene00016798,2.8468325e-13
WBGene00012122,2.8468149e-13
WBGene00017127,2.8467024e-13
WBGene00195700,2.8461443e-13
WBGene00012596,2.845884e-13
WBGene00018890,2.844982e-13
WBGene00017347,2.844904e-13
WBGene00303371,2.8441708e-13
WBGene00006242,2.843871e-13
WBGene00198131,2.8437788e-13
WBGene00011776,2.8434647e-13
WBGene00044894,2.843363e-13
WBGene00006606,2.8432793e-13
WBGene00201058,2.843126e-13
WBGene00013399,2.842272e-13
WBGene00008969,2.8419717e-13
WBGene00007130,2.8419639e-13
WBGene00196890,2.8416833e-13
WBGene00009620,2.8414456e-13
WBGene00003554,2.8413296e-13
WBGene00016573,2.8408601e-13
WBGene00007501,2.8381087e-13
WBGene00019686,2.8375831e-13
WBGene00009470,2.8375457e-13
WBGene00206391,2.837451e-13
WBGene00021880,2.8374457e-13
WBGene00006278,2.8366721e-13
WBGene00021789,2.8361384e-13
WBGene00022646,2.8357435e-13
WBGene00235152,2.8356874e-13
WBGene00008734,2.834743e-13
WBGene00015705,2.834217e-13
WBGene00010627,2.8338334e-13
WBGene00017329,2.8335982e-13
WBGene00235267,2.8324852e-13
WBGene00021559,2.8320553e-13
WBGene00171255,2.8315124e-13
WBGene00005018,2.8315054e-13
WBGene00044048,2.831271e-13
WBGene00005020,2.8307172e-13
WBGene00019025,2.830514e-13
WBGene00018616,2.829246e-13
WBGene00005758,2.8280357e-13
WBGene00015505,2.8279446e-13
WBGene00016898,2.8269417e-13
WBGene00003699,2.826419e-13
WBGene00010282,2.826028e-13
WBGene00023036,2.8259857e-13
WBGene00194939,2.8259646e-13
WBGene00020065,2.8258383e-13
WBGene00022416,2.8255593e-13
WBGene00016058,2.8250842e-13
WBGene00010485,2.824839e-13
WBGene00009288,2.8240442e-13
WBGene00011183,2.8236034e-13
WBGene00020540,2.8234704e-13
WBGene00007690,2.823301e-13
WBGene00011124,2.8224485e-13
WBGene00018933,2.8219888e-13
WBGene00015510,2.819436e-13
WBGene00045298,2.8191544e-13
WBGene00001790,2.8190422e-13
WBGene00022171,2.818593e-13
WBGene00017714,2.817185e-13
WBGene00195004,2.8167675e-13
WBGene00219834,2.8155264e-13
WBGene00044167,2.815432e-13
WBGene00016357,2.8150328e-13
WBGene00235268,2.8141007e-13
WBGene00009377,2.8137957e-13
WBGene00003057,2.8137917e-13
WBGene00012334,2.8137489e-13
WBGene00000451,2.813399e-13
WBGene00199666,2.8132002e-13
WBGene00010397,2.8128856e-13
WBGene00000735,2.8119892e-13
WBGene00016369,2.8119336e-13
WBGene00018519,2.8114468e-13
WBGene00005802,2.8114045e-13
WBGene00016631,2.8109692e-13
WBGene00010332,2.809757e-13
WBGene00012834,2.8097557e-13
WBGene00020039,2.8092638e-13
WBGene00022666,2.8077006e-13
WBGene00022145,2.807063e-13
WBGene00011213,2.8070387e-13
WBGene00019176,2.805483e-13
WBGene00007284,2.8053433e-13
WBGene00003375,2.805246e-13
WBGene00007851,2.8044272e-13
WBGene00014098,2.8038336e-13
WBGene00016475,2.8038252e-13
WBGene00008692,2.8035948e-13
WBGene00015346,2.8029315e-13
WBGene00011922,2.8022777e-13
WBGene00015390,2.8021064e-13
WBGene00011088,2.801973e-13
WBGene00017364,2.8019617e-13
WBGene00006852,2.801598e-13
WBGene00194702,2.800491e-13
WBGene00021209,2.8004433e-13
WBGene00009397,2.7997065e-13
WBGene00013884,2.7995913e-13
WBGene00044575,2.7995775e-13
WBGene00008590,2.7987264e-13
WBGene00020772,2.7985941e-13
WBGene00020418,2.7985378e-13
