Neuron,Cluster,TSNE_1,TSNE_2
Neuron_142,3,-50.951733,19.770025
Neuron_143,3,-61.394268,16.034649
Neuron_144,6,-18.678936,1.4472768
Neuron_145,0,-4.5358267,0.75058556
Neuron_146,6,-8.5902815,-0.056005467
Neuron_147,3,-50.679955,18.853943
Neuron_148,3,-60.253654,19.2447
Neuron_149,0,-4.100247,1.5535994
Neuron_150,0,1.9479475,-10.018486
Neuron_151,6,-42.18661,16.213064
Neuron_152,3,-50.855232,19.166885
Neuron_153,6,-34.339714,14.73796
Neuron_154,0,-5.1129594,2.1680117
Neuron_155,3,-49.789833,22.3694
Neuron_156,6,-21.53163,1.2466784
Neuron_157,6,-6.9137144,2.1533773
Neuron_158,6,-7.069897,2.242628
Neuron_159,6,-15.265636,0.28090218
Neuron_160,6,-15.416531,-4.2649117
Neuron_161,6,-30.146141,12.015753
Neuron_162,7,-70.42638,6.996092
Neuron_163,7,-70.076584,6.8677783
Neuron_164,7,-70.42638,6.996092
Neuron_165,7,-70.42638,6.996092
Neuron_166,7,-70.24003,6.5813646
Neuron_167,3,-61.20963,20.321321
Neuron_168,7,-68.837616,8.940923
Neuron_169,7,-68.78369,8.9785385
Neuron_170,3,-48.875896,18.670696
Neuron_171,7,-68.803474,8.1924715
Neuron_172,0,1.6842422,-9.788014
Neuron_173,3,-49.367516,20.12888
Neuron_174,6,-20.908112,0.8532487
Neuron_175,0,17.795616,9.417753
Neuron_176,0,31.909391,-9.008142
Neuron_177,0,24.288704,3.4705331
Neuron_178,0,37.471855,20.00662
Neuron_179,0,22.503885,3.552491
Neuron_180,0,20.175117,-9.625774
Neuron_181,0,22.510876,-7.4836946
Neuron_182,0,38.996037,20.338816
Neuron_183,0,31.76252,14.352165
Neuron_184,0,19.156313,-8.733844
Neuron_185,0,21.241539,2.558714
Neuron_186,0,23.079422,-9.574842
Neuron_187,0,10.990641,-19.043911
Neuron_188,6,-12.816604,-18.883904
Neuron_189,0,31.76683,12.254823
Neuron_190,0,55.848137,21.014536
Neuron_191,0,31.489658,13.434188
Neuron_192,0,26.731188,1.1567186
Neuron_193,0,-4.198795,-23.774145
Neuron_194,0,7.930402,-20.357622
Neuron_195,0,-8.593025,-19.390255
Neuron_196,0,15.999066,8.160775
Neuron_197,0,39.99765,18.758242
Neuron_198,0,31.210588,15.419616
Neuron_199,0,37.56605,19.771954
Neuron_200,0,40.760876,17.939188
Neuron_201,0,51.552647,16.857796
Neuron_202,0,14.642289,-12.97747
Neuron_203,0,23.420633,-2.659479
Neuron_204,0,25.242893,2.8421698
Neuron_205,0,21.517895,-2.647034
Neuron_206,0,40.78612,18.335419
Neuron_207,0,31.917225,15.48409
Neuron_208,0,36.86441,18.741247
Neuron_209,0,24.417381,0.55918884
Neuron_210,0,24.19091,-2.866071
Neuron_211,0,21.806894,-17.638672
Neuron_212,0,25.53341,0.4832899
Neuron_213,0,22.233143,-8.292883
Neuron_214,0,-10.330517,-19.232115
Neuron_215,0,14.561343,-12.304421
Neuron_216,0,14.02089,8.332222
Neuron_217,0,38.357185,20.018837
Neuron_218,0,39.55745,20.556286
Neuron_219,0,44.47956,15.799627
Neuron_220,0,23.300741,3.5223134
Neuron_221,0,27.300407,-10.075636
Neuron_222,0,36.671165,20.177916
Neuron_223,6,-24.503313,-7.5080967
Neuron_224,0,36.32222,16.954294
Neuron_225,6,-23.975597,-8.031125
Neuron_226,0,8.106582,-21.36403
Neuron_227,0,-2.0784652,-22.839275
Neuron_228,6,-18.046965,-16.223412
Neuron_229,0,-3.832319,-20.47795
Neuron_230,0,1.2943037,-22.310839
Neuron_231,0,-5.285969,-20.423796
Neuron_232,0,-4.6691704,-20.677847
Neuron_233,0,-3.038836,11.724975
Neuron_234,0,30.097075,16.826931
Neuron_235,0,7.243998,-23.316633
Neuron_236,0,30.585629,15.563399
Neuron_237,0,38.98762,19.942913
Neuron_238,6,-13.329898,-20.844536
Neuron_239,6,-12.309793,-22.079319
Neuron_240,0,31.417355,14.55652
Neuron_241,0,11.9865885,-20.112415
Neuron_242,0,7.387154,-22.262154
Neuron_243,0,1.6876804,-22.586805
Neuron_244,0,-7.746672,-18.586298
Neuron_245,6,-28.299374,-1.356879
Neuron_246,0,31.42736,18.613602
Neuron_247,0,56.199333,20.162186
Neuron_248,0,28.165028,2.9267192
Neuron_249,0,22.736238,3.7097166
Neuron_250,0,32.13284,18.39516
Neuron_251,0,39.5773,19.0354
Neuron_252,0,13.343347,-10.193403
Neuron_253,0,9.949156,-16.262882
Neuron_254,0,-2.397047,11.455537
Neuron_255,0,-3.1575215,9.397434
Neuron_256,0,8.2083235,-20.099318
Neuron_257,0,33.532085,15.13834
Neuron_258,0,28.394638,1.484889
Neuron_259,6,-18.900944,-11.529658
Neuron_260,0,32.874065,16.622944
Neuron_261,0,-5.622538,10.71541
Neuron_262,0,31.57508,12.508296
Neuron_263,6,-11.459636,-20.03379
Neuron_264,0,31.22022,15.433688
Neuron_265,0,18.178238,6.0891767
Neuron_266,0,22.460625,-10.863055
Neuron_267,0,0.74944526,-19.431477
Neuron_268,0,40.81636,21.887745
Neuron_269,0,50.082523,19.33143
Neuron_270,0,50.583046,20.36825
Neuron_271,0,35.13598,16.064413
Neuron_272,0,35.66553,17.411413
Neuron_273,0,24.628445,4.311012
Neuron_274,0,33.930805,15.653533
Neuron_275,0,13.188874,-7.5986657
Neuron_276,0,9.640067,-19.803394
Neuron_277,0,32.4669,18.713055
Neuron_278,0,21.438475,-9.553474
Neuron_279,0,33.33176,20.337303
Neuron_280,0,40.60327,17.63794
Neuron_281,0,38.81901,-4.6485615
Neuron_282,0,33.545956,20.60805
Neuron_283,0,34.933586,11.489362
Neuron_284,0,17.587923,6.3078575
Neuron_285,0,3.0299048,11.322024
Neuron_286,0,17.544008,5.6243334
Neuron_287,0,33.57981,19.765465
Neuron_288,0,29.55497,3.264553
Neuron_289,0,23.465208,-3.2462282
Neuron_290,0,20.057972,-1.4081993
Neuron_291,0,6.7924747,-21.706709
Neuron_292,0,48.448303,-3.4119406
Neuron_293,6,-45.48264,13.932613
Neuron_294,6,-12.076383,-20.438908
Neuron_295,0,0.36697716,-18.144327
Neuron_296,6,-27.444372,-5.7744026
Neuron_297,0,-7.9056225,-20.4603
Neuron_298,0,15.981968,-13.246085
Neuron_299,6,-42.55814,11.83966
Neuron_300,6,-45.13264,15.177976
Neuron_301,6,-12.29499,-22.299988
Neuron_302,6,-24.667965,-8.796623
Neuron_303,6,-32.96735,2.6492774
Neuron_304,6,-38.026924,8.784409
Neuron_305,6,-28.743103,-1.7501601
Neuron_306,6,-29.190907,-1.1082312
Neuron_307,0,21.422047,-17.962639
Neuron_308,6,-37.395588,6.1878304
Neuron_309,0,13.980897,-12.249042
Neuron_310,6,-12.470483,-20.90097
Neuron_311,6,-14.891075,-20.42028
Neuron_312,6,-40.17636,9.128037
Neuron_313,6,-42.154354,11.418759
Neuron_314,6,-42.72154,12.294674
Neuron_315,6,-40.694168,9.859989
Neuron_316,0,17.725813,10.671714
Neuron_317,0,10.976832,-20.390808
Neuron_318,0,22.107124,-5.2023
Neuron_319,0,26.77867,3.1167684
Neuron_320,0,13.986771,-20.461073
Neuron_321,0,-5.5805306,-20.872797
Neuron_322,0,7.0009894,-23.00235
Neuron_323,0,30.442738,6.677719
Neuron_324,0,-3.161519,-22.648108
Neuron_325,6,-21.629135,-9.066713
Neuron_326,0,45.446045,18.783886
Neuron_327,0,-6.071966,-18.478827
Neuron_328,0,46.084908,18.881088
Neuron_329,0,4.503398,7.263132
Neuron_330,0,1.8454657,-23.191404
Neuron_331,0,2.2239404,-21.579739
Neuron_332,6,-26.424341,-5.7616515
Neuron_333,6,-29.61826,-0.5133344
Neuron_334,6,-40.605263,8.908137
Neuron_335,6,-12.13107,5.0960855
Neuron_336,0,28.58395,4.6311893
Neuron_337,6,-20.924522,-11.702496
Neuron_338,6,-40.722275,9.429601
Neuron_339,0,32.090397,4.407266
Neuron_340,0,3.1578977,7.9795003
Neuron_341,0,-11.727664,-22.78012
Neuron_342,0,17.016323,-10.455291
Neuron_343,6,-36.919323,5.988786
Neuron_344,6,-14.063091,4.997279
Neuron_345,6,-43.11567,12.146481
Neuron_346,6,-12.740972,-20.2926
Neuron_347,0,7.791157,-23.073202
Neuron_348,6,-12.113501,-19.090044
Neuron_349,6,-39.78171,11.531226
Neuron_350,6,-25.428114,-5.6066556
Neuron_351,0,18.422657,-10.566259
Neuron_352,0,17.989607,11.1704
Neuron_353,0,24.362703,-8.437541
Neuron_354,6,-29.553156,9.57877
Neuron_355,0,-7.6560993,-23.18726
Neuron_356,3,-50.290253,18.316597
Neuron_357,0,20.981236,-9.474465
Neuron_358,0,27.359877,-8.364865
Neuron_359,6,-8.58958,9.769984
Neuron_360,0,8.493443,-22.732504
Neuron_361,0,1.2955643,-19.296366
Neuron_362,0,35.377377,20.839064
Neuron_363,0,-12.218072,-22.859232
Neuron_364,6,-18.688316,5.241002
Neuron_365,0,5.78904,-17.558529
Neuron_366,6,-19.058561,-9.393394
Neuron_367,6,-13.861097,6.562609
Neuron_368,0,3.349871,7.3894596
Neuron_369,0,2.7154996,-17.597475
Neuron_370,0,15.804498,10.654404
Neuron_371,6,-41.55818,12.116256
Neuron_372,6,-31.183754,1.6992375
Neuron_373,0,-8.759233,-17.591513
Neuron_374,6,-20.77103,-11.506118
Neuron_375,0,1.3251344,7.0444536
Neuron_376,0,16.464401,-15.447173
Neuron_377,0,-7.259012,-20.440033
Neuron_378,0,4.6147785,7.4376616
Neuron_379,0,5.58307,-23.071056
Neuron_380,0,25.556211,1.979408
Neuron_381,0,-5.2503195,5.3144355
Neuron_382,0,9.643547,-17.945162
Neuron_383,0,1.825124,7.670925
Neuron_384,6,-10.768557,-14.3624115
Neuron_385,0,0.09976883,-14.918448
Neuron_386,6,-18.026697,-9.028217
Neuron_387,0,17.285988,9.45184
Neuron_388,0,27.539045,0.6857872
Neuron_389,6,-14.070067,-20.304035
Neuron_390,0,34.36159,10.061379
Neuron_391,0,11.456788,-18.412773
Neuron_392,0,-1.7569906,6.8986454
Neuron_393,0,12.323874,-20.721199
Neuron_394,6,-34.822624,4.8301167
Neuron_395,0,36.098637,11.122081
Neuron_396,0,1.0460714,-22.452234
Neuron_397,0,-1.2043946,9.389445
Neuron_398,0,-2.983351,-24.493828
Neuron_399,6,-20.19252,4.4003234
Neuron_400,0,26.993933,-6.1523924
Neuron_401,6,-26.178669,-4.9367394
Neuron_402,0,-6.7790318,-22.562593
Neuron_403,0,27.495045,-1.3799078
Neuron_404,6,-16.768654,-14.461155
Neuron_405,0,-8.187248,-20.842941
Neuron_406,0,-0.8891994,-16.117964
Neuron_407,0,-3.2343183,11.227149
Neuron_408,0,15.235563,-19.200108
Neuron_409,0,23.987036,-3.3522878
Neuron_410,0,13.325714,-16.111694
Neuron_411,0,0.07788767,6.3514843
Neuron_412,6,-27.717726,9.248593
Neuron_413,0,35.443092,13.910596
Neuron_414,0,-3.5527503,4.568943
Neuron_415,0,26.502897,-6.600422
Neuron_416,6,-7.320376,4.761233
Neuron_417,0,2.81728,-19.409565
Neuron_418,6,-27.314049,8.574473
Neuron_419,0,-9.664046,-19.613415
Neuron_420,0,-5.6659236,-19.577597
Neuron_421,0,-8.462611,-18.439695
Neuron_422,6,-25.877033,8.338963
Neuron_423,0,43.894016,16.336304
Neuron_424,0,-10.435954,-17.902252
Neuron_425,0,3.5280027,6.8044252
Neuron_426,6,-6.280076,8.8526325
Neuron_427,0,30.034693,5.526398
Neuron_428,6,-32.46556,2.2295518
Neuron_429,6,-13.304618,6.4490647
Neuron_430,0,0.54120684,7.77089
Neuron_431,6,-11.003345,-17.170746
Neuron_432,6,-7.887028,9.041966
Neuron_433,0,38.51938,9.390964
Neuron_434,0,14.687393,-17.109688
Neuron_435,0,29.148952,2.588355
Neuron_436,0,2.9351745,-11.074784
Neuron_437,0,41.44078,-6.627413
Neuron_438,0,23.419786,-2.3885636
Neuron_439,6,-39.59081,15.722624
Neuron_440,0,0.059326746,-18.966208
Neuron_441,6,-18.052282,-5.4489927
Neuron_442,0,14.361355,-18.496914
Neuron_443,6,-37.24725,17.4887
Neuron_444,0,12.4481535,-18.290007
Neuron_445,0,17.028713,9.530504
Neuron_446,0,34.323837,7.69114
Neuron_447,6,-13.498764,5.8338623
Neuron_448,0,23.221197,-7.5128617
Neuron_449,0,2.5790343,9.304157
Neuron_450,0,-1.0117606,11.341387
Neuron_451,0,4.258356,6.884404
Neuron_452,6,-7.402018,9.468682
Neuron_453,6,-11.426228,5.4230475
Neuron_454,0,4.067837,7.680553
Neuron_455,6,-25.925629,8.627597
Neuron_456,6,-31.849249,14.16438
Neuron_457,0,-0.4135484,-19.940233
Neuron_458,0,17.373867,-15.44657
Neuron_459,0,28.90836,0.6108252
Neuron_460,0,35.736725,9.485012
Neuron_461,0,-4.628409,6.025219
Neuron_462,6,-24.175814,5.0490932
Neuron_463,0,18.398916,11.545971
Neuron_464,0,0.36237612,11.300212
Neuron_465,0,3.176363,-20.13744
Neuron_466,0,40.570683,22.061243
Neuron_467,0,14.396798,7.8072934
Neuron_468,0,42.453346,4.9125032
Neuron_469,0,1.271916,11.574569
Neuron_470,0,37.752106,6.127326
Neuron_471,0,32.79549,1.8217667
Neuron_472,6,-19.449152,4.874232
Neuron_473,6,-19.51843,-13.708945
Neuron_474,0,25.411558,-8.257658
Neuron_475,6,-26.528488,9.354972
Neuron_476,0,18.589888,-12.504962
Neuron_477,6,-35.34829,15.865815
Neuron_478,0,28.52894,-5.175109
Neuron_479,6,-31.17408,12.699429
Neuron_480,6,-11.82752,-18.99
Neuron_481,0,13.086632,-19.578608
Neuron_482,6,-35.399647,15.589614
Neuron_483,0,32.638752,1.7856631
Neuron_484,0,35.86978,20.66941
Neuron_485,0,32.818974,19.71827
Neuron_486,0,16.058056,9.862479
Neuron_487,0,31.474916,4.703916
Neuron_488,0,0.06391474,-20.973948
Neuron_489,0,-1.8866674,8.893348
Neuron_490,0,17.717922,5.8874035
Neuron_491,0,32.199398,19.27806
Neuron_492,0,-0.117522515,11.484378
Neuron_493,0,16.242273,-17.653488
Neuron_494,6,-25.205162,-6.6773105
Neuron_495,0,2.8615754,10.749675
Neuron_496,0,-0.41901672,7.3531456
Neuron_497,6,-15.194171,6.004698
Neuron_498,0,34.336277,20.690422
Neuron_499,0,30.66051,13.104429
Neuron_500,0,32.80326,20.050327
Neuron_501,0,36.408333,19.971176
Neuron_502,0,30.640018,17.949774
Neuron_503,6,-7.7724023,9.277604
Neuron_504,0,5.185888,7.795686
Neuron_505,0,4.1615477,8.019757
Neuron_506,0,45.057972,17.674206
Neuron_507,6,-14.145779,6.7775483
Neuron_508,0,-5.082838,12.136207
Neuron_509,0,0.06685981,8.005582
Neuron_510,6,-13.142017,7.061987
Neuron_511,6,-18.834906,3.4738867
Neuron_512,0,-2.0269349,11.595436
Neuron_513,6,-6.2569513,4.5024247
Neuron_514,6,-41.829502,9.8669
Neuron_515,6,-14.327352,6.923443
Neuron_516,6,-23.733776,4.9429646
Neuron_517,6,-35.545982,11.145275
Neuron_518,0,16.215733,8.9227915
Neuron_519,6,-5.3786893,6.115581
Neuron_520,6,-21.267693,5.9599214
Neuron_521,6,-5.8322554,3.0806773
Neuron_522,0,48.513863,-3.3595614
Neuron_523,0,1.9118334,9.634816
Neuron_524,0,16.316708,11.064479
Neuron_525,0,-2.1465874,8.988735
Neuron_526,3,-52.878685,19.061893
Neuron_527,6,-29.936089,9.065057
Neuron_528,6,-9.935556,5.775149
Neuron_529,0,41.549706,-9.620935
Neuron_530,0,-1.4443897,-22.59323
Neuron_531,0,0.7879868,-15.473304
Neuron_532,0,0.48498136,-18.314434
Neuron_533,6,-14.915785,-5.140519
Neuron_534,0,29.092356,-8.734502
Neuron_535,0,17.975838,-14.922585
Neuron_536,6,-9.855579,7.934361
Neuron_537,0,-0.7940172,-13.897698
Neuron_538,6,-19.597576,-3.4449441
Neuron_539,6,-20.00028,4.6435413
Neuron_540,0,-0.5405907,-16.942104
Neuron_541,0,14.642266,-14.838057
Neuron_542,0,1.3949002,-18.672358
Neuron_543,6,-17.984324,4.5517864
Neuron_544,0,14.186445,-16.72417
Neuron_545,0,1.998951,-19.423288
Neuron_546,0,-4.214288,10.033725
Neuron_547,6,-23.641287,-7.8194947
Neuron_548,6,-27.042465,9.690649
Neuron_549,6,-26.91,9.632603
Neuron_550,0,14.940422,-17.169243
Neuron_551,6,-8.287512,5.450271
Neuron_552,0,-5.4486566,-17.467966
Neuron_553,0,1.312699,8.287993
Neuron_554,6,-9.990566,-15.260536
Neuron_555,0,-4.6422033,4.539566
Neuron_556,6,-9.688292,-16.29427
Neuron_557,0,13.040238,-17.384306
Neuron_558,0,34.289494,3.108629
Neuron_559,0,33.71377,5.165974
Neuron_560,0,6.5518394,-15.268367
Neuron_561,0,34.650887,5.9288907
Neuron_562,0,53.109745,-0.46796173
Neuron_563,6,-17.791,5.5562253
Neuron_564,0,18.369753,-14.485207
Neuron_565,0,18.1655,-13.605272
Neuron_566,0,15.442523,-13.3602705
Neuron_567,0,21.45674,-10.165839
Neuron_568,0,10.798661,-18.267588
Neuron_569,6,-12.48348,-18.003212
Neuron_570,0,26.578518,0.47248945
Neuron_571,0,0.07418409,10.107897
Neuron_572,0,41.722553,4.440337
Neuron_573,0,35.71639,11.059097
Neuron_574,0,41.723354,4.44037
Neuron_575,0,1.4028139,10.4064045
Neuron_576,0,45.60356,-0.73300976
Neuron_577,0,2.626171,-11.455251
Neuron_578,6,-30.748302,13.270442
Neuron_579,6,-28.099651,-2.8087728
Neuron_580,0,13.517045,-18.434122
Neuron_581,6,-11.808741,6.8715687
Neuron_582,0,2.1282716,-17.819752
Neuron_583,6,-11.912775,-17.80321
Neuron_584,6,-19.891245,-7.3583293
Neuron_585,6,-23.535154,-5.596322
Neuron_586,6,-16.619152,-13.690875
Neuron_587,6,-9.493522,6.063622
Neuron_588,6,-11.071753,6.9337573
Neuron_589,0,-2.088418,-16.412088
Neuron_590,0,3.904007,10.207798
Neuron_591,0,17.473656,8.9082985
Neuron_592,0,-3.2699192,10.018924
Neuron_593,0,41.60318,4.2832355
Neuron_594,0,2.9229693,-22.634188
Neuron_595,0,-2.745642,-23.088966
Neuron_596,0,-3.681523,10.506767
Neuron_597,0,1.9758114,11.11304
Neuron_598,0,-2.228393,10.456029
Neuron_599,0,31.015255,18.952526
Neuron_600,0,21.518824,-4.9217696
Neuron_601,0,-10.287906,-23.735144
Neuron_602,0,2.112437,-18.191355
Neuron_603,6,-22.68143,-9.243051
Neuron_604,6,-23.270082,-8.623312
Neuron_605,0,6.292194,-22.31733
Neuron_606,6,-8.2247505,8.821482
Neuron_607,6,-11.251551,-19.275116
Neuron_608,0,-0.23752455,-21.712685
Neuron_609,0,6.1282387,-15.774968
Neuron_610,6,-9.845672,6.3436036
Neuron_611,6,-20.798542,-9.748261
Neuron_612,0,14.32722,-16.263874
Neuron_613,6,-30.519186,2.262847
Neuron_614,6,-14.069017,-16.462416
Neuron_615,6,-24.466595,-6.7191176
Neuron_616,0,-8.171663,-21.61868
Neuron_617,6,-17.672985,-7.941435
Neuron_618,0,13.857241,-19.89504
Neuron_619,0,18.937065,-16.706596
Neuron_620,6,-19.159723,-11.381867
Neuron_621,0,-3.1555521,-15.136028
Neuron_622,6,-18.981213,-4.4764996
Neuron_623,0,-10.201439,-19.74062
Neuron_624,6,-17.745436,-8.305961
Neuron_625,6,-43.53107,15.74133
Neuron_626,6,-22.254568,0.5207642
Neuron_627,6,-21.209589,-1.9585868
Neuron_628,0,13.250114,-20.496075
Neuron_629,6,-21.089272,-2.3052914
Neuron_630,0,-0.9349235,-20.704956
Neuron_631,6,-34.47221,14.257161
Neuron_632,6,-25.277695,6.8200665
Neuron_633,6,-40.827625,16.06224
Neuron_634,6,-25.759775,-5.9052434
Neuron_635,0,-4.976854,8.577788
Neuron_636,6,-20.900856,4.9988894
Neuron_637,6,-34.312534,13.741129
Neuron_638,6,-33.999245,10.391323
Neuron_639,6,-13.0816765,5.090507
Neuron_640,6,-12.58189,7.0933123
Neuron_641,0,-4.0354753,6.7172484
Neuron_642,0,-2.386069,6.532166
Neuron_643,0,4.5529613,8.309814
Neuron_644,0,3.0147195,6.749466
Neuron_645,0,1.7275774,8.696193
Neuron_646,0,-4.6442504,6.690087
Neuron_647,0,45.4349,18.37654
Neuron_648,6,-13.078695,5.449107
Neuron_649,6,-26.504398,3.4935138
Neuron_650,0,18.428648,11.543171
Neuron_651,0,-4.790875,6.2852316
Neuron_652,6,-12.047871,5.5468435
Neuron_653,0,1.6186905,7.0155478
Neuron_654,0,47.856438,12.784915
Neuron_655,0,5.0608816,8.421607
Neuron_656,3,-50.06402,18.773573
Neuron_657,6,-31.470303,3.5025673
Neuron_658,6,-7.9085784,10.516061
Neuron_659,0,-0.75692075,6.818643
Neuron_660,0,-2.5802774,7.0725965
Neuron_661,6,-12.785676,7.578211
Neuron_662,6,-10.795501,-14.474207
Neuron_663,6,-31.492376,12.502263
Neuron_664,6,-26.92643,7.120533
Neuron_665,6,-5.698221,6.0194964
Neuron_666,0,56.950157,22.084839
Neuron_667,6,-45.091763,16.784424
Neuron_668,6,-26.830935,-8.025795
Neuron_669,0,18.055933,-8.845754
Neuron_670,6,-31.267548,1.2805461
Neuron_671,6,-32.607758,2.9709418
Neuron_672,6,-31.832294,2.6613631
Neuron_673,6,-32.049534,2.9048874
Neuron_674,6,-37.913483,7.7447996
Neuron_675,6,-38.292553,8.11419
Neuron_676,6,-34.196285,5.396242
Neuron_677,6,-15.834907,-10.653072
Neuron_678,6,-17.872002,2.939254
Neuron_679,6,-40.5792,8.602787
Neuron_680,6,-41.20542,10.038746
Neuron_681,6,-41.81146,11.115622
Neuron_682,6,-42.950737,12.930621
Neuron_683,6,-44.16742,14.358444
Neuron_684,6,-45.801003,15.71581
Neuron_685,6,-43.31064,15.253591
Neuron_686,6,-18.394917,-1.7454988
Neuron_687,0,-3.3204875,2.2339191
Neuron_688,6,-17.818056,-4.56014
Neuron_689,0,-1.9827931,-15.477094
