gene,integrated_gradients
WBGene00008563,2.5293133e-07
WBGene00020761,2.529018e-07
WBGene00009055,2.5283026e-07
WBGene00007761,2.5269557e-07
WBGene00011131,2.526476e-07
WBGene00008444,2.5248286e-07
WBGene00000914,2.52468e-07
WBGene00011985,2.5242113e-07
WBGene00004087,2.523886e-07
WBGene00008214,2.5227274e-07
WBGene00020655,2.5219924e-07
WBGene00011279,2.5213566e-07
WBGene00016995,2.5196726e-07
WBGene00003602,2.519246e-07
WBGene00009161,2.5165613e-07
WBGene00003143,2.5143416e-07
WBGene00013243,2.512014e-07
WBGene00022452,2.512004e-07
WBGene00000140,2.5116714e-07
WBGene00021552,2.5105183e-07
WBGene00012907,2.509174e-07
WBGene00017422,2.5083975e-07
WBGene00004744,2.5083605e-07
WBGene00014220,2.5082653e-07
WBGene00019249,2.5076525e-07
WBGene00002986,2.5058586e-07
WBGene00008398,2.5016726e-07
WBGene00007121,2.5012946e-07
WBGene00220239,2.5012852e-07
WBGene00004894,2.500717e-07
WBGene00019408,2.5007023e-07
WBGene00019126,2.4989507e-07
WBGene00013354,2.4987648e-07
WBGene00016970,2.4943628e-07
WBGene00000263,2.4913032e-07
WBGene00008119,2.4906848e-07
WBGene00011283,2.4874063e-07
WBGene00003653,2.4848384e-07
WBGene00000423,2.4848262e-07
WBGene00200347,2.4846187e-07
WBGene00001669,2.484034e-07
WBGene00010796,2.4827787e-07
WBGene00013359,2.4821708e-07
WBGene00006789,2.4820554e-07
WBGene00013732,2.4815608e-07
WBGene00006777,2.4814258e-07
WBGene00003834,2.4808676e-07
WBGene00007847,2.4807804e-07
WBGene00007944,2.4806255e-07
WBGene00011774,2.4798123e-07
WBGene00020911,2.479797e-07
WBGene00014622,2.4789534e-07
WBGene00007994,2.4788446e-07
WBGene00000184,2.4778305e-07
WBGene00006490,2.4756133e-07
WBGene00017914,2.4741476e-07
WBGene00007548,2.4738836e-07
WBGene00016997,2.4738128e-07
WBGene00006405,2.4729076e-07
WBGene00001686,2.4719458e-07
WBGene00010131,2.4706793e-07
WBGene00010221,2.4693844e-07
WBGene00011145,2.4685545e-07
WBGene00009098,2.4651837e-07
WBGene00015552,2.463485e-07
WBGene00013898,2.4632376e-07
WBGene00007029,2.462513e-07
WBGene00018804,2.4600175e-07
WBGene00007187,2.458529e-07
WBGene00010369,2.4580686e-07
WBGene00011562,2.4580163e-07
WBGene00000482,2.4567487e-07
WBGene00006817,2.456519e-07
WBGene00009050,2.4552696e-07
WBGene00021363,2.4549854e-07
WBGene00009920,2.4543874e-07
WBGene00019663,2.4518948e-07
WBGene00001490,2.4512093e-07
WBGene00000553,2.448915e-07
WBGene00050944,2.4488006e-07
WBGene00017925,2.448793e-07
WBGene00016458,2.4486755e-07
WBGene00006780,2.4486317e-07
WBGene00004758,2.4484018e-07
WBGene00006503,2.4453954e-07
WBGene00010838,2.445197e-07
WBGene00009974,2.4444947e-07
WBGene00010631,2.4430918e-07
WBGene00004567,2.442815e-07
WBGene00004732,2.4425967e-07
WBGene00003986,2.4422377e-07
WBGene00008018,2.4413754e-07
WBGene00021123,2.441203e-07
WBGene00009672,2.440897e-07
WBGene00001815,2.4402655e-07
WBGene00001709,2.4387936e-07
WBGene00022271,2.4377152e-07
WBGene00014772,2.436415e-07
WBGene00007388,2.435149e-07
WBGene00044071,2.43279e-07
WBGene00004010,2.432365e-07
