,,0
"(0, 1)","(0, 2)",42
"(0, 1)","(0, 2)",10
"(0, 0)","(0, 1)",12
"(0, 0)","(0, 1)",6
"(0, 0)","(0, 1)",2
"(0, 0)","(0, 1)",7
"(0, 1)","(1, 0)",18
"(0, 0)","(0, 1)",1
"(0, 1)","(1, 0)",7
"(0, 0)","(0, 1)",2
"(0, 0)","(1, 0)",6
"(0, 0)","(0, 1)",6
"(0, 1)","(1, 0)",6
"(0, 1)","(1, 0)",48
"(0, 0)","(0, 1)",8
"(0, 0)","(0, 2)",17
"(0, 0)","(0, 1)",23
"(0, 0)","(0, 1)",111
"(0, 2)","(1, 0)",83
"(0, 0)","(0, 2)",30
"(0, 0)","(0, 1)",36
"(0, 0)","(0, 1)",102
"(0, 0)","(0, 1)",6
"(0, 0)","(0, 1)",84
"(0, 0)","(0, 1)",47
"(0, 0)","(0, 1)",3
"(0, 0)","(1, 0)",9
"(0, 0)","(0, 1)",4
"(0, 0)","(0, 1)",3
"(0, 0)","(0, 1)",16
"(0, 0)","(0, 1)",27
"(0, 0)","(0, 1)",17
"(0, 0)","(0, 2)",3
"(1, 1)","(1, 2)",29
"(0, 0)","(0, 1)",3
"(0, 0)","(0, 1)",55
"(0, 0)","(0, 2)",9
"(0, 0)","(0, 2)",18
"(0, 0)","(0, 2)",19
"(0, 0)","(0, 2)",10
"(0, 0)","(0, 1)",10
"(0, 0)","(0, 1)",11
"(0, 0)","(0, 1)",3
"(0, 0)","(1, 0)",1
"(0, 1)","(0, 2)",4
"(0, 0)","(0, 2)",26
"(0, 1)","(1, 0)",19
"(0, 1)","(0, 2)",16
"(0, 2)","(1, 0)",10
"(0, 0)","(1, 0)",2
"(0, 0)","(0, 1)",34
"(0, 0)","(0, 1)",43
"(0, 0)","(0, 1)",26
"(0, 0)","(0, 1)",12
"(0, 1)","(0, 2)",24
"(0, 0)","(0, 2)",9
"(0, 1)","(0, 2)",5
"(0, 1)","(0, 2)",42
"(0, 0)","(1, 0)",4
"(0, 1)","(0, 2)",10
"(0, 0)","(0, 1)",11
"(0, 0)","(0, 1)",4
"(0, 1)","(1, 0)",21
"(0, 0)","(0, 1)",14
"(0, 1)","(0, 2)",6
"(0, 0)","(0, 2)",5
"(0, 1)","(0, 2)",3
"(0, 2)","(1, 0)",17
"(0, 0)","(0, 1)",13
"(0, 0)","(0, 2)",5
"(0, 0)","(0, 1)",11
"(0, 1)","(1, 1)",17
"(0, 1)","(0, 2)",8
"(0, 1)","(1, 0)",12
"(1, 0)","(1, 1)",15
"(0, 2)","(1, 0)",30
"(0, 1)","(0, 2)",7
"(0, 1)","(1, 1)",3
"(0, 0)","(0, 1)",6
"(0, 0)","(0, 1)",23
"(0, 0)","(0, 1)",14
"(0, 0)","(0, 2)",1
"(0, 0)","(0, 1)",3
"(0, 0)","(0, 1)",8
