Neuron,reciprocal,chain,feedforward,divergent,convergent
PLNR ,0,0,0,1,0
 SAADL         ,0,0,0,0,1
FLPL ,0,0,0,1,0
 FLPR          ,0,0,0,0,1
 DD01          ,0,0,0,0,1
 VA01          ,0,0,0,0,1
FLPR ,0,0,0,1,0
 FLPL          ,0,0,0,0,1
 VB01          ,0,0,0,0,1
BDUL ,0,0,0,1,0
BDUR ,0,0,0,1,0
 ALMR          ,0,0,0,0,1
 dBWMR6        ,0,0,0,0,1
SDQL ,0,0,0,1,0
SDQR ,0,0,0,1,0
 vBWMR7        ,0,0,0,0,1
PVDL ,0,0,0,1,0
 PVDR          ,0,0,0,0,1
 AVG           ,0,0,0,0,1
 PVPL          ,0,0,0,0,1
 DD05          ,0,0,0,0,1
 VD10          ,0,0,0,0,1
 hyp           ,0,0,0,0,1
PVDR ,0,0,0,1,0
 PVDL          ,0,0,0,0,1
 VA09          ,0,0,0,0,1
 VA12          ,0,0,0,0,1
 VB05          ,0,0,0,0,1
 VB06          ,0,0,0,0,1
BAGL ,0,0,0,1,0
 RIVR          ,0,0,0,0,1
BAGR ,0,0,0,1,0
 AQR           ,0,0,0,0,1
URXL ,0,0,0,1,0
URXR ,0,0,0,1,0
URYDL ,0,0,0,1,0
URYDR ,0,0,0,1,0
URYVL ,0,0,0,1,0
URYVR ,0,0,0,1,0
AQR ,0,0,0,1,0
PQR ,0,0,0,1,0
 PHBL          ,0,0,0,0,1
 LUAR          ,0,0,0,0,1
 DA08          ,0,0,0,0,1
 DB07          ,0,0,0,0,1
AUAL ,0,0,0,1,0
AUAR ,0,0,0,1,0
ADEL ,0,0,0,1,0
ADER ,0,0,0,1,0
 ALNR          ,0,0,0,0,1
PDEL ,0,0,0,1,0
PDER ,0,0,0,1,0
 PDEL          ,0,0,0,0,1
PHAL ,0,0,0,1,0
 PHAR          ,0,0,0,0,1
 PHBR          ,0,0,0,0,1
PHAR ,0,0,0,1,0
 PHAL          ,0,0,0,0,1
 PVT           ,0,0,0,0,1
PHBL ,0,0,0,1,0
 AS11          ,0,0,0,0,1
PHBR ,0,0,0,1,0
 PHCR          ,0,0,0,0,1
PHCL ,0,0,0,1,0
 LUAL          ,0,0,0,0,1
 DA09          ,0,0,0,0,1
PHCR ,0,0,0,1,0
 PHCL          ,0,0,0,0,1
AIAL ,0,0,0,1,0
AIAR ,0,0,0,1,0
AIBL ,0,0,0,1,0
 RMFR          ,0,0,0,0,1
 RIMR          ,0,0,0,0,1
AIBR ,0,0,0,1,0
AIYL ,0,0,0,1,0
AIYR ,0,0,0,1,0
AIZL ,0,0,0,1,0
 AVKR          ,0,0,0,0,1
 VB02          ,0,0,0,0,1
AIZR ,0,0,0,1,0
ADAL ,0,0,0,1,0
ADAR ,0,0,0,1,0
AIML ,0,0,0,1,0
 AVFR          ,0,0,0,0,1
AIMR ,0,0,0,1,0
AINL ,0,0,0,1,0
AINR ,0,0,0,1,0
ALA ,0,0,0,1,0
RIAL ,0,0,0,1,0
RIAR ,0,0,0,1,0
 vBWML6        ,0,0,0,0,1
RIBL ,0,0,0,1,0
RIBR ,0,0,0,1,0
RICL ,0,0,0,1,0
RICR ,0,0,0,1,0
RIFL ,0,0,0,1,0
RIFR ,0,0,0,1,0
RIGL ,0,0,0,1,0
 ALNL          ,0,0,0,0,1
RIGR ,0,0,0,1,0
RIH ,0,0,0,1,0
 IL2VL         ,0,0,0,0,1
RIR ,0,0,0,1,0
RIS ,0,0,0,1,0
RMFL ,0,0,0,1,0
RMFR ,0,0,0,1,0
RMGL ,0,0,0,1,0
RMGR ,0,0,0,1,0
URBL ,0,0,0,1,0
URBR ,0,0,0,1,0
RIPL ,0,0,0,1,0
RIPR ,0,0,0,1,0
AVFL ,0,0,0,1,0
 DVB           ,0,0,0,0,1
 AS10          ,0,0,0,0,1
 vBWML10       ,0,0,0,0,1
 vBWML11       ,0,0,0,0,1
 vBWML13       ,0,0,0,0,1
 intestine     ,0,0,0,0,1
 VC01          ,0,0,0,0,1
AVFR ,0,0,0,1,0
 vBWML12       ,0,0,0,0,1
 vBWMR14       ,0,0,0,0,1
AVG ,0,0,0,1,0
 VA06          ,0,0,0,0,1
 VA11          ,0,0,0,0,1
 vBWML16       ,0,0,0,0,1
AVHL ,0,0,0,1,0
 SABD          ,0,0,0,0,1
 VD01          ,0,0,0,0,1
AVHR ,0,0,0,1,0
 vBWMR9        ,0,0,0,0,1
AVJL ,0,0,0,1,0
AVJR ,0,0,0,1,0
 SABVL         ,0,0,0,0,1
AVKL ,0,0,0,1,0
 vBWMR6        ,0,0,0,0,1
AVKR ,0,0,0,1,0
 vBWML9        ,0,0,0,0,1
AVL ,0,0,0,1,0
 PVWL          ,0,0,0,0,1
 SABVR         ,0,0,0,0,1
 DD06          ,0,0,0,0,1
 VD12          ,0,0,0,0,1
 vBWML15       ,0,0,0,0,1
 VC02          ,0,0,0,0,1
 VC06          ,0,0,0,0,1
DVA ,0,0,0,1,0
 PDER          ,0,0,0,0,1
 DA02          ,0,0,0,0,1
 DB02          ,0,0,0,0,1
 DB03          ,0,0,0,0,1
 DB04          ,0,0,0,0,1
 VA08          ,0,0,0,0,1
 VB11          ,0,0,0,0,1
DVB ,0,0,0,1,0
 PDA           ,0,0,0,0,1
 VD13          ,0,0,0,0,1
 intL          ,0,0,0,0,1
DVC ,0,0,0,1,0
 VD09          ,0,0,0,0,1
 vBWMR20       ,0,0,0,0,1
PVNL ,0,0,0,1,0
 PQR           ,0,0,0,0,1
 PVWR          ,0,0,0,0,1
PVNR ,0,0,0,1,0
 DD02          ,0,0,0,0,1
 VD03          ,0,0,0,0,1
 VD04          ,0,0,0,0,1
 VD06          ,0,0,0,0,1
 VD07          ,0,0,0,0,1
PVPL ,0,0,0,1,0
PVPR ,0,0,0,1,0
 vBWMR11       ,0,0,0,0,1
PVQL ,0,0,0,1,0
PVQR ,0,0,0,1,0
PVR ,0,0,0,1,0
 PVM           ,0,0,0,0,1
 SDQR          ,0,0,0,0,1
 DA05          ,0,0,0,0,1
PVT ,0,0,0,1,0
PVWL ,0,0,0,1,0
PVWR ,0,0,0,1,0
RID ,0,0,0,1,0
 DA06          ,0,0,0,0,1
 DB01          ,0,0,0,0,1
 VD05          ,0,0,0,0,1
 dBWML13       ,0,0,0,0,1
 dBWML14       ,0,0,0,0,1
 dBWMR10       ,0,0,0,0,1
PVCL ,0,0,0,1,0
 AS01          ,0,0,0,0,1
 AS02          ,0,0,0,0,1
 VB04          ,0,0,0,0,1
PVCR ,0,0,0,1,0
 DA04          ,0,0,0,0,1
 DA07          ,0,0,0,0,1
AVAL ,0,0,0,1,0
 DA03          ,0,0,0,0,1
 AS04          ,0,0,0,0,1
 AS05          ,0,0,0,0,1
 AS07          ,0,0,0,0,1
 AS08          ,0,0,0,0,1
 AS09          ,0,0,0,0,1
 VA03          ,0,0,0,0,1
 VA04          ,0,0,0,0,1
 VA05          ,0,0,0,0,1
 VA07          ,0,0,0,0,1
 VA10          ,0,0,0,0,1
AVAR ,0,0,0,1,0
 AS06          ,0,0,0,0,1
AVBL ,0,0,0,1,0
 VC03          ,0,0,0,0,1
AVBR ,0,0,0,1,0
 AS03          ,0,0,0,0,1
AVDL ,0,0,0,1,0
AVDR ,0,0,0,1,0
AVEL ,0,0,0,1,0
 VD02          ,0,0,0,0,1
AVER ,0,0,0,1,0
LUAL ,0,0,0,1,0
LUAR ,0,0,0,1,0
 PDB           ,0,0,0,0,1
RIML ,0,0,0,1,0
RIMR ,0,0,0,1,0
RMDDL ,0,0,0,1,0
RMDDR ,0,0,0,1,0
RMDL ,0,0,0,1,0
RMDR ,0,0,0,1,0
RMDVL ,0,0,0,1,0
RMDVR ,0,0,0,1,0
 vBWML3        ,0,0,0,0,1
RMED ,0,0,0,1,0
RMEL ,0,0,0,1,0
RMER ,0,0,0,1,0
RMEV ,0,0,0,1,0
RMHL ,0,0,0,1,0
RMHR ,0,0,0,1,0
RIVL ,0,0,0,1,0
RIVR ,0,0,0,1,0
URADL ,0,0,0,1,0
URADR ,0,0,0,1,0
URAVL ,0,0,0,1,0
URAVR ,0,0,0,1,0
SAADL ,0,0,0,1,0
SAADR ,0,0,0,1,0
 PLNL          ,0,0,0,0,1
SAAVL ,0,0,0,1,0
SAAVR ,0,0,0,1,0
SABD ,0,0,0,1,0
SABVL ,0,0,0,1,0
SABVR ,0,0,0,1,0
 vBWMR1        ,0,0,0,0,1
SIADL ,0,0,0,1,0
 dBWMR8        ,0,0,0,0,1
 dBWMR9        ,0,0,0,0,1
 dBWMR11       ,0,0,0,0,1
 dBWMR12       ,0,0,0,0,1
 dBWMR13       ,0,0,0,0,1
 dBWMR14       ,0,0,0,0,1
 dBWMR15       ,0,0,0,0,1
 dBWMR16       ,0,0,0,0,1
SIADR ,0,0,0,1,0
 dBWML7        ,0,0,0,0,1
 dBWML8        ,0,0,0,0,1
 dBWML9        ,0,0,0,0,1
 dBWML10       ,0,0,0,0,1
 dBWML11       ,0,0,0,0,1
 dBWML12       ,0,0,0,0,1
 dBWML15       ,0,0,0,0,1
 dBWML16       ,0,0,0,0,1
SIAVL ,0,0,0,1,0
 vBWML8        ,0,0,0,0,1
 vBWML14       ,0,0,0,0,1
SIAVR ,0,0,0,1,0
 PLNR          ,0,0,0,0,1
 vBWMR12       ,0,0,0,0,1
 vBWMR13       ,0,0,0,0,1
 vBWMR15       ,0,0,0,0,1
 vBWMR16       ,0,0,0,0,1
SIBDL ,0,0,0,1,0
SIBDR ,0,0,0,1,0
SIBVL ,0,0,0,1,0
SIBVR ,0,0,0,1,0
SMBDL ,0,0,0,1,0
SMBDR ,0,0,0,1,0
SMBVL ,0,0,0,1,0
SMBVR ,0,0,0,1,0
SMDDL ,0,0,0,1,0
SMDDR ,0,0,0,1,0
SMDVL ,0,0,0,1,0
SMDVR ,0,0,0,1,0
DA01 ,0,0,0,1,0
DA02 ,0,0,0,1,0
DA03 ,0,0,0,1,0
DA04 ,0,0,0,1,0
DA05 ,0,0,0,1,0
 DD03          ,0,0,0,0,1
DA06 ,0,0,0,1,0
 DB05          ,0,0,0,0,1
DA07 ,0,0,0,1,0
 DB06          ,0,0,0,0,1
 DD04          ,0,0,0,0,1
 VD08          ,0,0,0,0,1
 dBWML17       ,0,0,0,0,1
 dBWML18       ,0,0,0,0,1
 dBWML19       ,0,0,0,0,1
 dBWMR17       ,0,0,0,0,1
 dBWMR18       ,0,0,0,0,1
 dBWMR19       ,0,0,0,0,1
DA08 ,0,0,0,1,0
 VD11          ,0,0,0,0,1
 dBWML20       ,0,0,0,0,1
 dBWML21       ,0,0,0,0,1
 dBWMR20       ,0,0,0,0,1
 dBWMR21       ,0,0,0,0,1
DA09 ,0,0,0,1,0
 dBWML22       ,0,0,0,0,1
 dBWML23       ,0,0,0,0,1
 dBWML24       ,0,0,0,0,1
 dBWMR22       ,0,0,0,0,1
 dBWMR23       ,0,0,0,0,1
 dBWMR24       ,0,0,0,0,1
PDA ,0,0,0,1,0
DB01 ,0,0,0,1,0
DB02 ,0,0,0,1,0
DB03 ,0,0,0,1,0
DB04 ,0,0,0,1,0
DB05 ,0,0,0,1,0
DB06 ,0,0,0,1,0
DB07 ,0,0,0,1,0
AS01 ,0,0,0,1,0
AS02 ,0,0,0,1,0
AS03 ,0,0,0,1,0
AS04 ,0,0,0,1,0
AS05 ,0,0,0,1,0
AS06 ,0,0,0,1,0
AS07 ,0,0,0,1,0
AS08 ,0,0,0,1,0
AS09 ,0,0,0,1,0
AS10 ,0,0,0,1,0
AS11 ,0,0,0,1,0
PDB ,0,0,0,1,0
DD01 ,0,0,0,1,0
DD02 ,0,0,0,1,0
DD03 ,0,0,0,1,0
DD04 ,0,0,0,1,0
DD05 ,0,0,0,1,0
DD06 ,0,0,0,1,0
VA01 ,0,0,0,1,0
VA02 ,0,0,0,1,0
VA03 ,0,0,0,1,0
VA04 ,0,0,0,1,0
VA05 ,0,0,0,1,0
VA06 ,0,0,0,1,0
VA07 ,0,0,0,1,0
VA08 ,0,0,0,1,0
 vBWML17       ,0,0,0,0,1
 vBWML18       ,0,0,0,0,1
 vBWMR17       ,0,0,0,0,1
 vBWMR18       ,0,0,0,0,1
VA09 ,0,0,0,1,0
 VB07          ,0,0,0,0,1
 VB08          ,0,0,0,0,1
 vBWML19       ,0,0,0,0,1
 vBWMR19       ,0,0,0,0,1
VA10 ,0,0,0,1,0
 VB09          ,0,0,0,0,1
 vBWML20       ,0,0,0,0,1
 vBWMR21       ,0,0,0,0,1
VA11 ,0,0,0,1,0
 VB10          ,0,0,0,0,1
 vBWML21       ,0,0,0,0,1
 vBWMR22       ,0,0,0,0,1
 vBWMR23       ,0,0,0,0,1
VA12 ,0,0,0,1,0
 vBWML22       ,0,0,0,0,1
 vBWML23       ,0,0,0,0,1
 vBWMR24       ,0,0,0,0,1
VB01 ,0,0,0,1,0
VB02 ,0,0,0,1,0
VB03 ,0,0,0,1,0
VB04 ,0,0,0,1,0
VB05 ,0,0,0,1,0
