Gene,avg_abs_r
WBGene00013350,0.3507094533132111
WBGene00219299,0.35070484639432364
WBGene00005159,0.3506833657686725
WBGene00013383,0.3506621655166448
WBGene00202182,0.35065639434417595
WBGene00206475,0.35065351621126833
WBGene00001402,0.35064894646205
WBGene00004879,0.3506372870716982
WBGene00010315,0.3506319192204259
WBGene00249825,0.35061988096949426
WBGene00017092,0.350616333515203
WBGene00016495,0.35060097830577114
WBGene00013137,0.35060000958000437
WBGene00007480,0.3505786081191616
WBGene00018344,0.35056788572422665
WBGene00005289,0.35056449778540616
WBGene00009843,0.35051819546604956
WBGene00184990,0.3504803357228675
WBGene00009248,0.3504788809114017
WBGene00008892,0.35047579091072384
WBGene00007058,0.3504518600329644
WBGene00007758,0.3504451404354681
WBGene00018820,0.35043464843866556
WBGene00021660,0.35042744183027735
WBGene00016722,0.3503940305863186
WBGene00003386,0.35039318856971985
WBGene00001612,0.3503760869648151
WBGene00010422,0.3503496102273867
WBGene00002169,0.3503495137545763
WBGene00005727,0.35034166083867635
WBGene00007689,0.3503213905574223
WBGene00002244,0.3502952418763494
WBGene00013702,0.3502952382473077
WBGene00235257,0.3502643414835436
WBGene00018788,0.3502278912628461
WBGene00196521,0.3502193995692429
WBGene00013844,0.35021837905755177
WBGene00012281,0.3502175613854699
WBGene00219786,0.3502142560776096
WBGene00000894,0.3502139253282035
WBGene00017714,0.3501913828469049
WBGene00012140,0.35014236081194183
WBGene00021871,0.35012921641762396
WBGene00019705,0.35011929418962395
WBGene00013352,0.35011182337428154
WBGene00000237,0.3501091396456331
WBGene00006708,0.35009365987303087
WBGene00003864,0.3500660023015492
WBGene00018170,0.3500586738311906
WBGene00016044,0.35004710484681806
WBGene00018736,0.35004609321087915
WBGene00219302,0.35002678584005975
WBGene00013211,0.349994245317952
WBGene00003802,0.34998809151745347
WBGene00012573,0.34997839414413845
WBGene00007190,0.3499722787601002
WBGene00017326,0.34992563321618586
WBGene00014021,0.3499147098500002
WBGene00012911,0.3499108950980154
WBGene00009666,0.3499026852427662
WBGene00020999,0.34989903810631423
WBGene00019448,0.3498968470211581
WBGene00020463,0.34989342932558265
WBGene00016810,0.3498891541950704
WBGene00006629,0.349884000499565
WBGene00003879,0.34987832227926785
WBGene00044484,0.34987140210456047
WBGene00020689,0.3498483966060126
WBGene00019237,0.3498303598770891
WBGene00000647,0.34981516892448933
WBGene00006222,0.3498089511918005
WBGene00220037,0.34977734535955707
WBGene00007983,0.34977150723458755
WBGene00011468,0.3497694536698133
WBGene00021016,0.34976787778254814
WBGene00018610,0.34974468509835605
WBGene00000898,0.3497402646702442
WBGene00198798,0.3497205261979004
WBGene00001530,0.34971670576521124
WBGene00007357,0.3497071873207626
WBGene00008663,0.34969074446969833
WBGene00022761,0.3496769919279983
WBGene00012503,0.34967394907217303
WBGene00012942,0.3496720562771726
WBGene00019645,0.3496694692022153
WBGene00010257,0.3496432371629065
WBGene00235291,0.349639017618784
WBGene00022544,0.3496371609363011
WBGene00197691,0.3496195465871603
WBGene00011756,0.34960812060473356
WBGene00010865,0.349582152247591
WBGene00220088,0.34957834193176224
WBGene00012896,0.34957300127231633
WBGene00009578,0.349556140308849
WBGene00021981,0.34954717801117524
WBGene00009877,0.3495459768530238
WBGene00019706,0.3495416413497878
WBGene00021154,0.3495392575663466
WBGene00045493,0.34953892747880716
WBGene00012514,0.3495257974148603
WBGene00016860,0.34951021809294236
WBGene00003696,0.3494954290722503
WBGene00003950,0.34949506715254164
WBGene00014157,0.34948822246528677
WBGene00020235,0.3494656046429127
WBGene00010634,0.349459495199003
WBGene00013651,0.349455475783171
WBGene00003838,0.34945359156693884
WBGene00003124,0.34942981459952743
WBGene00023467,0.34939941714805367
WBGene00012100,0.3493771981985391
WBGene00009165,0.3493726412162872
WBGene00044311,0.3493702718015384
WBGene00010974,0.3493268182399618
WBGene00016359,0.3493186361541977
WBGene00004759,0.34931414765431895
WBGene00021078,0.3493066975933744
WBGene00019647,0.3493065413752811
WBGene00010135,0.34928945554146856
WBGene00000201,0.3492821422821046
WBGene00194707,0.3492744253905144
WBGene00020924,0.3492566379879455
WBGene00202081,0.3492561387563559
WBGene00010764,0.3492266470387699
WBGene00016794,0.3492095564595533
WBGene00012795,0.34919414420967937
