Neuron,total_3node_motifs,as_source,as_target
ASKR ,253,0,0
 AIMR          ,28,0,0
AWAL ,55,0,0
AWAR ,136,0,0
 ASIL          ,10,0,0
AWBL ,210,0,0
AWBR ,210,0,0
AWCL ,136,0,0
AWCR ,231,0,0
 ASIR          ,6,0,0
 IL2L          ,36,0,0
AFDL ,91,0,0
AFDR ,66,0,0
IL1DL ,105,0,0
 IL2DL         ,3,0,0
 RMDDR         ,210,0,0
 RMDVL         ,190,0,0
 RMEL          ,66,0,0
 URADL         ,10,0,0
 SIBDL         ,21,0,0
 dBWML1        ,28,0,0
 dBWML2        ,28,0,0
 dBWML3        ,36,0,0
 dBWML6        ,91,0,0
 dBWMR7        ,91,0,0
IL1DR ,136,0,0
 IL1DR         ,55,0,0
 IL1R          ,78,0,0
 IL2DR         ,6,0,0
 URYDR         ,10,0,0
 PVR           ,105,0,0
 RMDDL         ,325,0,0
 RMDVR         ,253,0,0
 URADR         ,10,0,0
 dBWMR1        ,36,0,0
 dBWMR2        ,28,0,0
 dBWMR3        ,55,0,0
IL1L ,253,0,0
 OLLL          ,55,0,0
 RMGL          ,190,0,0
 URBL          ,10,0,0
 RMDL          ,351,0,0
 RMDR          ,406,0,0
 RMER          ,136,0,0
 URAVL         ,28,0,0
 dBWML4        ,28,0,0
 dBWML5        ,78,0,0
 vBWML1        ,55,0,0
 vBWML2        ,45,0,0
 vBWML4        ,45,0,0
IL1R ,153,0,0
 AVEL          ,903,0,0
 RMHL          ,136,0,0
 dBWMR4        ,66,0,0
 dBWMR5        ,66,0,0
 vBWMR4        ,45,0,0
IL1VL ,120,0,0
 IL1L          ,36,0,0
 IL1VL         ,21,0,0
 URYVL         ,15,0,0
 AVL           ,120,0,0
IL1VR ,91,0,0
 IL2VR         ,10,0,0
 URAVR         ,21,0,0
 vBWMR2        ,21,0,0
IL2DL ,105,0,0
 IL1DL         ,15,0,0
 OLQDL         ,10,0,0
 RMED          ,105,0,0
 RMEV          ,153,0,0
IL2DR ,91,0,0
 OLQDR         ,45,0,0
 CEPDR         ,55,0,0
IL2L ,210,0,0
 ADEL          ,15,0,0
IL2R ,153,0,0
 ADER          ,55,0,0
IL2VL ,78,0,0
 BAGR          ,66,0,0
 DVC           ,120,0,0
IL2VR ,120,0,0
 IL1VR         ,28,0,0
 SIADR         ,91,0,0
OLQDL ,120,0,0
 URYDL         ,21,0,0
OLQDR ,91,0,0
 RMHR          ,120,0,0
 SIBDR         ,66,0,0
OLQVL ,66,0,0
OLQVR ,91,0,0
 SIBVR         ,78,0,0
OLLL ,153,0,0
 CEPVL         ,78,0,0
 SMDDL         ,300,0,0
 SMDDR         ,351,0,0
 SMDVR         ,276,0,0
OLLR ,276,0,0
 RIBR          ,210,0,0
 RIS           ,171,0,0
CEPDL ,378,0,0
 ALML          ,66,0,0
 AINL          ,21,0,0
CEPDR ,300,0,0
 BDUR          ,21,0,0
CEPVL ,325,0,0
 SIAVL         ,66,0,0
 vBWML5        ,28,0,0
 vBWML7        ,91,0,0
CEPVR ,351,0,0
 SIAVR         ,105,0,0
 vBWMR3        ,36,0,0
 vBWMR5        ,15,0,0
 vBWMR8        ,78,0,0
ALML ,231,0,0
 BDUL          ,15,0,0
 SDQL          ,15,0,0
 RIFL          ,45,0,0
 PVCR          ,465,0,0
ALMR ,78,0,0
 SIADL         ,66,0,0
AVM ,276,0,0
 AVKL          ,55,0,0
 PVNL          ,45,0,0
 PVNR          ,120,0,0
 RID           ,91,0,0
 DA01          ,36,0,0
 VA02          ,66,0,0
 VB03          ,21,0,0
PVM ,105,0,0
 AVM           ,3,0,0
 DVA           ,351,0,0
 vBWMR10       ,78,0,0
ALNL ,66,0,0
ALNR ,66,0,0
 SAAVR         ,55,0,0
PLNL ,91,0,0
 SAADR         ,78,0,0
PLNR ,36,0,0
 SAADL         ,91,0,0
FLPL ,253,0,0
 FLPR          ,10,0,0
 DD01          ,300,0,0
 VA01          ,28,0,0
FLPR ,300,0,0
 FLPL          ,21,0,0
 VB01          ,66,0,0
BDUL ,105,0,0
BDUR ,136,0,0
 ALMR          ,6,0,0
 dBWMR6        ,78,0,0
SDQL ,253,0,0
SDQR ,300,0,0
 vBWMR7        ,78,0,0
PVDL ,153,0,0
 PVDR          ,6,0,0
 AVG           ,78,0,0
 PVPL          ,105,0,0
 DD05          ,45,0,0
 VD10          ,36,0,0
 hyp           ,300,0,0
PVDR ,153,0,0
 PVDL          ,10,0,0
 VA09          ,15,0,0
 VA12          ,91,0,0
 VB05          ,6,0,0
 VB06          ,15,0,0
BAGL ,276,0,0
 RIVR          ,66,0,0
BAGR ,91,0,0
 AQR           ,45,0,0
URXL ,325,0,0
URXR ,435,0,0
URYDL ,78,0,0
URYDR ,153,0,0
URYVL ,253,0,0
URYVR ,136,0,0
AQR ,300,0,0
PQR ,351,0,0
 PHBL          ,10,0,0
 LUAR          ,15,0,0
 DA08          ,120,0,0
 DB07          ,28,0,0
AUAL ,136,0,0
AUAR ,105,0,0
ADEL ,630,0,0
ADER ,496,0,0
 ALNR          ,36,0,0
PDEL ,78,0,0
PDER ,105,0,0
 PDEL          ,0,0,0
PHAL ,171,0,0
 PHAR          ,1,0,0
 PHBR          ,3,0,0
PHAR ,210,0,0
 PHAL          ,1,0,0
 PVT           ,136,0,0
PHBL ,231,0,0
