Motif,partial_spearman_r,p,q_bh,n_rows
_0_0___0_1___0_2___1_0___2_1__nan_nan_nan_nan,0.1349822001401059,0.3212557683394133,0.9997523260907016,60
_1_0___1_2___2_1__nan_nan_nan_nan_nan_nan,-0.1312931364315351,0.3347794312198835,0.9966215052882116,60
_0_1___0_2___1_2__nan_nan_nan_nan_nan_nan,0.1304732214165584,0.3378328655467478,0.9967039097149164,60
_1_0___2_0___2_1__nan_nan_nan_nan_nan_nan,-0.1301550087713277,0.3390225854823213,0.9998651021249888,60
_0_2___1_0___1_1___1_2___2_2__nan_nan_nan_nan,0.1299218440937603,0.3398959881496111,0.9927880419495264,60
_0_1___0_2___1_1___2_0__nan_nan_nan_nan_nan,-0.1296022993985049,0.3410952333332533,0.9995456192406988,60
_0_1___2_0___2_2__nan_nan_nan_nan_nan_nan,0.1286415617629319,0.3447166977453896,0.9976247829233538,60
_0_1___1_0___1_2__nan_nan_nan_nan_nan_nan,-0.1265668146920114,0.3526183414315357,0.999146348882167,60
_0_0___0_1___0_2___2_2__nan_nan_nan_nan_nan,0.1264345599368363,0.3531257788288204,0.9994790085666893,60
_0_0___0_1___1_0___1_2__nan_nan_nan_nan_nan,0.1260172853745221,0.3547297253225131,0.9999856527799867,60
_1_1___2_0___2_1___2_2__nan_nan_nan_nan_nan,0.1254347765803514,0.3569762723977486,0.9984076669781128,60
_0_0___0_1___1_1___1_2___2_1__nan_nan_nan_nan,0.1227269133931672,0.3675335628507812,0.98818311268131,60
_0_0___0_2___1_2___2_0___2_1___2_2__nan_nan_nan,-0.1217017183975753,0.3715793629671463,0.974768559234002,60
_0_1___1_0___1_2___2_0___2_1__nan_nan_nan_nan,-0.1215489915050531,0.3721843691094854,0.9972667431885552,60
_0_0___1_0___1_2___2_2__nan_nan_nan_nan_nan,-0.1202361279530487,0.3774095351375403,0.9932745802672012,60
_0_0___0_2___1_0___1_1__nan_nan_nan_nan_nan,-0.1201548382533922,0.3777345042370194,0.9956696982177172,60
_0_1___2_1___2_2__nan_nan_nan_nan_nan_nan,-0.1172254395089383,0.38955680516664,0.9994763404424136,60
_0_1___1_0___1_1___1_2___2_0___2_2__nan_nan_nan,0.1163899687262036,0.3929682079481267,0.942086302340672,60
_0_0___0_1___1_0___1_2___2_0___2_1___2_2__nan_nan,-0.1155931098285115,0.3962382857309563,0.887465262385572,60
_0_1___0_2___1_1___2_0___2_2__nan_nan_nan_nan,-0.1151572255728214,0.398033763755653,0.9289974474725214,60
_0_1___0_2___1_0___1_1___1_2___2_0___2_2__nan_nan,-0.1145114336347432,0.4007026263468323,0.9955457819977472,60
_0_1___1_2___2_2__nan_nan_nan_nan_nan_nan,-0.1139916870071712,0.4028581502598578,0.9958714926832928,60
_0_0___0_1___0_2___1_0___1_2___2_0___2_1__nan_nan,0.1136409057669642,0.4043167403515058,0.9997608829951988,60
_0_1___1_0___1_1___1_2___2_1___2_2__nan_nan_nan,0.1135792538860888,0.4045734131083276,0.9846786140690686,60
_0_0___0_1___1_2___2_2__nan_nan_nan_nan_nan,0.1131640022961885,0.4063046791821131,0.9489831592428616,60
_1_0___1_2___2_2__nan_nan_nan_nan_nan_nan,-0.1131087612199238,0.4065353136423985,0.9995340023190092,60
_0_1___1_0___1_1___2_0___2_2__nan_nan_nan_nan,0.1117514966993694,0.4122257811583714,0.9744122860873172,60
_1_1___1_2___2_0___2_1___2_2__nan_nan_nan_nan,0.1112636219107555,0.4142824048263311,0.9969905155981764,60
_0_0___1_0___1_1___2_0__nan_nan_nan_nan_nan,0.1106791309941441,0.4167540608615628,0.999086046980036,60
_0_1___1_0___1_1___1_2___2_0___2_1__nan_nan_nan,0.110619271046068,0.4170076688786139,0.9998021632510152,60
_0_0___0_2___1_0___1_2___2_1__nan_nan_nan_nan,0.109615020499512,0.4212755373446802,0.9958264633652454,60
_0_0___0_1___0_2___1_0___1_1___1_2___2_1__nan_nan,-0.1082937860196833,0.4269282868259992,0.9933849114836028,60
_0_0___0_1___0_2___1_0___1_2__nan_nan_nan_nan,0.1062984120488423,0.4355461663390292,0.998886559512032,60
_0_2___1_0___1_1___2_2__nan_nan_nan_nan_nan,0.1043151174339751,0.4442076750401464,0.9953556187017174,60
_1_0___1_1___1_2___2_0___2_1___2_2__nan_nan_nan,0.104190660372918,0.4447543748666895,0.9752178160410102,60
_0_0___1_0___2_0__nan_nan_nan_nan_nan_nan,0.1040690068891302,0.4452891197903948,0.9998151409667496,60
_0_1___0_2___1_0___1_1___2_2__nan_nan_nan_nan,-0.1039020554509996,0.446023557719051,0.9716535663588703,60
_0_0___2_0___2_1__nan_nan_nan_nan_nan_nan,0.1021375221260829,0.4538268026633058,0.9995935859117492,60
_0_0___1_0___1_2___2_0__nan_nan_nan_nan_nan,0.1021000149741066,0.4539934775268553,0.9984196613099529,60
_0_1___1_0___1_1___1_2___2_0__nan_nan_nan_nan,0.0991337579561656,0.4672807105132094,0.9951165551581176,60
_0_1___1_1___1_2__nan_nan_nan_nan_nan_nan,-0.0984358082174976,0.4704373160292343,0.9990905021860732,60
_0_1___0_2___1_0___1_1___1_2___2_0__nan_nan_nan,-0.0976909183089352,0.4738188007726056,0.9883522034976108,60
_1_2___2_0___2_2__nan_nan_nan_nan_nan_nan,-0.0975755718265909,0.4743435835790399,0.9997499998244188,60
_0_1___0_2___2_2__nan_nan_nan_nan_nan_nan,-0.0968772766437034,0.4775271781488079,0.9991148941644488,60
_0_0___0_1___0_2___1_0___1_2___2_1__nan_nan_nan,0.095887597741614,0.482058608596875,0.9999676965978008,60
_0_2___1_0___1_2___2_1__nan_nan_nan_nan_nan,0.0952571964292578,0.4849568228103215,0.9965572564476404,60
_1_1___2_0___2_1__nan_nan_nan_nan_nan_nan,-0.0950178628608931,0.4860595350962339,0.9984886217116986,60
_0_1___1_2___2_0___2_1___2_2__nan_nan_nan_nan,0.0942672920059496,0.4895262674698118,0.9763439000451004,60
_0_0___1_0___1_2___2_0___2_2__nan_nan_nan_nan,-0.093362020355052,0.4937246789019306,0.9947437458292951,60
_0_1___0_2___1_0___1_1___1_2__nan_nan_nan_nan,0.0931773279108527,0.494583528371334,0.9959647461389204,60
_0_0___0_1___2_0__nan_nan_nan_nan_nan_nan,0.0924767590225104,0.4978483297521462,0.9978637711733354,60
_0_1___0_2___1_0___1_1___1_2___2_0___2_1___2_2__nan,0.0916079283375484,0.5019126983332728,0.9910699017453756,60
_0_2___2_1__nan_nan_nan_nan_nan_nan_nan,0.0912577623918398,0.5035555775062996,0.999584892899192,60
_0_0___0_2___1_2___2_1___2_2__nan_nan_nan_nan,0.0908286799215827,0.5055724665044246,0.9920032531843967,60
_0_0___0_2___1_0___1_2___2_0___2_1___2_2__nan_nan,0.0905112140826448,0.507067361007895,0.9718087161352408,60
_0_0___0_1___0_2___1_1___2_0___2_1__nan_nan_nan,0.0896411686088622,0.5111758007116634,0.9830380060791412,60
_0_0___0_1___2_0___2_2__nan_nan_nan_nan_nan,-0.0896034879249157,0.5113541135414481,0.9829869635751224,60
_0_0___0_1___1_0___1_1___1_2___2_0___2_1__nan_nan,0.0894026000234675,0.512305289343055,0.842483129716032,60
_0_0___0_2___1_0___1_1___2_1__nan_nan_nan_nan,0.0894026000234675,0.512305289343055,0.842483129716032,60
_0_0___0_2___1_2___2_1__nan_nan_nan_nan_nan,0.0892675145239472,0.5129454039235014,0.9994264059448138,60
_0_1___0_2___1_1___2_0___2_1__nan_nan_nan_nan,0.0889819434024146,0.5142999396782295,0.9991481969098124,60
_0_2___1_0___1_2___2_2__nan_nan_nan_nan_nan,-0.0875416790944439,0.5211589168002795,0.9878363199757724,60
_1_2___2_0__nan_nan_nan_nan_nan_nan_nan,-0.0872033571097482,0.522776720631133,0.9895889652939368,60
_1_2___2_0___2_1__nan_nan_nan_nan_nan_nan,-0.0863362106717919,0.5269346963794002,0.9996783051447642,60
_0_1___1_0___2_1___2_2__nan_nan_nan_nan_nan,0.0858043891630778,0.529492876386984,0.9959036780374718,60
_0_1___2_0___2_1__nan_nan_nan_nan_nan_nan,0.0857701604744209,0.5296577339755955,0.9930512050183996,60
_0_1___0_2___1_0___1_1___1_2___2_1___2_2__nan_nan,-0.0850490821092812,0.5331365884795264,0.8505305095744454,60
_0_0___0_1___0_2___1_0___1_2___2_0___2_2__nan_nan,-0.0839716188623735,0.5383556669755447,0.9768614008188256,60
_0_0___0_1___0_2___1_0___1_2___2_2__nan_nan_nan,-0.0826270843435135,0.5449031418556176,0.9873376025509883,60
_1_1___1_2___2_0__nan_nan_nan_nan_nan_nan,0.0825144379953754,0.5454534350875853,0.9978368224694052,60
_0_0___0_1___1_0___1_1___2_0___2_1__nan_nan_nan,0.0824058748042396,0.5459840350044243,0.979064476382096,60
_0_1___1_1___1_2___2_0___2_2__nan_nan_nan_nan,0.0814729781083425,0.55055376797519,0.8472446466880619,60
_0_0___0_2___1_2__nan_nan_nan_nan_nan_nan,-0.0810530043809836,0.5526169366422664,0.9995295557232052,60
_0_2___1_0___2_1___2_2__nan_nan_nan_nan_nan,0.080610189529641,0.5547962996991271,0.9774091725768662,60
_0_0___0_2___1_1___1_2___2_1__nan_nan_nan_nan,0.0801721315566979,0.5569562613696029,0.9959426235793182,60
_1_0___1_1___1_2___2_1___2_2__nan_nan_nan_nan,0.079759747684486,0.5589932615574653,0.9978428329755332,60
_0_0___0_2___1_2___2_2__nan_nan_nan_nan_nan,0.0795670354058381,0.5599463818184502,0.9993744869745016,60
_0_1___0_2___1_1___2_1__nan_nan_nan_nan_nan,0.0781251517089169,0.5671018703942365,0.9990762345431078,60
_0_2___1_0__nan_nan_nan_nan_nan_nan_nan,-0.0777344190314426,0.5690482259518217,0.9970048621420248,60
_0_0___0_1___1_2___2_0___2_1___2_2__nan_nan_nan,-0.0771194601941563,0.5721177836974558,0.8544875892464456,60
_0_0___0_1___2_0___2_1___2_2__nan_nan_nan_nan,-0.0771194601941563,0.5721177836974558,0.8544875892464456,60
_0_1___1_0___1_1___1_2___2_0___2_1___2_2__nan_nan,-0.0771194601941563,0.5721177836974558,0.8544875892464456,60
_0_1___0_2___1_2___2_0___2_2__nan_nan_nan_nan,-0.076965120493375,0.5728893665825051,0.9985527475288508,60
_0_0___0_1___0_2__nan_nan_nan_nan_nan_nan,0.0758741746546803,0.5783569154351265,0.9977553657125964,60
_0_1___0_2___1_0___1_1__nan_nan_nan_nan_nan,0.0745095867516147,0.5852292540868992,0.996077473506393,60
_0_1___0_2___2_0__nan_nan_nan_nan_nan_nan,0.0741868091594566,0.5868602024721614,0.9973149632005917,60
_0_2___1_1___1_2___2_0___2_1___2_2__nan_nan_nan,-0.0733762600958378,0.5909647833156316,0.9889329924767448,60
