Motif,Gene,partial_spearman_r,p,q_bh,n_rows
"(0, 1)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",WBGene00206377,-0.5357798240770429,2.087545689954984e-05,0.2603166905597731,60
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan",WBGene00219343,-0.5357483998203292,2.090319235718111e-05,0.228929273066588,60
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan",WBGene00010001,0.535692462461819,2.095264773985536e-05,0.1880604897890717,60
"(0, 2)_(1, 0)_nan_nan_nan_nan_nan_nan_nan",WBGene00017073,0.5354924166947709,2.113039921718644e-05,0.3793117963477138,60
"(0, 1)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00008173,-0.5349496795030109,2.1619698974938717e-05,0.3178185279057973,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan",WBGene00012227,0.5344920508243727,2.2040389046127995e-05,0.1524550186710997,60
"(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan",WBGene00021841,0.5344057814861534,2.2120537894027074e-05,0.39708577573568,60
"(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00003394,0.5342518567676907,2.226421193094757e-05,0.3291645345255546,60
"(0, 0)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",WBGene00021247,-0.5341171266643162,2.239067722362758e-05,0.4019350468413387,60
"(0, 1)_(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",WBGene00009088,-0.534085309740352,2.2420639167133028e-05,0.3829396316787178,60
"(0, 2)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",WBGene00202000,-0.5340236780153264,2.247878313081029e-05,0.4035166359811755,60
"(0, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00010678,-0.533525375518701,2.295403209136332e-05,0.3231700208175049,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan",WBGene00009027,0.5334031239271206,2.3072038209827807e-05,0.4141661579046189,60
"(0, 1)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00016860,-0.533315992685021,2.3156485630189592e-05,0.2078410367737667,60
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan",WBGene00009623,-0.5329297637985263,2.353426946814141e-05,0.1408212237408688,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan",WBGene00005959,-0.532682357350283,2.377925114468441e-05,0.2134306686491149,60
