,motif_count
 ADAR          ,3
 RIAR          ,6
 AVHL          ,6
 PVPR          ,6
 SMBVR         ,5
 AWAL          ,5
 ADLR        ,6
 AWAL        ,5
 hyp         ,6
 RIFR          ,5
 PVCL          ,6
 IL2R          ,3
 ASGL        ,6
 AINR          ,5
 ASKR        ,6
 AIZR        ,5
 RICR        ,4
 RMGR        ,5
 AVHL        ,6
 AVAR        ,6
 AVER        ,6
 PVQR          ,6
 ASEL        ,5
 AIYL        ,5
 BDUR          ,5
 PVNR          ,3
 vBWMR10       ,6
 AQR           ,6
 PVT           ,6
 RIMR          ,6
 VA06          ,3
 SABD          ,5
 vBWMR9        ,5
 PHBL        ,6
 PHAR        ,4
 PHBR        ,6
 PVNL        ,6
 AVG         ,6
 DVC         ,6
 PVPR        ,6
 AVJL        ,6
 AVJR        ,6
 PVNR        ,6
 PVT         ,6
 DA08        ,6
 SIAVL       ,6
 AS11        ,6
 VA11        ,6
 VD12        ,6
 AVFL        ,6
 AVL         ,6
 DD06        ,5
 SABVR         ,6
 VC02          ,6
 DA05          ,5
 DA06          ,5
 AS05          ,5
 VC03          ,6
 vBWMR15       ,6
 vBWMR16       ,6
 ALA         ,5
 BDUR        ,4
 OLQVR         ,6
 BAGL          ,6
 URXR          ,6
 URYVR         ,6
 AUAR          ,6
 SMBDR         ,6
 RIH         ,5
 SMBVR       ,6
 SMDVR       ,5
 CEPVR         ,6
 URBR          ,5
 RIPR          ,5
 SIBVL         ,6
 RMFL          ,6
 SAAVL         ,5
 AINR        ,6
 AIAL        ,5
 ASGR          ,5
 AIYR        ,5
 ASIL          ,6
 AUAL        ,6
 ASIR          ,5
 URYDL         ,3
 vBWML7        ,5
 SAAVR         ,5
 SAADR         ,6
 VB01          ,6
 ADFR        ,6
 RIGL        ,6
 SMDDL       ,6
 RIS         ,6
 RIML        ,6
 VB02          ,3
 SIBVL       ,5
 ASER        ,5
 URBR        ,6
 RMDVR       ,6
 URADL         ,5
 OLLL          ,6
 OLQDL         ,5
 CEPDR         ,5
 RIS           ,5
 AINL          ,6
 AINL        ,4
 ADER        ,6
 IL2L          ,4
 PVR           ,5
 RMDDL         ,6
 RMDVR         ,3
 RMER          ,6
 IL1L          ,6
 IL1VL         ,5
 URYVL         ,5
 AVL           ,6
 RMEV          ,6
 ADEL          ,4
 RMER        ,6
 RMDL        ,5
 URAVL       ,6
 CEPVL         ,6
 RIBR          ,3
 SIAVR         ,6
 BDUL          ,5
 PVCR          ,5
 VA02          ,6
 PVDR          ,3
 VA12          ,6
 AVKR        ,6
 DB07          ,6
 AUAR        ,6
 RMDVL       ,5
 SIBVR       ,6
 SMDVL       ,6
 BAGR        ,3
 IL1L        ,6
 VA11          ,6
 PVWL          ,3
 PDER          ,5
 DA02          ,6
 DB02          ,6
 DB03          ,6
 VA08          ,4
 VB11          ,5
 PVR         ,6
 SDQR        ,6
 PVM         ,6
 PDEL        ,6
 PDER        ,5
 PVCL        ,6
 PVCR        ,6
 SIADR       ,6
 DA09        ,6
 SAAVR       ,6
 AVBR        ,6
 DB07        ,5
 DB01        ,6
 DB06        ,6
 VD13          ,6
 PQR           ,4
 PVWR          ,5
 DD02          ,6
 VD04          ,6
 VD06          ,5
 VD07          ,6
 AVHR        ,6
 AVDL        ,6
 LUAR        ,6
 PQR         ,6
 PVWR        ,6
 VD13        ,6
 VC06        ,6
 RMEL          ,6
 RMED          ,6
 DVC           ,6
 RMEV        ,5
 RIBR        ,6
 SIADL       ,5
 AIML        ,3
 DD01          ,5
 AVG           ,5
 PVDL          ,6
 DA08          ,5
 vBWML12       ,6
 vBWMR14       ,6
 VB01        ,5
 VD01          ,5
 DD06          ,6
 LUAL        ,6
 PHAL        ,6
 ASJR        ,5
 DA07        ,5
 dBWML3        ,5
 dBWML6        ,6
 URYDR         ,5
 dBWMR3        ,6
 vBWML4        ,6
 dBWMR4        ,6
 dBWMR5        ,4
 vBWMR4        ,6
 URAVR         ,6
 ADER          ,5
 vBWMR3        ,5
 AVKL          ,3
 FLPR          ,5
 VA01          ,5
 FLPR        ,6
 DD01        ,6
 FLPL          ,6
 dBWMR6        ,6
 RIR         ,4
 ALNR          ,6
 RMED        ,6
 SMDDR       ,6
 FLPL        ,6
 RIMR        ,5
 OLQDR       ,6
 OLQVR       ,5
 SMBDR       ,6
 SIBDR       ,6
 URXR        ,5
 RMHR        ,4
 OLLR        ,4
 ADEL        ,4
 URYDR       ,3
 AQR         ,6
 vBWMR6        ,6
 vBWML9        ,6
 VD09          ,3
 vBWMR20       ,5
 PVDR        ,5
 DVB         ,6
 VD11        ,5
 VC03        ,5
 VA03          ,3
 VA04          ,3
 VD02          ,5
 AVAL        ,6
 SMBDL       ,6
 PLNL          ,5
 SABD        ,5
 vBWML1        ,6
 vBWML2        ,6
 vBWML6        ,6
 AS10          ,4
 vBWML10       ,5
 vBWML13       ,5
 SABVL         ,5
 DA04          ,5
 DA07          ,3
 DA03          ,6
 AS04          ,6
 DB03        ,6
 VB10        ,6
 VB11        ,6
 VB09        ,5
 AS05        ,4
 AS06        ,6
 DB02        ,6
 DB04        ,6
 VB02        ,6
 VB04        ,6
 VB05        ,6
 VB06        ,6
 VB07        ,6
 VB08        ,5
 VB03        ,6
 vBWML3        ,6
 SMBVL       ,3
 RIAR        ,6
 SAAVL       ,6
 vBWML8        ,3
 vBWML14       ,6
 dBWMR7        ,5
 dBWMR2        ,5
 IL2VR         ,5
 OLQDR         ,5
 CEPVL       ,4
 SDQR          ,5
 dBWMR8        ,6
 dBWMR9        ,6
 dBWMR11       ,3
 dBWMR12       ,6
 dBWMR13       ,6
 dBWMR14       ,6
 dBWMR15       ,3
 dBWMR16       ,5
 PVNL          ,5
 DA01        ,6
 DA02        ,6
 DA03        ,6
 AS01        ,5
 VA12        ,6
 PDB         ,6
 dBWML1        ,5
 dBWML2        ,6
 IL1DR         ,6
 IL1R          ,6
 vBWMR2        ,6
 IL1VR         ,5
 vBWMR5        ,5
 vBWMR8        ,6
 AIMR        ,6
 IL2VR       ,4
 DA01          ,6
 VA09          ,5
 LUAR          ,4
 AS11          ,5
 LUAL          ,5
 DA09          ,6
 RMDDL       ,6
 dBWML13       ,6
 AS02          ,3
 AS07          ,6
 AS08          ,6
 AS09          ,5
 VA05          ,5
 VA07          ,6
 VA10          ,3
 PHCL        ,5
 VA02        ,6
 VA10        ,6
 PHCR        ,6
 AS10        ,4
 DA04        ,5
 URYVR       ,3
 SABVR       ,6
 DA05        ,4
 DA06        ,4
 VA01        ,5
 VA03        ,6
 VA04        ,6
 VA05        ,3
 VA06        ,5
 VA07        ,4
 VA08        ,4
 VA09        ,4
 IL1VL       ,6
 SAADR       ,4
 dBWML7        ,5
 dBWML8        ,6
 dBWML10       ,5
 dBWML11       ,5
 dBWML12       ,5
 dBWML15       ,5
 vBWMR12       ,6
 vBWMR13       ,5
 ALNR        ,5
 ALNL        ,5
 RMDR        ,5
 IL2DR       ,3
 IL2VL       ,2
 AS06          ,5
 PVDL        ,5
 SABVL       ,3
 ALMR          ,5
 IL2R        ,5
 RIFR        ,5
 PVWL        ,6
 VC01        ,5
 AVM           ,5
 URADR         ,3
 PLNR          ,4
 PLML        ,6
 PLMR        ,6
 DVB           ,4
 VC01          ,6
 VC05        ,4
 IL1DR       ,4
 IL1DL       ,5
AIYR ,6
AIMR ,6
AVJL ,6
PVCL ,6
IL2R ,6
IL2VR ,6
RMDVL ,6
SIBVR ,6
AUAR ,6
IL1R ,6
URYDR ,6
AVER ,6
URAVR ,6
PVR ,6
OLQVR ,6
ALA ,6
RMDVR ,6
SMBVR ,6
OLQDR ,6
URADL ,5
AVM ,6
BDUR ,6
PQR ,6
PHAL ,6
PVCR ,6
AVL ,6
PVNL ,6
AVBL ,6
VC01 ,6
VC02 ,6
VC03 ,6
ALML ,4
SIADR ,6
AVDL ,6
 CEPVR       ,5
 IL1R        ,4
 IL1VR       ,4
 VB03          ,4
 PVM           ,3
 AVM         ,4
 vBWMR1        ,3
 CEPDL       ,2
 PHAR          ,3
 PHBR          ,5
 PLNL        ,6
 VD12          ,5
 BDUL        ,4
 VD05          ,5
 DD03          ,6
 VC04        ,4
 vm2pL       ,6
 vm2pR       ,5
IL1VL ,6
ASJL ,6
IL1DL ,6
IL2DR ,6
AVG ,6
AVJR ,6
LUAL ,6
RIFL ,4
LUAR ,6
PVDL ,3
PVDR ,6
PHBL ,6
PHBR ,6
PHCL ,6
VA02 ,6
VA12 ,6
VD06 ,6
PVWR ,6
RMHL ,6
VA04 ,6
VA06 ,6
VD05 ,6
VD11 ,6
VD13 ,6
ALMR ,6
PDER ,3
DVB ,6
PVWL ,4
RMDDR ,6
DA08 ,6
DA09 ,6
PDA ,6
DB07 ,6
AS10 ,6
AS11 ,6
PDB ,6
VA10 ,6
VA11 ,6
VB11 ,6
VD12 ,6
PLML ,6
PLMR ,6
hyp ,6
 PHAL          ,4
 PDB           ,3
 DD05          ,5
 VD10          ,4
 VB05          ,5
 VD09        ,5
 PHCR          ,4
 PLNR        ,5
 VD02        ,5
 vBWMR22       ,5
 vBWMR23       ,5
 vBWML22       ,5
 vBWML23       ,4
 vBWMR24       ,4
 VD05        ,5
 VD07        ,4
 AS02        ,5
 vBWML19       ,6
 vBWMR21       ,6
 VB10          ,4
 DD02        ,6
IL1DR ,6
RMEL ,6
URADR ,6
PVM ,6
VC04 ,6
DA07 ,6
VC05 ,6
PHCR ,6
 PHCL          ,4
SABVR ,6
DA01 ,6
DA02 ,6
DA03 ,6
DA04 ,6
DA05 ,6
DA06 ,6
AS01 ,4
AS03 ,6
AS05 ,5
AS06 ,6
VA01 ,6
VA03 ,6
VA05 ,6
VA07 ,6
VA08 ,6
VA09 ,6
VD01 ,6
RID ,6
RMER ,5
DD06 ,6
SABD ,4
SIBDR ,6
DB01 ,6
DD01 ,6
AS02 ,6
 VD03        ,6
 PDEL          ,1
VB02 ,6
VD02 ,6
 dBWML9      ,4
VC06 ,6
 PDA           ,2
 intL          ,2
 VD11          ,6
 vBWML17       ,3
 vBWMR17       ,5
PDEL ,6
VB06 ,6
VD03 ,6
VD04 ,6
 dBWML21       ,6
 dBWMR21       ,6
 dBWML22       ,5
 dBWML23       ,3
 dBWML24       ,5
 dBWMR22       ,3
 dBWMR24       ,5
VB03 ,6
DB02 ,6
DB04 ,6
DB06 ,6
DD03 ,6
VB04 ,6
VB09 ,6
VB10 ,5
VD09 ,6
VD10 ,6
 dBWML19       ,5
 dBWMR19       ,6
 dBWML20       ,5
 dBWMR20       ,5
AS04 ,6
DD02 ,6
DB03 ,6
DB05 ,6
VB05 ,6
VB07 ,6
VB08 ,6
 VD08          ,5
 dBWML17       ,3
 dBWMR17       ,3
 dBWMR18       ,5
 vBWML18       ,5
 vBWMR18       ,5
 VB08          ,4
 vBWMR19       ,3
 VB09          ,4
VD07 ,6
 VD08        ,4
DD05 ,6
DD04 ,6
 DB06          ,2
AS07 ,6
 DB05          ,2
 DD04        ,3
vm2aL  ,5
vm2pL ,6
vm2pR ,6
dBWML10 ,3
um1pL ,5
vm1pL ,4
um1pR ,4
 pm3d        ,5
 mc1dl       ,4
 mc1dr       ,5
 pm6d        ,5
 mc2dl       ,4
 mc2dr       ,5
 mc2v        ,3
 pm2vl       ,3
 pm3vl       ,6
 pm2vr       ,3
 pm2d        ,2
 mc3dl       ,4
 mc3dr       ,3
 mc3v        ,5
 pm8         ,6
 pm7vr       ,5
pm7d ,3
pm8 ,6
pm7vr ,5
 vBWML7      ,4
 um1aR       ,5
 vm1aL       ,5
 vm1pL       ,3
 vm1pR       ,4
 vBWML6      ,3
 vBWML10     ,3
 dBWML11     ,2
dBWML12 ,2
 dBWML13     ,2
dBWML14 ,2
 dBWML15     ,2
dBWML16 ,3
 dBWML17     ,3
 dBWML19     ,3
dBWML20 ,2
 dBWML21     ,3
dBWMR1 ,2
 dBWMR3      ,2
 dBWMR2      ,3
dBWMR3 ,4
dBWMR2 ,2
dBWMR4 ,3
 dBWMR1      ,3
 dBWMR5      ,3
 dBWMR7      ,3
dBWMR8 ,2
 dBWMR9      ,3
 dBWMR10     ,3
dBWMR11 ,2
 dBWMR12     ,3
 dBWMR17     ,3
 dBWMR18     ,3
dBWMR18 ,2
 dBWMR19     ,3
dBWMR19 ,3
 dBWMR20     ,2
 dBWMR21     ,3
dBWMR21 ,2
 dBWMR22     ,3
dBWMR22 ,3
 dBWMR23     ,2
 vBWML2      ,3
vBWML3 ,4
 vBWML4      ,3
 vBWML5      ,3
vBWML5 ,3
vBWML6 ,3
vBWML11 ,2
 vBWML12     ,2
 vBWML13     ,3
vBWML13 ,2
 vBWML14     ,2
vBWML14 ,3
 vBWML15     ,3
vBWML15 ,3
