WBGene,entropy,weight_corr
WBGene00021398,0.21855162532185357,
WBGene00021397,0.0,
WBGene00021396,0.21533631885927867,
WBGene00006561,0.17709691154134888,
WBGene00044736,0.2914167066205507,
WBGene00019819,0.2662492339695186,
WBGene00001728,0.17158053126875025,
WBGene00019824,0.31384939707659465,
WBGene00001071,0.21702260482882144,
WBGene00020651,0.19668500414140272,
WBGene00020650,0.23738250562909138,
WBGene00005487,0.20056270337515147,
WBGene00020649,0.19166715280710148,
WBGene00045177,0.12917601130788464,
WBGene00020648,0.22992683058757063,
WBGene00019298,0.257507551490611,
WBGene00019299,0.22042603293313184,
WBGene00001099,0.21872730002720903,
WBGene00001735,0.12159127018674888,
WBGene00017578,0.0,
WBGene00000675,0.22181979702446797,
WBGene00017577,0.2337909354681605,
WBGene00017574,0.2455711528496229,
WBGene00017576,0.22267415492559842,
WBGene00020295,0.29545835680415083,
WBGene00001666,0.19927887480461248,
WBGene00022047,0.19796092094281173,
WBGene00271640,0.23033118101386124,
WBGene00002041,0.23120542763177288,
WBGene00235263,0.3143182925689733,
WBGene00235264,0.21196188513181793,
WBGene00019772,0.23202917792838804,
WBGene00019773,0.2198928911887488,
WBGene00271837,0.19304106179598945,
WBGene00235265,0.192842742545457,
WBGene00021011,0.3976094133374324,
WBGene00021012,0.16770557146458412,
WBGene00000213,0.15203589178247778,
WBGene00021010,0.237307787538563,
WBGene00021013,0.3266886023985031,
WBGene00001625,0.15203589178247778,
WBGene00018924,0.3697098373538849,
WBGene00018926,0.1933979726239517,
WBGene00189987,0.23875566145991325,
WBGene00015996,0.2298017020267559,
WBGene00015994,0.1678447593605796,
WBGene00015997,0.12544169648091527,
WBGene00044457,0.19686019007420566,
WBGene00015998,0.19304106179598945,
WBGene00015999,0.11985161254449714,
WBGene00000676,0.15660947768704908,
WBGene00002140,0.2236737741565036,
WBGene00015993,0.2272574026583119,
WBGene00015497,0.2531456725373749,
WBGene00045051,0.28580408681224595,
WBGene00019662,0.24660240356046328,
WBGene00044723,0.0,
WBGene00019659,0.22709655986829888,
WBGene00019660,0.12159127018674888,
WBGene00044458,0.0,
WBGene00019661,0.196930947755904,
WBGene00018256,0.2205455950249992,
WBGene00235287,0.22385667990526645,
WBGene00021950,0.4001426637206377,
WBGene00021949,0.20056270337515147,
WBGene00044460,0.2035150907056067,
WBGene00044459,0.3187982178454875,
WBGene00021951,0.217185313065048,
WBGene00219763,0.25012147616322983,
WBGene00021948,0.41973494913136233,
WBGene00194844,0.15575015193432507,
WBGene00021947,0.18162060231656077,
WBGene00000677,0.3790814812545727,
WBGene00018928,0.2980100670835111,
WBGene00018929,0.0,
WBGene00018933,0.20056270337515147,
WBGene00018931,0.19304106179598945,
WBGene00018930,0.2000212094345562,
WBGene00001154,0.37012884659447226,
WBGene00021935,0.35455145510816166,
WBGene00235283,0.21834792699165534,
WBGene00044742,0.34618480646856453,
WBGene00021943,0.29617957982934967,
WBGene00021941,0.40487950788436183,
WBGene00044757,0.36792624957073133,
WBGene00021939,0.19551621941661987,
WBGene00195533,0.0,
WBGene00045298,0.2169433105470909,
WBGene00271786,0.17828629221447787,
WBGene00019070,0.18818900296867114,
WBGene00019067,0.3272069769306245,
WBGene00019068,0.22501591080321187,
WBGene00043705,0.19064674313620794,
WBGene00219762,0.19304106179598945,
WBGene00021928,0.21337267950587668,
WBGene00005903,0.23086134509724546,
WBGene00219399,0.19047679503347975,
WBGene00021920,0.3270083418070354,
WBGene00021933,0.3617387199836479,
WBGene00044462,0.0,
