tuple_index,tuple_label
20,"(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan"
21,"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan"
22,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan"
23,"(0, 0)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
24,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan"
25,"(0, 0)_(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan"
26,"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
27,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan"
28,"(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
29,"(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
30,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
31,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan"
32,"(0, 0)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan"
33,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan"
34,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan"
35,"(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan"
36,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan"
37,"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan"
38,"(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan"
39,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan"
40,"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
41,"(0, 0)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan"
42,"(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan"
43,"(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan"
44,"(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan"
45,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan"
46,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan"
47,"(0, 0)_(0, 1)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan"
48,"(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
49,"(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
50,"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
51,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
52,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan"
53,"(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan"
54,"(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
55,"(0, 0)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
56,"(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
57,"(0, 0)_(0, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
58,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan"
59,"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
60,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan"
61,"(0, 0)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan"
62,"(0, 0)_(0, 1)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan"
63,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan"
64,"(0, 0)_(0, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
65,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
66,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan"
67,"(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
68,"(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
69,"(0, 0)_(0, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
70,"(0, 1)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
71,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan"
72,"(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
73,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan"
74,"(0, 1)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan"
75,"(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
76,"(0, 1)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan"
77,"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan"
78,"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan"
79,"(0, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan"
80,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan"
81,"(0, 0)_(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan"
82,"(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan_nan"
83,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan"
84,"(0, 2)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
85,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan"
86,"(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan"
87,"(0, 1)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan_nan"
88,"(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan"
89,"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
90,"(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan"
91,"(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan"
92,"(0, 0)_(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
93,"(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan_nan"
94,"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
95,"(0, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
96,"(0, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan"
97,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan"
98,"(0, 1)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
99,"(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan"
100,"(0, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
101,"(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
102,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan"
103,"(0, 1)_(0, 2)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan"
104,"(0, 2)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
105,"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
106,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
107,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan"
108,"(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan"
109,"(0, 2)_(1, 0)_nan_nan_nan_nan_nan_nan_nan"
110,"(0, 1)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
111,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan"
112,"(0, 0)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
113,"(0, 1)_(0, 2)_(2, 2)_nan_nan_nan_nan_nan_nan"
114,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
115,"(0, 0)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan"
116,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan"
117,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan"
118,"(0, 0)_(0, 1)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan"
119,"(0, 1)_(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan"
120,"(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan"
121,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan"
122,"(0, 1)_(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
123,"(0, 0)_(0, 2)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan"
124,"(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
125,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan"
126,"(0, 0)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan"
127,"(0, 2)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
128,"(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
129,"(0, 1)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan"
130,"(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan"
131,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
132,"(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan"
133,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
134,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan"
135,"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan"
136,"(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan_nan"
137,"(0, 0)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
138,"(0, 1)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan"
139,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
140,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
141,"(0, 0)_(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
142,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
143,"(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
144,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan"
145,"(0, 0)_(0, 1)_(0, 2)_nan_nan_nan_nan_nan_nan"
146,"(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
147,"(0, 2)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
148,"(0, 0)_(0, 1)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan"
149,"(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan_nan"
150,"(0, 0)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan"
151,"(0, 0)_(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan"
152,"(0, 0)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan"
153,"(0, 0)_(0, 1)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
154,"(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
155,"(0, 0)_(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan"
156,"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan"
157,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan"
158,"(0, 0)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
159,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan"
160,"(0, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
161,"(0, 0)_(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan"
162,"(0, 2)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
163,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan"
164,"(0, 0)_(0, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
165,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan"
166,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan"
167,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan_nan"
168,"(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan"
169,"(0, 0)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan"
170,"(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan"
171,"(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
172,"(0, 0)_(0, 1)_(0, 2)_(2, 2)_nan_nan_nan_nan_nan"
173,"(0, 0)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan"
174,"(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
175,"(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
176,"(0, 0)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
177,"(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
178,"(0, 2)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan"
179,"(0, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
180,"(0, 0)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
181,"(0, 0)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan"
182,"(0, 1)_(1, 2)_nan_nan_nan_nan_nan_nan_nan"
183,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan"
184,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan"
185,"(0, 1)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan"
186,"(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan"
187,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan"
188,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan"
189,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan"
190,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan"
191,"(0, 1)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan"
192,"(0, 1)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
193,"(0, 0)_(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan"
194,"(0, 0)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
195,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)"
196,"(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
197,"(0, 0)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan"
198,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan"
199,"(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
200,"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan"
201,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan"
202,"(0, 0)_(0, 2)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan"
203,"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
204,"(0, 0)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
205,"(0, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan"
206,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan"
207,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
208,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_nan_nan_nan_nan_nan"
209,"(0, 0)_(0, 1)_(1, 2)_nan_nan_nan_nan_nan_nan"
210,"(0, 1)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan"
211,"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
212,"(0, 0)_(0, 1)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
213,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan"
214,"(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
215,"(0, 1)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
216,"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
217,"(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
218,"(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan_nan_nan"
219,"(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
220,"(0, 0)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
221,"(0, 1)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
222,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan"
223,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan"
224,"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan"
225,"(0, 0)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
226,"(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan"
227,"(0, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
228,"(0, 0)_(0, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
229,"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
230,"(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
231,"(0, 0)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
232,"(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan"
233,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
234,"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
235,"(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
236,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan"
237,"(0, 0)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan"
238,"(0, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
239,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 0)_nan_nan_nan_nan"
240,"(0, 1)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
241,"(0, 1)_(0, 2)_(2, 0)_nan_nan_nan_nan_nan_nan"
242,"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan"
243,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan"
244,"(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
245,"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
246,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan"
247,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_nan_nan_nan_nan_nan"
248,"(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan"
249,"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan"
250,"(0, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan"
251,"(0, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
252,"(0, 0)_(0, 1)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan"
253,"(0, 1)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan"
254,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan"
255,"(0, 0)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan"
256,"(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
257,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan"
258,"(0, 0)_(0, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
259,"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
260,"(0, 0)_(0, 1)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan"
261,"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan"
262,"(0, 0)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan"
263,"(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
264,"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
265,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan"
266,"(0, 1)_(2, 0)_nan_nan_nan_nan_nan_nan_nan"
267,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan"
268,"(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan"
269,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan"
270,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan"
271,"(0, 0)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan"
272,"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
273,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan"
274,"(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan"
275,"(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
276,"(0, 0)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
