,003,012,102,021D,021U,021C,111D,111U,030T,030C,201,120D,120U,120C,210,300
"(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan",125941,2740,0,94,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",108279,19342,0,377,780,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",125570,2976,0,226,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",125530,3056,0,186,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",125589,2938,0,245,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",124593,3918,0,252,15,0,0,0,0,0,0,0,0,0,0,0
PC28,124003,4592,0,21,162,0,0,0,0,0,0,0,0,0,0,0
"(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan_nan",125464,3188,0,120,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",125917,2788,0,70,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan",125974,2674,0,127,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",119652,8740,0,266,120,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",124433,4238,0,92,15,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan",124972,3666,0,130,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",126373,2382,0,22,1,0,0,0,0,0,0,0,0,0,0,0
PC41,125857,2908,0,3,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",124008,4582,0,167,21,0,0,0,0,0,0,0,0,0,0,0
"(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",126449,2230,0,98,1,0,0,0,0,0,0,0,0,0,0,0
"(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",126465,2198,0,114,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan",126482,2164,0,131,1,0,0,0,0,0,0,0,0,0,0,0
PC63,124937,3736,0,10,95,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",125946,2730,0,99,3,0,0,0,0,0,0,0,0,0,0,0
PC100,125859,2904,0,3,12,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan",126443,2242,0,92,1,0,0,0,0,0,0,0,0,0,0,0
