,003,012,102,021D,021U,021C,111D,111U,030T,030C,201,120D,120U,120C,210,300
"(0, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",126866,1902,0,10,0,0,0,0,0,0,0,0,0,0,0,0
PC136,126361,2406,0,1,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan",126866,1902,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",126868,1898,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan",126539,2050,0,188,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan",126871,1892,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan",126539,2050,0,188,1,0,0,0,0,0,0,0,0,0,0,0
49,126869,1896,0,0,13,0,0,0,0,0,0,0,0,0,0,0
PC153,126874,1886,0,0,18,0,0,0,0,0,0,0,0,0,0,0
PC166,126380,2368,0,1,29,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan",126863,1908,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",126880,1874,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan",126539,2050,0,188,1,0,0,0,0,0,0,0,0,0,0,0
PC175,126393,2342,0,1,42,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",126449,2230,0,98,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC179,126884,1866,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
6,126874,1886,0,0,18,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",126894,1846,0,38,0,0,0,0,0,0,0,0,0,0,0,0
PC122,126865,1904,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan",126866,1902,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC167,126865,1904,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",126894,1846,0,38,0,0,0,0,0,0,0,0,0,0,0,0
PC168,126870,1894,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
34,126868,1898,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",125987,2648,0,140,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",126465,2198,0,114,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
17,126869,1896,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan",126894,1846,0,38,0,0,0,0,0,0,0,0,0,0,0,0
2,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC138,126860,1914,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
25,126870,1894,0,0,14,0,0,0,0,0,0,0,0,0,0,0
4,126386,2356,0,1,35,0,0,0,0,0,0,0,0,0,0,0
5,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
21,126872,1890,0,0,16,0,0,0,0,0,0,0,0,0,0,0
33,126891,1852,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",126474,2180,0,123,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
46,126865,1904,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_nan_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
14,126869,1896,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
56,126868,1898,0,0,12,0,0,0,0,0,0,0,0,0,0,0
