cycle_id,cycle_label,n_neurons,neurons
92,"(0, 0)_(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",163,CEPshVR;CEPshDL;ASJR;RIH;BWM-VR04;RIMR;SMBVR;ADER;DVC;AVFR;CEPVR;URYVR;ADLR;RMFL;AIBR;AVAR;AIBL;AIYR;URXR;AFDR;BAGL;ASEL;RID;RIML;AVHR;CEPVL;AWCR;ASGR;BAGR;ASJL;BDUL;PVQL;AWCL;RIS;RIVR;URYVL;RIFL;ASGL;SMBDL;IL1R;BWM-VR01;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;RIVL;RICR;CEPDR;RMFR;CEPDL;AIYL;AWBR;SIADL;DVA;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;URYDR;AVBL;AVDL;OLLR;OLQVR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;HSNL;HSNR;URAVR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;GLRL;RMEV;IL2L;OLQVL;IL1DL;BWM-DL02;BWM-DL03;SMBDR;BWM-DL01;BWM-DR01;ALA;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-DR02;BWM-VR02;ADFR;RIAL;SIADR;SIBVR;OLQDL;BWM-DL04;BWM-DL06;RIFR;BWM-DR04;BWM-DR06;PVR;ALMR;SIAVR;PVNR;AWBL;GLRR;GLRDL;BWM-VR06;AVM;BWM-DR08;BWM-VL05;BWM-VL02;BWM-VL03;BWM-DR05;BWM-DL08;RIBL;RIBR;RIGR;AIAR;ASER;RIGL;RMDDR;RMGL;AIZL;AIZR;AQR;ASHL;RIR;ADEL;AIAL;AIMR;RMEL;IL1DR;BWM-VR03
99,"(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",92,AINL;CEPshVR;CEPshVL;CEPshDR;PVT;RIAR;BWM-VR04;RIMR;AVFR;URYVR;PVNL;AIBR;AIBL;AUAR;URXR;BAGL;RIML;CEPVL;BAGR;RIVR;URYVL;BWM-VR01;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;RIVL;RMFR;SAAVL;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;AVBL;AVDL;SIBDR;AVKR;SAADR;SAADL;SAAVR;RMHL;RMHR;ADAL;PLNL;FLPL;PVCL;RMEV;BWM-DL03;SMBDR;AUAL;BWM-VR02;RIAL;SIADR;SIBVR;BWM-VL04;BWM-DL04;BWM-DL06;AWBL;BWM-VL05;BWM-VL03;BWM-VL08;BWM-DL05;BWM-DL08;BWM-DL07;BWM-VL01;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQR;SDQL;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;IL1DR;BWM-VR03
110,"(0, 1)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",88,ASJR;PVT;RIAR;RIH;RIMR;ADER;BDUR;AVFR;URYVR;PVNL;RMFL;AIBR;AIBL;AUAR;URXR;RIML;AVHR;CEPVL;ASKR;BAGR;URBL;BDUL;AWCL;RIS;RIVR;URYVL;RIFL;SMBDL;RMDL;RMDR;RMDVR;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;CEPDR;RMFR;AIYL;SIBDL;DVA;SAAVL;PVPR;OLLL;AVAL;AVEL;AVER;SIBVL;URYDR;AVBL;RICL;AVKR;SAADR;AVKL;SAAVR;HSNL;HSNR;AWAR;RMGR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;PLNL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;URAVL;IL2L;OLQVL;SMBDR;PVQR;ASKL;AIML;ADLL;RIAL;RIFR;PVR;ALMR;AWBL;ALNL
129,"(0, 1)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",115,AINL;AINR;ASIR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;URXR;AFDR;BAGL;ASEL;RIML;AVHR;CEPVL;ASKR;AWCR;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;AWCL;RIS;RIVR;URYVL;ASGL;SMBDL;IL1R;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDR;SMDVL;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIBDL;DVA;PVPR;AVBR;OLLL;AVAL;AVDR;AVEL;URYDR;OLLR;OLQDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;SAADL;HSNL;HSNR;URAVR;URBR;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;IL2L;IL1DL;URADL;ASKL;AFDL;AUAL;ALML;ADFR;RIAL;IL2VL;BWM-DR04;BWM-DR06;PVR;AWBL;IL2R;BWM-VR05;AVM;BWM-VL03
130,"(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",165,AINL;AINR;CEPshVR;CEPshDL;CEPshVL;ASIR;CEPshDR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;BDUR;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RID;RIML;AVHR;CEPVL;ASKR;AWCR;ASGR;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;AWCL;RIS;RIVR;URYVL;IL2DR;SMBDL;IL2VR;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;RMFR;CEPDL;ASHR;AIYL;SIADL;SIBDL;DVA;SAAVL;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;AVBL;AVDL;OLLR;OLQDR;SIBDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;URBR;AVHL;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;PVPL;PLNL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;GLRDR;RMEV;URAVL;IL2L;URADR;IL1DL;BWM-DL02;BWM-DL03;SMBDR;URADL;BWM-DR01;BWM-DR03;AVL;AUAL;BWM-DR02;RIAL;SIADR;SIBVR;BWM-VL04;RIFR;BWM-DR04;ALMR;AWBL;IL2R;BWM-VR05;BWM-VL05;BWM-VL02;BWM-DL08;ALNL;RIBL;RIBR;RIGR;ASER;RIGL;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;RIPR;SDQR;SDQL;RMER;IL1VL;RIR;ADEL;AIAL;AIMR;RMEL;IL1DR
136,"(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan_nan",170,AINR;CEPshVR;CEPshVL;CEPshDR;ASJR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;DVC;AVFR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RIML;AVHR;CEPVL;AWCR;ASGR;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;RIS;RIVR;URYVL;RIFL;ASGL;IL2DR;SMBDL;IL1R;BWM-VR01;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;DVA;SAAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLQVR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;IL1DL;BWM-DL03;SMBDR;URADL;BWM-DL01;ALA;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-VR02;ADFR;RIAL;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;PVR;SIAVR;PVNR;AWBL;IL2R;GLRR;AVM;BWM-VL05;BWM-VL02;BWM-VL03;BWM-DL05;BWM-VL01;PLNR;ALNL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;RIPR;SDQR;SDQL;RMER;IL1VL;RIR;ADEL;AIAL;AIMR;RMEL;CANR;BWM-VR03
143,"(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",94,RIAR;RIH;BWM-VR04;RIMR;SMBVR;BDUR;AVFR;PVNL;AIBR;AVAR;AIBL;AIYR;URXR;AFDR;BAGL;RIML;AVHR;CEPVL;ASKR;BAGR;URBL;BDUL;PVQL;RIS;RIVR;URYVL;RIFL;SMBDL;IL1R;RMDL;RMDR;RMDVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;RMFR;CEPDL;AIYL;DVA;SAAVL;PVPR;URYDL;AVBR;OLLL;AVEL;AVER;AVBL;AVDL;OLLR;OLQDR;RICL;ADAR;AVKR;SAADR;AVKL;HSNL;HSNR;AWAR;RMGR;RMHL;ADAL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;AVJL;PVCL;AVJR;IL1L;IL2L;OLQVL;IL1DL;SMBDR;PVQR;ASKL;AFDL;AUAL;AIML;BWM-DR02;BWM-VR02;ADFR;RIAL;OLQDL;RIFR;BWM-DR04;BWM-DR06;AWBL;AVM;ALNL
145,"(0, 0)_(0, 1)_(0, 2)_nan_nan_nan_nan_nan_nan",116,CEPshVR;CEPshDL;RIH;BWM-VR04;RIMR;SMBVR;DVC;AVFR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;BAGL;ASEL;RID;AWCR;ASGR;BAGR;ASJL;PVQL;AWCL;RIS;RIFL;SMBDL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;RMFR;ASHR;AIYL;SIADL;SIBDL;DVA;SIAVL;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLQVR;SIBDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;HSNL;RMGR;RMHR;URXL;PVPL;AVJL;AVJR;IL1L;GLRDR;GLRVR;BWM-DL01;BWM-DR01;BWM-DR03;ASKL;AUAL;ALML;BWM-DR02;RIAL;SIADR;SIBVR;BWM-VL04;BWM-DR04;ALMR;AWBL;GLRR;BWM-VR05;BWM-DL05;BWM-DR05;BWM-DL08;PLNR;ALNL;RIBL;RIBR;RIGR;RIGL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;SDQR;SDQL;RIR;ADEL;AIMR;RMEL;IL1DR
146,"(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",106,AINL;AINR;CEPshVR;CEPshVL;CEPshDR;ASJR;RIAR;ADER;ASIL;DVC;AVFR;URYVR;PVNL;AIBR;AIBL;AUAR;URXR;AFDR;BAGL;ASEL;ASKR;BAGR;BDUL;RIVR;URYVL;SMBDL;IL1R;RMDL;RMDR;RMDVL;RMDVR;SMDDL;SMDDR;SMDVL;RMFR;CEPDL;AWBR;DVA;SAAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;URYDR;AVBL;AVDL;SIBDR;AVKR;SAADR;AVKL;URAVR;AVHL;RMHL;ADAL;URXL;AWAL;PVPL;FLPL;PVCL;RMEV;OLQVL;IL1DL;BWM-DL03;SMBDR;BWM-DL01;BWM-DR01;ASKL;AUAL;AIML;ALML;ADFR;RIAL;OLQDL;BWM-DL04;BWM-DL06;BWM-DR04;SIAVR;AWBL;BWM-VL05;BWM-VL03;BWM-DL05;BWM-DR05;BWM-VL01;ALNL;BWM-DR07;RIBR;RIGR;ASER;RIGL;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;RIR;ADEL;AIAL;AIMR;RMEL;IL1DR;BWM-VR03
154,"(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",155,CEPshVR;CEPshVL;CEPshDR;ASJR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;BDUR;DVC;AVFR;CEPVR;URYVR;PVNL;RMFL;AIBR;AIBL;AIYR;AUAR;URXR;AFDR;ASEL;RIML;AVHR;CEPVL;ASKR;AWCR;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;AWCL;RIS;RIVR;URYVL;RIFL;ASGL;SMBDL;IL1R;BWM-VR01;IL2VR;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;SIBDL;DVA;SAAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;URYDR;AVBL;AVDL;OLQVR;OLQDR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAAVR;HSNL;HSNR;URAVR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;RMEV;IL2L;OLQVL;IL1DL;BWM-DL03;SMBDR;URADL;BWM-DL01;ALA;AVL;PVQR;ASKL;AUAL;AIML;ALML;ADLL;BWM-DR02;BWM-VR02;ADFR;RIAL;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;ALMR;SIAVR;PVNR;AWBL;IL2R;GLRR;BWM-VR06;BWM-VR07;AVM;BWM-DR08;BWM-VL05;BWM-VL02;BWM-VL03;BWM-VL07;BWM-DR05;BWM-VL01;PLNR;BWM-DR07;BWM-VR03
