Neuron,Unclassified ❓
 SIAVL       ,253.0
 AS11        ,686.0
 VA11        ,847.0
 VD12        ,692.0
 AVFL        ,634.0
 AVL         ,748.0
 DD06        ,660.0
 SABVR         ,392.0
 VC02          ,276.0
 DA05          ,699.0
 DA06          ,214.0
 AS05          ,344.0
 VC03          ,171.0
 vBWMR15       ,400.0
 vBWMR16       ,339.0
 ALA         ,240.0
 BDUR        ,112.0
 OLQVR         ,379.0
 BAGL          ,248.0
 URXR          ,775.0
 URYVR         ,286.0
 AUAR          ,351.0
 SMBDR         ,831.0
 RIH         ,128.0
 SMBVR       ,289.0
 SMDVR       ,164.0
 CEPVR         ,717.0
 URBR          ,216.0
 RIPR          ,496.0
 SIBVL         ,532.0
 RMFL          ,452.0
 SAAVL         ,512.0
 AINR        ,165.0
 AIAL        ,180.0
 ASGR          ,270.0
 AIYR        ,81.0
 ASIL          ,105.0
 AUAL        ,107.0
 ASIR          ,104.0
 URYDL         ,229.0
 vBWML7        ,419.0
 SAAVR         ,459.0
 SAADR         ,494.0
 VB01          ,439.0
 ADFR        ,242.0
 RIGL        ,450.0
 SMDDL       ,372.0
 RIS         ,430.0
 RIML        ,369.0
 VB02          ,320.0
 SIBVL       ,528.0
 ASER        ,80.0
 URBR        ,102.0
 RMDVR       ,417.0
 URADL         ,128.0
 OLLL          ,339.0
 OLQDL         ,116.0
 CEPDR         ,310.0
 RIS           ,778.0
 AINL          ,190.0
 AINL        ,91.0
 ADER        ,177.0
 IL2L          ,259.0
 PVR           ,593.0
 RMDDL         ,938.0
 RMDVR         ,816.0
 RMER          ,459.0
 IL1L          ,252.0
 IL1VL         ,180.0
 URYVL         ,166.0
 AVL           ,687.0
 RMEV          ,606.0
 ADEL          ,167.0
 RMER        ,113.0
 RMDL        ,268.0
 URAVL       ,119.0
 CEPVL         ,424.0
 RIBR          ,745.0
 SIAVR         ,553.0
 BDUL          ,222.0
 PVCR          ,1542.0
 VA02          ,585.0
 PVDR          ,176.0
 VA12          ,547.0
 AVKR        ,603.0
 DB07          ,424.0
 AUAR        ,109.0
 RMDVL       ,228.0
 SIBVR       ,260.0
 SMDVL       ,252.0
 BAGR        ,86.0
 IL1L        ,81.0
 VA11          ,572.0
 PVWL          ,245.0
 PDER          ,188.0
 DA02          ,621.0
 DB02          ,372.0
 DB03          ,509.0
 VA08          ,281.0
 VB11          ,256.0
 PVR         ,808.0
