pre,post,gap_weight,chem_weight,functional_weight,uncertainty,data_sources
ADAR,I1L,,,,,[]
ADAR,I1R,,,0.0051055420190095,,['funconn']
ADAR,I2L,,,0.0451930835843086,,['funconn']
ADAR,I2R,,,0.0321330726146698,,['funconn']
ADAR,I3,,,0.0067195193842053,,['funconn']
ADAR,I4,,,,,[]
ADAR,I5,,,,,[]
ADAR,I6,,,,,[]
ADAR,IL1DL,,,0.0713099688291549,,['funconn']
ADAR,IL1DR,,,,,[]
ADAR,IL1L,,,,,[]
ADAR,IL1R,,,,,[]
ADAR,IL1VL,,,,,[]
ADAR,IL1VR,,,-0.0096622062847018,,['funconn']
ADAR,IL2DL,,,0.0157970730215311,,['funconn']
ADAR,IL2DR,,,,,[]
ADAR,IL2L,,,,,[]
ADAR,IL2R,,,,,[]
ADAR,IL2VL,,,0.046512484550476,,['funconn']
ADAR,IL2VR,,,,,[]
ADAR,LUAL,,,,,[]
ADAR,LUAR,,,,,[]
ADAR,M1,,,0.0082052862271666,,['funconn']
ADAR,M2L,,,0.0229334682226181,,['funconn']
ADAR,M2R,,,,,[]
ADAR,M3L,,,0.0862322449684143,,['funconn']
ADAR,M3R,,,0.0070148576050996,,['funconn']
ADAR,M4,,,,,[]
ADAR,M5,,,,,[]
ADAR,MCL,,,,,[]
ADAR,MCR,,,0.0013744259485974,,['funconn']
ADAR,MI,,,0.0247926916927099,,['funconn']
ADAR,NSML,,,,,[]
ADAR,NSMR,,,0.0070376927033066,,['funconn']
ADAR,OLLL,,,0.0103564839810132,,['funconn']
ADAR,OLLR,,,0.0032285361085087,,['funconn']
ADAR,OLQDL,,,-0.0555736720561981,,['funconn']
ADAR,OLQDR,,,-0.0093552311882376,,['funconn']
ADAR,OLQVL,,,,,[]
ADAR,OLQVR,,,,,[]
ADAR,PDA,,,,,[]
ADAR,PDB,,,,,[]
ADAR,PDEL,,,,,[]
ADAR,PDER,,,,,[]
ADAR,PHAL,,,,,[]
ADAR,PHAR,,,,,[]
ADAR,PHBL,,,,,[]
ADAR,PHBR,,,,,[]
ADAR,PHCL,,,,,[]
ADAR,PHCR,,,,,[]
ADAR,PLML,,,,,[]
ADAR,PLMR,,,,,[]
ADAR,PLNL,,,,,[]
ADAR,PLNR,,,,,[]
ADAR,PQR,,,,,[]
ADAR,PVCL,,,,,[]
ADAR,PVCR,,,,,[]
ADAR,PVDL,,,,,[]
ADAR,PVDR,,,,,[]
ADAR,PVM,,,,,[]
ADAR,PVNL,,,,,[]
ADAR,PVNR,,,,,[]
ADAR,PVPL,,,,,[]
ADAR,PVPR,,,,,[]
ADAR,PVQL,,,,,[]
ADAR,PVQR,1.5,,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAR,PVR,,6.0,,,['cook2019']
ADAR,PVT,,,,,[]
ADAR,PVWL,,,,,[]
ADAR,PVWR,,,,,[]
ADAR,RIAL,,,0.0164270885288715,,['funconn']
ADAR,RIAR,,,0.0240576583892107,,['funconn']
ADAR,RIBL,,,-0.0071616005152463,,['funconn']
ADAR,RIBR,,,0.018483068794012,,['funconn']
ADAR,RICL,,1.0,-0.0021524080075323,,"['chklovskii', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,RICR,1.0,1.0,,0.0,"['witvliet2020_7', 'witvliet2020_8']"
ADAR,RID,,,,,[]
ADAR,RIFL,,,,,[]
ADAR,RIFR,,1.0,,,"['cook2019', 'witvliet2020_7']"
ADAR,RIGL,,,-0.0338898636400699,,['funconn']
ADAR,RIGR,,,0.0367555171251297,,['funconn']
ADAR,RIH,,,0.0193747542798519,,['funconn']
ADAR,RIML,,,0.0018338334048166,,['funconn']
ADAR,RIMR,,6.125,0.0459473505616188,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,RIPL,,,0.0094236945733428,,['funconn']
ADAR,RIPR,,3.0,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,RIR,,,,,[]
ADAR,RIS,,,0.0344205237925052,,['funconn']
ADAR,RIVL,,,,,[]
