wbgene,symbol,sequence
WBGene00015554,C06G3.8,C06G3.8
WBGene00015555,ufl-1,ufl-1
WBGene00006572,tin-9.1,tin-9.1
WBGene00021543,Y43B11AR.1,Y43B11AR.1
WBGene00021544,Y43B11AR.3,Y43B11AR.3
WBGene00004473,rps-4,rps-4
WBGene00022620,rde-8,rde-8
WBGene00022618,ZC477.3,ZC477.3
WBGene00000888,cyn-12,cyn-12
WBGene00016404,mutd-1,mutd-1
WBGene00016405,hecd-1,hecd-1
WBGene00016400,C34D4.4,C34D4.4
WBGene00206380,C42D4.18,C42D4.18
WBGene00004822,skr-16,skr-16
WBGene00020043,R13A1.5,R13A1.5
WBGene00017053,D2024.5,D2024.5
WBGene00000292,cap-1,cap-1
WBGene00004477,rps-8,rps-8
WBGene00018349,F42C5.9,F42C5.9
WBGene00020446,T12B3.3,T12B3.3
WBGene00020447,mob-3,mob-3
WBGene00016739,pitr-1,pitr-1
WBGene00001187,egl-19,egl-19
WBGene00019900,vdac-1,vdac-1
WBGene00019898,R05G6.4,R05G6.4
WBGene00019902,R05G6.10,R05G6.10
WBGene00002074,ima-3,ima-3
WBGene00017995,F32E10.8,F32E10.8
WBGene00017992,F32E10.5,F32E10.5
WBGene00017990,cec-4,cec-4
WBGene00017993,cec-5,cec-5
WBGene00017989,nol-10,nol-10
WBGene00018468,cla-1,cla-1
WBGene00004046,plp-1,plp-1
WBGene00017997,mrpl-1,mrpl-1
WBGene00017999,emc-6,emc-6
WBGene00023487,mrps-24,mrps-24
WBGene00017998,F33D4.6,F33D4.6
WBGene00016848,klo-1,klo-1
WBGene00001827,hcf-1,hcf-1
WBGene00016374,swd-2.2,swd-2.2
WBGene00016375,rpap-3,rpap-3
WBGene00016378,imp-3,imp-3
WBGene00004703,rsp-6,rsp-6
WBGene00016380,ntp-1,ntp-1
WBGene00016381,sgo-1,sgo-1
WBGene00016383,zgpa-1,zgpa-1
WBGene00016384,cdgs-1,cdgs-1
WBGene00004363,ric-3,ric-3
WBGene00015509,C06A6.4,C06A6.4
WBGene00015508,mvb-12,mvb-12
WBGene00015511,C06A6.7,C06A6.7
WBGene00015507,C06A6.2,C06A6.2
WBGene00169829,21ur-10093,21ur-10093
WBGene00016793,arp-11,arp-11
WBGene00016792,C49H3.6,C49H3.6
WBGene00016794,C49H3.9,C49H3.9
WBGene00003827,ntl-4,ntl-4
WBGene00016791,C49H3.4,C49H3.4
WBGene00016790,C49H3.3,C49H3.3
WBGene00004471,rps-2,rps-2
WBGene00017644,exc-9,exc-9
WBGene00249815,F20D12.12,F20D12.12
WBGene00017642,F20D12.2,F20D12.2
WBGene00017641,csr-1,csr-1
WBGene00006761,unc-24,unc-24
WBGene00000183,arf-3,arf-3
WBGene00016128,elpc-4,elpc-4
WBGene00003625,nhr-31,nhr-31
WBGene00004732,sax-7,sax-7
WBGene00021539,Y42H9AR.4,Y42H9AR.4
WBGene00021536,Y42H9AR.1,Y42H9AR.1
WBGene00018361,F42G8.10,F42G8.10
WBGene00002162,isp-1,isp-1
WBGene00018356,islo-1,islo-1
WBGene00004057,pmk-3,pmk-3
WBGene00004056,pmk-2,pmk-2
WBGene00004055,pmk-1,pmk-1
WBGene00015048,faah-2,faah-2
WBGene00003961,pct-1,pct-1
WBGene00006957,wsp-1,wsp-1
WBGene00044608,glrx-22,glrx-22
WBGene00020374,serp-1.2,serp-1.2
WBGene00019504,K07H8.2,K07H8.2
WBGene00019503,tbce-1,tbce-1
WBGene00018072,nprl-3,nprl-3
WBGene00018071,F35H10.6,F35H10.6
WBGene00018070,F35H10.5,F35H10.5
WBGene00018069,F35H10.3,F35H10.3
WBGene00017074,D2096.7,D2096.7
WBGene00017070,praf-3,praf-3
WBGene00017076,D2096.9,D2096.9
WBGene00017078,D2096.11,D2096.11
WBGene00019789,M116.2,M116.2
WBGene00020827,T26A8.4,T26A8.4
WBGene00020824,T26A8.1,T26A8.1
WBGene00016182,C28C12.12,C28C12.12
WBGene00044001,C09G4.4,C09G4.4
WBGene00001051,cks-1,cks-1
WBGene00015650,pkg-2,pkg-2
WBGene00022010,catp-7,catp-7
WBGene00044511,clec-181,clec-181
WBGene00077437,Y59H11AR.6,Y59H11AR.6
WBGene00018337,F42A9.8,F42A9.8
WBGene00003034,lin-49,lin-49
WBGene00006483,dgk-4,dgk-4
WBGene00018338,F42A9.9,F42A9.9
WBGene00016767,C49C8.3,C49C8.3
WBGene00016769,C49C8.5,C49C8.5
WBGene00016766,C49C8.2,C49C8.2
WBGene00235271,C49C8.8,C49C8.8
WBGene00016765,C49C8.1,C49C8.1
WBGene00017235,F08B4.3,F08B4.3
WBGene00017236,nlp-60,nlp-60
WBGene00002028,hst-1,hst-1
WBGene00009010,F21D5.5,F21D5.5
WBGene00009013,mrps-33,mrps-33
WBGene00004051,parg-1,parg-1
WBGene00002222,klp-11,klp-11
WBGene00008970,F20C5.5,F20C5.5
WBGene00008971,F20C5.6,F20C5.6
WBGene00007900,C33D9.6,C33D9.6
WBGene00007899,C33D9.5,C33D9.5
WBGene00007898,C33D9.3,C33D9.3
WBGene00000691,col-117,col-117
WBGene00000594,col-3,col-3
WBGene00012121,T28C6.7,T28C6.7
WBGene00011706,T11B7.1,T11B7.1
WBGene00007492,C09G9.1,C09G9.1
WBGene00007760,C27B7.2,C27B7.2
WBGene00007761,rad-26,rad-26
WBGene00007762,C27B7.5,C27B7.5
WBGene00008363,D1046.2,D1046.2
WBGene00008362,cfim-2,cfim-2
WBGene00008366,tpra-1,tpra-1
WBGene00000693,col-119,col-119
WBGene00008275,nstp-1,nstp-1
WBGene00008283,C53D6.6,C53D6.6
WBGene00013880,mppb-1,mppb-1
WBGene00013882,msa-1,msa-1
WBGene00003066,lpl-1,lpl-1
WBGene00002046,icln-1,icln-1
WBGene00007223,C01F6.9,C01F6.9
WBGene00000374,cyp-31A1,cyp-31A1
WBGene00000120,aly-1,aly-1
WBGene00045078,C46C2.7,C46C2.7
WBGene00006941,wnk-1,wnk-1
WBGene00008110,C46C2.2,C46C2.2
WBGene00012434,Y11D7A.10,Y11D7A.10
WBGene00009878,F49C12.9,F49C12.9
WBGene00004463,rpn-7,rpn-7
WBGene00009880,F49C12.11,F49C12.11
WBGene00009881,F49C12.12,F49C12.12
WBGene00009882,vha-17,vha-17
WBGene00011859,T20D3.6,T20D3.6
WBGene00007511,C10C5.7,C10C5.7
WBGene00000911,daf-15,daf-15
WBGene00014772,F56D5.4,F56D5.4
WBGene00010316,F59B8.1,F59B8.1
WBGene00009542,copb-2,copb-2
WBGene00007880,C33A12.1,C33A12.1
WBGene00001239,elo-1,elo-1
WBGene00003808,npr-2,npr-2
WBGene00003627,nhr-34,nhr-34
WBGene00010484,dph-3,dph-3
WBGene00003728,nhr-138,nhr-138
WBGene00219837,C28D4.17,C28D4.17
WBGene00003690,nhr-100,nhr-100
WBGene00011747,sna-2,sna-2
WBGene00011745,sre-4,sre-4
WBGene00004031,pis-1,pis-1
WBGene00003449,msp-56,msp-56
WBGene00010640,K07F5.16,K07F5.16
WBGene00303023,K07F5.22,K07F5.22
WBGene00010639,K07F5.15,K07F5.15
WBGene00003603,nhr-4,nhr-4
WBGene00009320,F32B6.3,F32B6.3
WBGene00006699,uba-1,uba-1
WBGene00008149,pyp-1,pyp-1
WBGene00011423,ipla-7,ipla-7
WBGene00000593,col-2,col-2
WBGene00010677,gtbp-1,gtbp-1
WBGene00011776,pigs-1,pigs-1
WBGene00011775,copg-1,copg-1
WBGene00011773,ttr-53,ttr-53
WBGene00010556,rack-1,rack-1
WBGene00010557,mspn-1,mspn-1
WBGene00001794,gta-1,gta-1
WBGene00010558,ptp-4,ptp-4
WBGene00001653,gon-4,gon-4
WBGene00007698,qns-1,qns-1
WBGene00000698,col-124,col-124
WBGene00007696,tram-1,tram-1
WBGene00007697,C24F3.2,C24F3.2
WBGene00008506,tkt-1,tkt-1
WBGene00000910,daf-14,daf-14
WBGene00004140,ebax-1,ebax-1
WBGene00011171,R09E10.1,R09E10.1
WBGene00006779,unc-43,unc-43
WBGene00011237,gkow-1,gkow-1
WBGene00004800,sir-2.1,sir-2.1
