wbgene,symbol,sequence
WBGene00018782,cct-3,cct-3
WBGene00019593,K09F6.10,K09F6.10
WBGene00235164,K09F6.13,K09F6.13
WBGene00018386,nip-1,nip-1
WBGene00018023,set-11,set-11
WBGene00020231,T05A8.5,T05A8.5
WBGene00044367,T05A8.8,T05A8.8
WBGene00022715,irld-65,irld-65
WBGene00005807,srw-60,srw-60
WBGene00003678,nhr-88,nhr-88
WBGene00002997,lin-8,lin-8
WBGene00022570,sdz-35,sdz-35
WBGene00195073,F02E11.7,F02E11.7
WBGene00018198,F39E9.6,F39E9.6
WBGene00021589,Y46D2A.1,Y46D2A.1
WBGene00021726,bath-10,bath-10
WBGene00021714,cyh-1,cyh-1
WBGene00021149,dnc-3,dnc-3
WBGene00018755,bcmo-2,bcmo-2
WBGene00021191,Y14H12B.1,Y14H12B.1
WBGene00019641,K10G6.4,K10G6.4
WBGene00019487,ephx-1,ephx-1
WBGene00006476,rhgf-2,rhgf-2
WBGene00020368,ast-1,ast-1
WBGene00015820,C16A11.7,C16A11.7
WBGene00015298,C01F1.3,C01F1.3
WBGene00015297,sco-1,sco-1
WBGene00019220,pfd-2,pfd-2
WBGene00015116,paic-1,paic-1
WBGene00022742,ZK430.7,ZK430.7
WBGene00021058,vps-18,vps-18
WBGene00018051,che-10,che-10
WBGene00006497,tag-151,tag-151
WBGene00001027,dnj-9,dnj-9
WBGene00017385,F11G11.5,F11G11.5
WBGene00000649,col-73,col-73
WBGene00019890,R05F9.6,R05F9.6
WBGene00019888,btbd-10,btbd-10
WBGene00020867,shc-2,shc-2
WBGene00018014,F33G12.2,F33G12.2
WBGene00044666,F33G12.7,F33G12.7
WBGene00044387,C27A2.8,C27A2.8
WBGene00001588,ggr-3,ggr-3
WBGene00017138,EEED8.10,EEED8.10
WBGene00000548,clr-1,clr-1
WBGene00018961,mrps-16,mrps-16
WBGene00018960,ilcr-2,ilcr-2
WBGene00018959,F56D1.1,F56D1.1
WBGene00017390,F12A10.1,F12A10.1
WBGene00015920,eif-3.L,eif-3.L
WBGene00019125,ddl-1,ddl-1
WBGene00000252,bli-2,bli-2
WBGene00015945,C18A3.9,C18A3.9
WBGene00022881,ZK1248.11,ZK1248.11
WBGene00022883,ZK1248.15,ZK1248.15
WBGene00022885,ZK1248.19,ZK1248.19
WBGene00018872,F55C12.5,F55C12.5
WBGene00018869,rfip-1,rfip-1
WBGene00004214,ptp-2,ptp-2
WBGene00017894,F28B12.1,F28B12.1
WBGene00015005,B0034.5,B0034.5
WBGene00022649,ZK84.1,ZK84.1
WBGene00020029,R12C12.9,R12C12.9
WBGene00020023,frpr-16,frpr-16
WBGene00044395,R12C12.10,R12C12.10
WBGene00017683,rbbp-5,rbbp-5
WBGene00016235,C29H12.2,C29H12.2
WBGene00001373,exp-1,exp-1
WBGene00001440,fkh-8,fkh-8
WBGene00194710,mks-2,mks-2
WBGene00004015,phb-2,phb-2
WBGene00003403,mps-1,mps-1
WBGene00016215,glb-10,glb-10
WBGene00016310,C32D5.1,C32D5.1
WBGene00044756,F58F12.4,F58F12.4
WBGene00003621,nhr-22,nhr-22
WBGene00019427,atg-16.2,atg-16.2
WBGene00016974,lron-15,lron-15
WBGene00016005,ift-74,ift-74
WBGene00020502,T14B4.8,T14B4.8
WBGene00020499,mrps-18.C,mrps-18.C
WBGene00020498,T14B4.1,T14B4.1
WBGene00020480,ssup-72,ssup-72
WBGene00016626,clhm-1,clhm-1
WBGene00016629,C44B7.7,C44B7.7
WBGene00016630,acer-1,acer-1
WBGene00016623,psmd-9,psmd-9
WBGene00016889,lst-6,lst-6
WBGene00002183,kat-1,kat-1
WBGene00020166,T02G5.7,T02G5.7
WBGene00020163,T02G5.3,T02G5.3
WBGene00020169,mmaa-1,mmaa-1
WBGene00017347,F10E7.5,F10E7.5
WBGene00017352,F10E7.11,F10E7.11
WBGene00001129,dyf-13,dyf-13
WBGene00004244,puf-8,puf-8
WBGene00018394,F43E2.6,F43E2.6
WBGene00018397,F43E2.11,F43E2.11
WBGene00018390,F43E2.1,F43E2.1
WBGene00019290,K02A2.5,K02A2.5
WBGene00017024,D1022.5,D1022.5
WBGene00019941,pgam-5,pgam-5
WBGene00018042,mks-3,mks-3
WBGene00019943,R07G3.7,R07G3.7
WBGene00011634,T09A5.5,T09A5.5
WBGene00011641,T09A5.15,T09A5.15
WBGene00011348,T01H3.2,T01H3.2
WBGene00011351,T01H3.5,T01H3.5
WBGene00011350,perm-1,perm-1
WBGene00006724,ubh-4,ubh-4
WBGene00007435,algn-6,algn-6
WBGene00011507,T05H10.1,T05H10.1
WBGene00011511,gpcp-2,gpcp-2
WBGene00006655,tub-1,tub-1
WBGene00008643,tmem-138,tmem-138
WBGene00006658,twk-3,twk-3
WBGene00002066,ifg-1,ifg-1
WBGene00003821,nst-1,nst-1
WBGene00007746,C26D10.6,C26D10.6
WBGene00000135,amt-3,amt-3
WBGene00009901,F49E12.8,F49E12.8
WBGene00009042,F22B5.4,F22B5.4
WBGene00006994,zyg-9,zyg-9
WBGene00001498,fars-3,fars-3
WBGene00044168,M05D6.10,M05D6.10
WBGene00011759,mrps-18B,mrps-18B
WBGene00011760,T13H5.6,T13H5.6
WBGene00004241,puf-5,puf-5
WBGene00010044,F54C9.9,F54C9.9
WBGene00006875,vab-9,vab-9
WBGene00008432,D2085.7,D2085.7
WBGene00008430,hgap-2,hgap-2
WBGene00011314,T01B7.9,T01B7.9
WBGene00010683,K08F8.7,K08F8.7
WBGene00011767,agxt-1,agxt-1
WBGene00011885,T21B10.3,T21B10.3
WBGene00011888,cutl-15,cutl-15
WBGene00004105,szy-20,szy-20
WBGene00009711,F44G4.1,F44G4.1
WBGene00009713,F44G4.3,F44G4.3
WBGene00001527,gcs-1,gcs-1
WBGene00001061,dpl-1,dpl-1
WBGene00012033,T26C5.3,T26C5.3
WBGene00000289,cam-1,cam-1
WBGene00001134,eat-3,eat-3
WBGene00001229,eif-3.F,eif-3.F
WBGene00003196,mel-11,mel-11
WBGene00007374,C06C3.3,C06C3.3
WBGene00007375,C06C3.4,C06C3.4
WBGene00008458,E02H1.6,E02H1.6
WBGene00001038,dnj-20,dnj-20
WBGene00044007,ZK1320.13,ZK1320.13
WBGene00011672,cyp-13A5,cyp-13A5
WBGene00007474,C08H9.15,C08H9.15
WBGene00007330,C05C10.3,C05C10.3
WBGene00007333,ufd-3,ufd-3
WBGene00001207,egl-43,egl-43
WBGene00011276,aakg-5,aakg-5
WBGene00002265,lec-2,lec-2
WBGene00001447,flp-4,flp-4
WBGene00009365,F33H1.4,F33H1.4
WBGene00011334,mrps-14,mrps-14
WBGene00010013,F54B3.1,F54B3.1
WBGene00014172,clpp-1,clpp-1
WBGene00007417,ceh-58,ceh-58
WBGene00011661,ztf-27,ztf-27
WBGene00011662,T09F3.2,T09F3.2
WBGene00011663,T09F3.4,T09F3.4
WBGene00014065,ZK673.11,ZK673.11
WBGene00010318,F59B10.2,F59B10.2
WBGene00011304,mnk-1,mnk-1
WBGene00007353,C06A1.2,C06A1.2
WBGene00007555,dohh-1,dohh-1
WBGene00000933,dap-3,dap-3
WBGene00007564,mrps-22,mrps-22
WBGene00000796,crn-3,crn-3
WBGene00010898,nphp-1,nphp-1
WBGene00007490,mks-5,mks-5
WBGene00011068,set-14,set-14
WBGene00011071,R06F6.8,R06F6.8
WBGene00023418,R06F6.12,R06F6.12
WBGene00077658,M106.8,M106.8
WBGene00010910,M106.2,M106.2
WBGene00044924,M106.7,M106.7
WBGene00010911,M106.3,M106.3
WBGene00010912,gmps-1,gmps-1
WBGene00006530,tba-4,tba-4
WBGene00001753,gst-5,gst-5
WBGene00002957,let-858,let-858
WBGene00007500,nasp-1,nasp-1
WBGene00007502,glb-4,glb-4
WBGene00003076,lsm-1,lsm-1
WBGene00009511,F37H8.2,F37H8.2
WBGene00194955,F37H8.6,F37H8.6
WBGene00011999,T24F1.7,T24F1.7
WBGene00005016,sqt-1,sqt-1
WBGene00007190,rmd-3,rmd-3
WBGene00007191,lgc-20,lgc-20
WBGene00012155,VW02B12L.2,VW02B12L.2
WBGene00003868,ooc-3,ooc-3
WBGene00195146,F54D5.17,F54D5.17
WBGene00008546,gfat-1,gfat-1
WBGene00008547,F07A11.4,F07A11.4
WBGene00006617,tars-1,tars-1
WBGene00008741,ctsa-1.2,ctsa-1.2
WBGene00003789,npp-3,npp-3
WBGene00012222,W03C9.6,W03C9.6
WBGene00000892,cyn-16,cyn-16
WBGene00012466,ippk-1,ippk-1
WBGene00012464,arrd-7,arrd-7
WBGene00013272,aqp-12,aqp-12
WBGene00013255,tric-1B.1,tric-1B.1
WBGene00004945,sop-2,sop-2
WBGene00012908,Y46G5A.18,Y46G5A.18
WBGene00012909,spds-1,spds-1
WBGene00009400,F35C5.12,F35C5.12
WBGene00010266,dct-18,dct-18
WBGene00009245,rict-1,rict-1
WBGene00009307,F32A11.1,F32A11.1
WBGene00000274,btf-1,btf-1
WBGene00012993,dmsr-3,dmsr-3
WBGene00012994,Y48C3A.12,Y48C3A.12
WBGene00000113,alh-7,alh-7
WBGene00009741,drr-1,drr-1
WBGene00013000,ddl-2,ddl-2
WBGene00001764,gst-16,gst-16
WBGene00013210,Y54G9A.7,Y54G9A.7
WBGene00013096,mcd-1,mcd-1
WBGene00012197,W02B8.1,W02B8.1
WBGene00012332,rpi-1,rpi-1
WBGene00012978,Y48B6A.1,Y48B6A.1
WBGene00013213,Y54G11A.2,Y54G11A.2
WBGene00013216,Y54G11A.7,Y54G11A.7
WBGene00002996,lin-7,lin-7
WBGene00185067,Y54G11A.17,Y54G11A.17
WBGene00011051,pfs-2,pfs-2
WBGene00194892,dsb-2,dsb-2
WBGene00013222,dmsr-6,dmsr-6
WBGene00003392,mog-4,mog-4
WBGene00044053,C01G12.12,C01G12.12
WBGene00008963,F19H8.2,F19H8.2
WBGene00000188,arl-3,arl-3
WBGene00013188,smg-9,smg-9
WBGene00013189,Y54E2A.4,Y54E2A.4
WBGene00013193,Y54E2A.8,Y54E2A.8
WBGene00012182,osta-3,osta-3
WBGene00013159,Y53F4B.12,Y53F4B.12
WBGene00013171,Y53F4B.25,Y53F4B.25
WBGene00001787,gst-39,gst-39
WBGene00235257,T05C7.4,T05C7.4
WBGene00006599,tpa-1,tpa-1
WBGene00021398,Y38C1AA.7,Y38C1AA.7
WBGene00044736,gfrp-1,gfrp-1
WBGene00019824,R02D3.7,R02D3.7
WBGene00019825,R02D3.8,R02D3.8
WBGene00206487,best-19,best-19
WBGene00000913,daf-18,daf-18
WBGene00022045,mrpl-55,mrpl-55
WBGene00022044,dpm-1,dpm-1
WBGene00021011,W03G1.5,W03G1.5
WBGene00235287,Y55F3C.17,Y55F3C.17
WBGene00021950,cutl-26,cutl-26
WBGene00021949,clec-164,clec-164
WBGene00044459,Y55F3C.9,Y55F3C.9
WBGene00021948,kvs-5,kvs-5
WBGene00021947,srt-23,srt-23
WBGene00018932,mrpl-2,mrpl-2
WBGene00021942,madf-1,madf-1
WBGene00044742,Y55F3BR.10,Y55F3BR.10
WBGene00021945,lem-4,lem-4
WBGene00045298,fbxc-12,fbxc-12
WBGene00019070,F58H7.5,F58H7.5
WBGene00021928,Y55F3AM.11,Y55F3AM.11
WBGene00005903,srx-12,srx-12
WBGene00021920,mrps-25,mrps-25
WBGene00005904,srx-13,srx-13
WBGene00016638,perm-4,perm-4
WBGene00016796,cec-2,cec-2
WBGene00000679,col-105,col-105
WBGene00022423,nhr-41,nhr-41
WBGene00021514,Y41D4B.11,Y41D4B.11
WBGene00003712,nhr-122,nhr-122
WBGene00021522,nhr-274,nhr-274
WBGene00021511,Y41D4B.1,Y41D4B.1
WBGene00019536,rpi-2,rpi-2
WBGene00195004,K08D12.8,K08D12.8
WBGene00018678,tdpo-1,tdpo-1
WBGene00022303,Y76B12C.9,Y76B12C.9
WBGene00022295,cng-2,cng-2
WBGene00003161,mdf-2,mdf-2
WBGene00004367,ric-8,ric-8
WBGene00022382,Y94H6A.10,Y94H6A.10
WBGene00022374,nhr-277,nhr-277
WBGene00021883,Y54G2A.18,Y54G2A.18
WBGene00021886,Y54G2A.21,Y54G2A.21
WBGene00219425,Y54G2A.73,Y54G2A.73
WBGene00021869,vrp-1,vrp-1
WBGene00023187,Y67D8C.12,Y67D8C.12
WBGene00022062,Y67D8B.2,Y67D8B.2
WBGene00021087,W08E12.6,W08E12.6
WBGene00021084,W08E12.3,W08E12.3
WBGene00021083,W08E12.2,W08E12.2
WBGene00021082,zip-11,zip-11
WBGene00018327,F42A6.5,F42A6.5
WBGene00021953,Y55H10A.2,Y55H10A.2
WBGene00001699,grd-10,grd-10
WBGene00019778,M57.2,M57.2
WBGene00015038,nstp-6,nstp-6
WBGene00003889,osm-9,osm-9
WBGene00015036,sre-5,sre-5
WBGene00022610,ltah-1.2,ltah-1.2
WBGene00000481,cha-1,cha-1
WBGene00006756,unc-17,unc-17
WBGene00021372,ugt-45,ugt-45
WBGene00006869,vab-2,vab-2
WBGene00003884,osm-3,osm-3
WBGene00017907,F28F9.3,F28F9.3
WBGene00018065,F35F11.2,F35F11.2
WBGene00019535,tsen-34,tsen-34
WBGene00017934,F30B5.4,F30B5.4
WBGene00005715,srv-4,srv-4
WBGene00021287,Y24D9B.1,Y24D9B.1
WBGene00019949,R08C7.5,R08C7.5
WBGene00000685,col-111,col-111
WBGene00017120,tctn-1,tctn-1
WBGene00020006,set-15,set-15
WBGene00003694,nhr-104,nhr-104
WBGene00019166,tat-2,tat-2
WBGene00006199,str-153,str-153
WBGene00021180,Y9C9A.13,Y9C9A.13
WBGene00015629,C09B9.4,C09B9.4
WBGene00015626,C09B9.1,C09B9.1
WBGene00015326,ivd-1,ivd-1
WBGene00004929,soc-2,soc-2
WBGene00016054,C24D10.2,C24D10.2
WBGene00020993,W03F8.3,W03F8.3
WBGene00020997,gpa-18,gpa-18
WBGene00006586,tni-4,tni-4
WBGene00219694,linc-36,linc-36
WBGene00021792,Y52D5A.1,Y52D5A.1
WBGene00044499,T11F8.5,T11F8.5
WBGene00004804,skn-1,skn-1
WBGene00198300,T19E7.25,T19E7.25
WBGene00016955,perm-5,perm-5
WBGene00016667,C45E5.4,C45E5.4
WBGene00015538,sams-3,sams-3
WBGene00019153,H04M03.3,H04M03.3
WBGene00004112,pqn-22,pqn-22
WBGene00002245,lag-1,lag-1
WBGene00019750,M03D4.3,M03D4.3
WBGene00174531,21ur-10538,21ur-10538
WBGene00005739,srv-28,srv-28
WBGene00005740,srv-29,srv-29
WBGene00005741,srv-30,srv-30
WBGene00005742,srv-31,srv-31
WBGene00006416,sams-5,sams-5
WBGene00005743,srv-32,srv-32
WBGene00005738,srv-27,srv-27
WBGene00005736,srv-25,srv-25
WBGene00022250,Y73B6BL.29,Y73B6BL.29
WBGene00022251,blos-2,blos-2
WBGene00173960,21ur-7036,21ur-7036
WBGene00022254,nlp-71,nlp-71
WBGene00022232,exos-2,exos-2
WBGene00022243,Y73B6BL.22,Y73B6BL.22
WBGene00015307,C01G5.5,C01G5.5
WBGene00017480,nstp-2,nstp-2
WBGene00015281,C01B10.7,C01B10.7
WBGene00044294,C01B10.11,C01B10.11
WBGene00171754,21ur-7848,21ur-7848
WBGene00020687,ruvb-2,ruvb-2
WBGene00003695,nhr-105,nhr-105
WBGene00004411,rpc-1,rpc-1
WBGene00001241,elo-3,elo-3
WBGene00018345,F42C5.3,F42C5.3
WBGene00018346,F42C5.4,F42C5.4
WBGene00018344,npr-27,npr-27
WBGene00202016,C48A7.15,C48A7.15
WBGene00006814,unc-82,unc-82
WBGene00194883,B0496.11,B0496.11
WBGene00018900,rod-1,rod-1
WBGene00018638,F49E8.7,F49E8.7
WBGene00000190,arf-1.1,arf-1.1
WBGene00018473,cima-1,cima-1
WBGene00016844,sucg-1,sucg-1
WBGene00016703,rdl-1,rdl-1
WBGene00016376,sec-10,sec-10
WBGene00001453,flp-10,flp-10
WBGene00000442,ceh-19,ceh-19
WBGene00016126,nhr-258,nhr-258
WBGene00021538,rabs-5,rabs-5
WBGene00018358,erp-44.3,erp-44.3
WBGene00006620,svh-1,svh-1
WBGene00003839,ocr-2,ocr-2
WBGene00003656,nhr-66,nhr-66
WBGene00044509,K07H8.12,K07H8.12
WBGene00019510,K07H8.10,K07H8.10
WBGene00017075,nap-1,nap-1
WBGene00020826,T26A8.3,T26A8.3
WBGene00017237,pole-2,pole-2
WBGene00009011,F21D5.6,F21D5.6
WBGene00012122,T28C6.8,T28C6.8
WBGene00007495,C09G9.5,C09G9.5
WBGene00008274,C53B4.4,C53B4.4
WBGene00000266,bre-1,bre-1
WBGene00008281,C53D6.4,C53D6.4
WBGene00003610,nhr-11,nhr-11
WBGene00303009,mrpl-42,mrpl-42
WBGene00006438,nrfl-1,nrfl-1
WBGene00235286,C01F6.16,C01F6.16
WBGene00000121,aly-2,aly-2
WBGene00008113,C46C2.5,C46C2.5
WBGene00012435,flh-1,flh-1
WBGene00009876,F49C12.6,F49C12.6
WBGene00009877,F49C12.7,F49C12.7
WBGene00011857,coa-4,coa-4
WBGene00011860,pigc-1,pigc-1
WBGene00007505,pezo-1,pezo-1
WBGene00007506,fbxc-58,fbxc-58
WBGene00010153,srxa-2,srxa-2
WBGene00010317,idh-1,idh-1
WBGene00002013,hsp-12.6,hsp-12.6
WBGene00005666,sru-3,sru-3
WBGene00005667,sru-4,sru-4
WBGene00007888,ttr-9,ttr-9
WBGene00007882,C33A12.3,C33A12.3
WBGene00010175,F56H11.2,F56H11.2
WBGene00001403,fbl-1,fbl-1
WBGene00000509,cka-1,cka-1
WBGene00011746,T13F2.6,T13F2.6
WBGene00011743,T13F2.2,T13F2.2
WBGene00012340,dct-15,dct-15
WBGene00001188,egl-20,egl-20
WBGene00003787,npp-1,npp-1
WBGene00010638,K07F5.14,K07F5.14
WBGene00009319,mccc-1,mccc-1
WBGene00009323,best-13,best-13
WBGene00008148,C47E12.3,C47E12.3
WBGene00008147,C47E12.2,C47E12.2
WBGene00005663,sars-1,sars-1
WBGene00011425,T04B2.7,T04B2.7
WBGene00003576,ndc-80,ndc-80
WBGene00007304,ttr-39,ttr-39
WBGene00007305,ttbk-5,ttbk-5
WBGene00003434,msp-38,msp-38
WBGene00000975,dhs-12,dhs-12
WBGene00004091,pps-1,pps-1
WBGene00004254,pxf-1,pxf-1
WBGene00012783,Y43C5A.3,Y43C5A.3
WBGene00004297,rad-51,rad-51
WBGene00012786,Y43C5B.3,Y43C5B.3
WBGene00011223,R10H10.4,R10H10.4
WBGene00011224,R10H10.6,R10H10.6
WBGene00011225,R10H10.7,R10H10.7
WBGene00002084,ins-1,ins-1
WBGene00000419,ced-5,ced-5
WBGene00007264,C02F4.4,C02F4.4
WBGene00011593,T07G12.2,T07G12.2
WBGene00001867,him-8,him-8
WBGene00008075,C43F9.7,C43F9.7
WBGene00010649,K08C7.7,K08C7.7
WBGene00001477,fmo-2,fmo-2
WBGene00010648,K08C7.6,K08C7.6
WBGene00011288,R102.1,R102.1
WBGene00011289,R102.2,R102.2
WBGene00011290,R102.3,R102.3
WBGene00007384,swt-3,swt-3
WBGene00014003,ZK593.3,ZK593.3
WBGene00045056,F13H10.9,F13H10.9
WBGene00000109,alh-3,alh-3
WBGene00006490,kdin-1,kdin-1
WBGene00002214,klc-1,klc-1
WBGene00010887,M7.12,M7.12
WBGene00014505,T05E11.9,T05E11.9
WBGene00004199,prx-14,prx-14
WBGene00000700,col-126,col-126
WBGene00007114,mttu-1,mttu-1
WBGene00001020,dnj-2,dnj-2
WBGene00007108,gspd-1,gspd-1
WBGene00044290,B0035.18,B0035.18
WBGene00010409,H21P03.2,H21P03.2
WBGene00006406,srgp-1,srgp-1
WBGene00012498,Y24F12A.3,Y24F12A.3
WBGene00010231,F58B3.4,F58B3.4
WBGene00014088,ZK809.8,ZK809.8
WBGene00014079,ZK792.7,ZK792.7
WBGene00011725,lips-5,lips-5
WBGene00011726,lpr-2,lpr-2
WBGene00219602,linc-151,linc-151
WBGene00009547,F38H4.3,F38H4.3
WBGene00007801,trpa-1,trpa-1
WBGene00006566,tgt-1,tgt-1
WBGene00010666,K08E4.2,K08E4.2
WBGene00010667,K08E4.3,K08E4.3
WBGene00045283,K08E4.8,K08E4.8
WBGene00010669,bath-37,bath-37
WBGene00007087,B0001.2,B0001.2
WBGene00007092,B0001.7,B0001.7
WBGene00003772,nlr-1,nlr-1
WBGene00012705,sre-18,sre-18
WBGene00012708,sre-19,sre-19
WBGene00016579,sre-14,sre-14
WBGene00016588,hpo-12,hpo-12
WBGene00016592,erl-1,erl-1
WBGene00016585,oac-59,oac-59
WBGene00009216,F28D1.6,F28D1.6
WBGene00007732,spe-44,spe-44
WBGene00011418,igdb-1,igdb-1
WBGene00006630,tsp-4,tsp-4
WBGene00004315,rbd-1,rbd-1
WBGene00008555,F07C6.4,F07C6.4
WBGene00014138,clec-186,clec-186
WBGene00010660,K08D8.6,K08D8.6
WBGene00000134,amt-2,amt-2
WBGene00007207,B0564.7,B0564.7
WBGene00023421,rde-11,rde-11
WBGene00000417,ced-3,ced-3
WBGene00000501,cho-1,cho-1
WBGene00219548,JC8.17,JC8.17
WBGene00010435,JC8.2,JC8.2
WBGene00010439,JC8.7,JC8.7
WBGene00194915,JC8.16,JC8.16
WBGene00004156,pqn-74,pqn-74
WBGene00013375,srsx-25,srsx-25
WBGene00302964,Y62E10A.23,Y62E10A.23
WBGene00013383,aptf-2,aptf-2
WBGene00010709,nol-9,nol-9
WBGene00007450,C08F11.1,C08F11.1
WBGene00007458,ule-4,ule-4
WBGene00012891,sorb-1,sorb-1
WBGene00012888,sas-6,sas-6
WBGene00010374,rga-5,rga-5
WBGene00007200,vamp-8,vamp-8
WBGene00007196,B0513.4,B0513.4
WBGene00045063,Y37A1A.4,Y37A1A.4
WBGene00001190,egl-23,egl-23
WBGene00012543,nkcc-1,nkcc-1
WBGene00013289,tag-273,tag-273
WBGene00013298,Y57G11B.6,Y57G11B.6
WBGene00013295,Y57G11B.2,Y57G11B.2
WBGene00045146,Y41E3.22,Y41E3.22
WBGene00012764,Y41E3.6,Y41E3.6
WBGene00014886,Y41E3.5,Y41E3.5
WBGene00001336,qars-1,qars-1
WBGene00012744,Y40H7A.4,Y40H7A.4
WBGene00005726,srv-15,srv-15
WBGene00001604,gln-3,gln-3
WBGene00020286,gtsf-1,gtsf-1
WBGene00013789,Y116A8C.9,Y116A8C.9
WBGene00013782,npr-32,npr-32
WBGene00013997,ZK550.3,ZK550.3
WBGene00013999,ZK550.5,ZK550.5
WBGene00012135,T28F3.9,T28F3.9
WBGene00007826,C30H6.9,C30H6.9
WBGene00044238,C30H6.12,C30H6.12
WBGene00005678,sru-15,sru-15
WBGene00004061,pmp-4,pmp-4
WBGene00021040,W05G11.2,W05G11.2
WBGene00018793,mrpl-40,mrpl-40
WBGene00004045,pll-1,pll-1
WBGene00019636,gsto-3,gsto-3
WBGene00003134,mat-3,mat-3
WBGene00044288,F30H5.5,F30H5.5
WBGene00006781,unc-45,unc-45
WBGene00020701,T22F7.1,T22F7.1
WBGene00021061,W06E11.1,W06E11.1
WBGene00015648,orai-1,orai-1
WBGene00016028,flp-24,flp-24
WBGene00219709,linc-37,linc-37
WBGene00006430,tag-51,tag-51
WBGene00017759,sucl-2,sucl-2
WBGene00020459,fbxa-23,fbxa-23
WBGene00020451,fbxa-11,fbxa-11
WBGene00021340,Y34F4.5,Y34F4.5
WBGene00013842,fbxa-34,fbxa-34
WBGene00013845,fbxa-37,fbxa-37
WBGene00022479,fbxa-36,fbxa-36
WBGene00022056,ddx-35,ddx-35
WBGene00002025,hsp-60,hsp-60
WBGene00021254,Y22D7AL.16,Y22D7AL.16
WBGene00021260,Y22D7AR.6,Y22D7AR.6
WBGene00021440,Y39A3CL.1,Y39A3CL.1
WBGene00016520,C39B5.2,C39B5.2
WBGene00021858,Y54F10BM.3,Y54F10BM.3
WBGene00019150,H04J21.1,H04J21.1
WBGene00021853,Y54F10AM.11,Y54F10AM.11
WBGene00022195,Y71H2B.5,Y71H2B.5
WBGene00022167,Y71H2AM.2,Y71H2AM.2
WBGene00022188,Y71H2AR.1,Y71H2AR.1
WBGene00019994,cdh-1,cdh-1
WBGene00019995,R10F2.4,R10F2.4
WBGene00021915,Y55D5A.1,Y55D5A.1
WBGene00021820,nipa-1,nipa-1
WBGene00219660,linc-19,linc-19
WBGene00219661,linc-45,linc-45
WBGene00016633,C44B11.1,C44B11.1
WBGene00021804,Y53G8AM.4,Y53G8AM.4
WBGene00021807,Y53G8AM.7,Y53G8AM.7
WBGene00009738,hecw-1,hecw-1
WBGene00007927,C34C12.8,C34C12.8
WBGene00007925,C34C12.6,C34C12.6
WBGene00010815,M01F1.9,M01F1.9
WBGene00006822,unc-93,unc-93
WBGene00003962,pdi-1,pdi-1
WBGene00007576,dph-1,dph-1
WBGene00009374,F34D10.4,F34D10.4
WBGene00011974,xbx-5,xbx-5
WBGene00007965,C36A4.4,C36A4.4
WBGene00000264,brc-1,brc-1
WBGene00164983,C36A4.12,C36A4.12
WBGene00003930,pat-3,pat-3
WBGene00014207,ZK1058.9,ZK1058.9
WBGene00009502,F37A8.2,F37A8.2
WBGene00219936,F37A8.7,F37A8.7
WBGene00011214,R10E9.2,R10E9.2
WBGene00007981,glb-11,glb-11
WBGene00007980,C36E8.1,C36E8.1
WBGene00001944,his-70,his-70
WBGene00007628,C16C10.8,C16C10.8
WBGene00007623,C16C10.2,C16C10.2
WBGene00023423,F43C1.7,F43C1.7
WBGene00006478,tag-131,tag-131
WBGene00003590,nex-3,nex-3
WBGene00003577,ndg-4,ndg-4
WBGene00010155,F56F3.4,F56F3.4
WBGene00011956,T23F11.4,T23F11.4
WBGene00007045,pgap-2,pgap-2
WBGene00011415,him-18,him-18
WBGene00007168,B0393.3,B0393.3
WBGene00008003,enu-3.2,enu-3.2
WBGene00003210,mel-28,mel-28
WBGene00008006,tag-325,tag-325
WBGene00008007,C38D4.7,C38D4.7
WBGene00017803,F26A1.4,F26A1.4
WBGene00017801,F26A1.1,F26A1.1
WBGene00016445,C35D10.8,C35D10.8
WBGene00004782,set-2,set-2
WBGene00016139,ntl-9,ntl-9
WBGene00043156,C27F2.9,C27F2.9
WBGene00020095,smcr-8,smcr-8
WBGene00020094,wip-1,wip-1
WBGene00050919,C45G9.15,C45G9.15
WBGene00000279,cah-1,cah-1
WBGene00021899,Y54H5A.1,Y54H5A.1
WBGene00019629,cid-1,cid-1
WBGene00189952,K10D2.8,K10D2.8
WBGene00019633,K10D2.7,K10D2.7
WBGene00001262,emb-8,emb-8
WBGene00022531,morc-1,morc-1
WBGene00016408,prmt-5,prmt-5
WBGene00016412,mrps-26,mrps-26
WBGene00006946,prx-10,prx-10
WBGene00001823,hap-1,hap-1
WBGene00000973,dhs-9,dhs-9
WBGene00020970,W03A5.6,W03A5.6
WBGene00019836,R02F2.7,R02F2.7
WBGene00004114,pqn-25,pqn-25
WBGene00017300,rpc-2,rpc-2
WBGene00018966,F56D2.5,F56D2.5
WBGene00018968,F56D2.8,F56D2.8
WBGene00006731,uev-2,uev-2
WBGene00018827,pst-2,pst-2
WBGene00015145,arle-14,arle-14
WBGene00015143,rbm-26,rbm-26
WBGene00255596,Y37B11A.8,Y37B11A.8
WBGene00000115,alh-9,alh-9
WBGene00001057,dpf-4,dpf-4
WBGene00017166,aldo-2,aldo-2
WBGene00018254,F40H6.2,F40H6.2
WBGene00044412,F40H6.6,F40H6.6
WBGene00015477,attf-4,attf-4
WBGene00018340,anmt-2,anmt-2
WBGene00018339,abcf-3,abcf-3
WBGene00016016,C23G10.10,C23G10.10
WBGene00016017,C23G10.11,C23G10.11
WBGene00001989,hot-4,hot-4
WBGene00020440,T12A2.6,T12A2.6
