from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,data_sources
ADAR,URYDR,"(-1.43, 91.22, -11.64)","(10.8, 35.22, -6.94)",inter,sensory,,2.0,,"['cook2019', 'funconn']"
ADEL,ADAL,"(-0.12, 87.97, 10.5)","(0.03, 94.34, 10.31)",sensory,inter,,1.0,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,ADEL,"(-0.12, 87.97, 10.5)","(-0.12, 87.97, 10.5)",sensory,sensory,,1.5,,"['cook2019', 'witvliet2020_7']"
ADEL,ADER,"(-0.12, 87.97, 10.5)","(-0.58, 83.23, -11.47)",sensory,sensory,1.0,2.625,1.7392077937957846,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,AINL,"(-0.12, 87.97, 10.5)","(6.62, 68.22, 9.69)",sensory,inter,1.5,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADEL,ALML,"(-0.12, 87.97, 10.5)","(11.79, 337.49, -11.86)",sensory,sensory,,1.0,,"['cook2019', 'witvliet2020_7']"
ADEL,ALNL,"(-0.12, 87.97, 10.5)","(12.09, 784.36, 3.51)",sensory,sensory,,1.5,,"['witvliet2020_7', 'witvliet2020_8']"
ADEL,AQR,"(-0.12, 87.97, 10.5)","(-3.56, 87.59, -10.65)",sensory,sensory,,2.0,,['witvliet2020_7']
ADEL,ASJL,"(-0.12, 87.97, 10.5)","(-0.02, 64.06, 5.64)",sensory,sensory,,1.0,,['witvliet2020_7']
ADEL,AVAL,"(-0.12, 87.97, 10.5)","(6.7, 50.2, 8.41)",sensory,inter,,2.5714285714285716,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADEL,AVAR,"(-0.12, 87.97, 10.5)","(4.79, 50.99, -9.13)",sensory,inter,,3.375,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,AVDL,"(-0.12, 87.97, 10.5)","(5.35, 65.34, 9.11)",sensory,inter,,2.5,,"['cook2019', 'white1986_jsh']"
ADEL,AVEL,"(-0.12, 87.97, 10.5)","(4.58, 51.08, 5.98)",sensory,inter,,1.3333333333333333,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADEL,AVFR,"(-0.12, 87.97, 10.5)","(-8.59, 95.54, 0.49)",sensory,inter,1.0,,,['witvliet2020_7']
ADEL,AVHL,"(-0.12, 87.97, 10.5)","(9.65, 62.68, 7.85)",sensory,inter,,2.0,,"['cook2019', 'funconn']"
ADEL,AVKL,"(-0.12, 87.97, 10.5)","(-5.94, 87.39, 3.82)",sensory,inter,,2.0,,['witvliet2020_7']
ADEL,AVKR,"(-0.12, 87.97, 10.5)","(-5.64, 75.68, -3.17)",sensory,inter,1.5,1.0,0.04999999999999999,"['chklovskii', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,AVL,"(-0.12, 87.97, 10.5)","(-4.87, 70.82, 0.37)",sensory,motor,2.0,1.0,0.0,"['cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
