from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,functional_weight,data_sources
ADAL,FLPR,"(0.03, 94.34, 10.31)","(0.23, 74.92, -11.36)",inter,sensory,,1.0,,-0.004716427531093359,"['chklovskii', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADAL,I1R,"(0.03, 94.34, 10.31)","(6.0, 0.0, -2.71)",inter,pharyngeal,,,,-0.0011882928665727377,['funconn']
ADAL,I2L,"(0.03, 94.34, 10.31)","(4.85, 13.08, 7.23)",inter,pharyngeal,,,,-0.018413696438074112,['funconn']
ADAL,I2R,"(0.03, 94.34, 10.31)","(3.39, 13.82, -6.0)",inter,pharyngeal,,,,-0.02905135601758957,['funconn']
ADAL,I6,"(0.03, 94.34, 10.31)","(10.21, 75.59, 4.19)",inter,pharyngeal,,,,0.1779903769493103,['funconn']
ADAL,IL1DL,"(0.03, 94.34, 10.31)","(13.12, 32.71, 2.18)",inter,sensory,,,,0.010404757224023342,['funconn']
ADAL,IL1DR,"(0.03, 94.34, 10.31)","(12.22, 33.88, -4.59)",inter,sensory,,,,0.010376237332820892,['funconn']
ADAL,IL2DL,"(0.03, 94.34, 10.31)","(12.34, 24.21, 4.34)",inter,sensory,,,,0.01026416476815939,['funconn']
ADAL,IL2DR,"(0.03, 94.34, 10.31)","(12.45, 26.43, -6.68)",inter,sensory,,,,0.040110718458890915,['funconn']
ADAL,IL2R,"(0.03, 94.34, 10.31)","(6.61, 30.16, -8.8)",inter,sensory,,,,0.12467720359563828,['funconn']
ADAL,M2L,"(0.03, 94.34, 10.31)","(2.97, 69.41, 3.49)",inter,pharyngeal,,,,0.08387935161590576,['funconn']
ADAL,M3R,"(0.03, 94.34, 10.31)","(5.14, 22.75, -2.91)",inter,pharyngeal,,,,-0.0012002128642052412,['funconn']
ADAL,MCR,"(0.03, 94.34, 10.31)","(5.25, 14.19, -3.51)",inter,pharyngeal,,,,0.013587280176579952,['funconn']
ADAL,MI,"(0.03, 94.34, 10.31)","(14.61, 16.72, -1.03)",inter,pharyngeal,,,,0.018577303737401962,['funconn']
ADAL,OLQVL,"(0.03, 94.34, 10.31)","(3.93, 36.66, 6.16)",inter,sensory,2.5,1.0,0.14999999999999997,-0.005661721341311932,"['cook2019', 'funconn', 'witvliet2020_8']"
ADAL,PVPL,"(0.03, 94.34, 10.31)","(-3.27, 731.85, 1.07)",inter,inter,,1.0,,,['cook2019']
ADAL,PVQL,"(0.03, 94.34, 10.31)","(6.02, 766.78, 6.41)",inter,inter,2.3333333333333335,,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,RIAL,"(0.03, 94.34, 10.31)","(9.98, 51.21, 5.75)",inter,inter,,,,0.006101954262703657,['funconn']
ADAL,RIBL,"(0.03, 94.34, 10.31)","(3.07, 62.04, 6.02)",inter,inter,,,,0.10918405652046204,['funconn']
ADAL,RICL,"(0.03, 94.34, 10.31)","(0.28, 70.85, 8.03)",inter,inter,,1.6666666666666667,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADAL,RICR,"(0.03, 94.34, 10.31)","(-0.2, 69.97, -8.23)",inter,inter,,1.1428571428571428,,0.001016473863273859,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAL,RID,"(0.03, 94.34, 10.31)","(15.71, 48.01, -2.99)",inter,inter,,,,0.11398141086101532,['funconn']
ADAL,RIFR,"(0.03, 94.34, 10.31)","(-9.05, 106.41, -1.71)",inter,inter,,,,-0.005109159741550684,['funconn']
ADAL,RIGR,"(0.03, 94.34, 10.31)","(-8.93, 117.71, 0.23)",inter,inter,,,,-0.006622266490012407,['funconn']
ADAL,RIML,"(0.03, 94.34, 10.31)","(-0.63, 63.59, 4.45)",inter,motor,,4.875,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,RIPL,"(0.03, 94.34, 10.31)","(7.97, 35.3, 6.37)",inter,inter,,2.875,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,RIPR,"(0.03, 94.34, 10.31)","(7.11, 35.72, -6.56)",inter,inter,,2.0,,,['witvliet2020_8']
ADAL,RIVL,"(0.03, 94.34, 10.31)","(11.92, 64.03, 4.43)",inter,inter,,,,-0.010271694511175156,['funconn']
ADAL,RIVR,"(0.03, 94.34, 10.31)","(11.31, 64.38, -7.21)",inter,inter,,,,-0.01496066339313984,['funconn']
ADAL,RMDDL,"(0.03, 94.34, 10.31)","(0.2, 55.78, 3.91)",inter,motor,,,,0.027356285601854324,['funconn']
ADAL,RMDDR,"(0.03, 94.34, 10.31)","(-0.46, 56.06, -2.32)",inter,motor,,,,0.10104455053806305,['funconn']
ADAL,RMDL,"(0.03, 94.34, 10.31)","(3.32, 50.76, 8.18)",inter,motor,,,,-0.019214052706956863,['funconn']
ADAL,RMDR,"(0.03, 94.34, 10.31)","(1.87, 52.31, -7.88)",inter,motor,,,,0.02411303110420704,['funconn']
ADAL,RMDVL,"(0.03, 94.34, 10.31)","(7.1, 47.33, 9.76)",inter,motor,,,,0.05584229528903961,['funconn']
ADAL,RMDVR,"(0.03, 94.34, 10.31)","(5.29, 48.66, -10.21)",inter,motor,,,,0.0019297873368486762,['funconn']
ADAL,RMER,"(0.03, 94.34, 10.31)","(7.16, 38.76, -7.87)",inter,motor,,,,0.026099007576704025,['funconn']
ADAL,RMFL,"(0.03, 94.34, 10.31)","(-3.06, 58.12, 1.77)",inter,motor,,2.0,,0.0561261884868145,"['funconn', 'witvliet2020_8']"
ADAL,RMFR,"(0.03, 94.34, 10.31)","(-2.4, 57.51, 0.07)",inter,motor,,,,0.010246098972856998,['funconn']
ADAL,RMGL,"(0.03, 94.34, 10.31)","(-0.45, 98.07, 9.18)",inter,inter,,,,-0.003135879524052143,['funconn']
ADAL,SAADL,"(0.03, 94.34, 10.31)","(-0.9, 53.44, 1.45)",inter,inter,,1.0,,0.08338484913110733,"['funconn', 'witvliet2020_8']"
ADAL,SAAVL,"(0.03, 94.34, 10.31)","(9.73, 49.05, 6.88)",inter,inter,,,,-0.007337664719671011,['funconn']
ADAL,SMDVR,"(0.03, 94.34, 10.31)","(9.15, 51.03, -9.28)",inter,motor,,2.0,,-0.005337781272828579,"['cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,URAVL,"(0.03, 94.34, 10.31)","(2.35, 33.57, 4.74)",inter,sensory,,1.0,,0.05227313190698624,"['cook2019', 'funconn']"
ADAL,URBL,"(0.03, 94.34, 10.31)","(7.53, 34.05, 8.41)",inter,sensory,,,,0.012431166134774685,['funconn']
ADAL,URXL,"(0.03, 94.34, 10.31)","(13.05, 50.65, 2.27)",inter,sensory,,1.5,,,"['cook2019', 'witvliet2020_7']"
ADAL,URXR,"(0.03, 94.34, 10.31)","(12.3, 50.87, -5.18)",inter,sensory,,,,0.004974475130438805,['funconn']
ADAL,URYDL,"(0.03, 94.34, 10.31)","(12.32, 34.36, 4.64)",inter,sensory,,,,0.031062910333275795,['funconn']
ADAL,URYDR,"(0.03, 94.34, 10.31)","(10.8, 35.22, -6.94)",inter,sensory,,,,0.059631917625665665,['funconn']
ADAL,URYVL,"(0.03, 94.34, 10.31)","(5.12, 32.7, 6.71)",inter,sensory,,,,0.03189291059970856,['funconn']
ADAL,URYVR,"(0.03, 94.34, 10.31)","(3.42, 33.1, -6.05)",inter,sensory,,,,0.006780271418392658,['funconn']
ADAL,VA1,"(0.03, 94.34, 10.31)","(-9.03, 108.33, 1.87)",inter,motor,,,,0.044347263872623444,['funconn']
ADAL,VB2,"(0.03, 94.34, 10.31)","(-8.14, 85.76, 1.61)",inter,motor,,,,0.04620220139622688,['funconn']
ADAR,ADAL,"(-1.43, 91.22, -11.64)","(0.03, 94.34, 10.31)",inter,inter,2.0,,,-0.00017127188039012253,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
