Neuron,KMeansCluster
 RIBL        ,0
 RIGR        ,0
 OLQDL       ,4
 AVKL        ,0
 BAGL        ,4
 PVPL        ,1
 URYDL       ,4
 URYVL       ,4
 RMFL        ,4
 VD01        ,4
 ADLL        ,0
 IL2L        ,0
 AVEL        ,4
 URXL        ,4
 RMDDR       ,4
 ALML        ,0
 AVFR        ,4
 RMHL        ,4
 vBWML11       ,0
 vBWML16       ,0
 vBWML15       ,0
 vBWMR11       ,0
 VC05          ,0
 vm2aL         ,0
 vm2pR         ,0
 HSNR        ,0
 ADFR          ,0
 ADAR          ,0
 RIAR          ,1
 AVHL          ,0
 PVPR          ,0
 SMBVR         ,0
 AWAL          ,0
 ADLR        ,0
 AWAL        ,0
 hyp         ,1
 RIFR          ,0
 PVCL          ,1
 IL2R          ,0
 ASGL        ,0
 AINR          ,0
 ASKR        ,0
 AIZR        ,0
 RICR        ,0
 RMGR        ,0
 AVHL        ,1
 AVAR        ,1
 AVER        ,0
 PVQR          ,0
 ASEL        ,0
 AIYL        ,0
 BDUR          ,0
 PVNR          ,0
 vBWMR10       ,0
 AQR           ,0
 PVT           ,0
 RIMR          ,1
 VA06          ,0
 SABD          ,0
 vBWMR9        ,0
 PHBL        ,0
 PHAR        ,0
 PHBR        ,0
 PVNL        ,0
 AVG         ,0
 DVC         ,1
 PVPR        ,1
 AVJL        ,4
 AVJR        ,0
 PVNR        ,0
 PVT         ,1
 DA08        ,4
 SIAVL       ,4
 AS11        ,4
 VA11        ,4
 VD12        ,4
 AVFL        ,4
 AVL         ,4
 DD06        ,4
 SABVR         ,0
 VC02          ,0
 DA05          ,0
 DA06          ,0
 AS05          ,0
 VC03          ,0
 vBWMR15       ,0
 vBWMR16       ,0
 ALA         ,4
 BDUR        ,4
 OLQVR         ,0
 BAGL          ,0
 URXR          ,0
 URYVR         ,0
 AUAR          ,0
 SMBDR         ,0
 RIH         ,0
 SMBVR       ,0
 SMDVR       ,4
 CEPVR         ,0
 URBR          ,0
 RIPR          ,1
 SIBVL         ,0
 RMFL          ,0
 SAAVL         ,0
 AINR        ,0
 AIAL        ,0
 ASGR          ,0
 AIYR        ,0
 ASIL          ,0
 AUAL        ,0
 ASIR          ,0
 URYDL         ,0
 vBWML7        ,0
 SAAVR         ,0
 SAADR         ,0
 VB01          ,0
 ADFR        ,0
 RIGL        ,0
 SMDDL       ,0
 RIS         ,4
 RIML        ,4
 VB02          ,0
 SIBVL       ,4
 ASER        ,0
 URBR        ,0
 RMDVR       ,0
 URADL         ,0
 OLLL          ,0
 OLQDL         ,0
 CEPDR         ,0
 RIS           ,0
 AINL          ,0
 AINL        ,0
 ADER        ,0
 IL2L          ,0
 PVR           ,0
 RMDDL         ,1
 RMDVR         ,1
 RMER          ,0
 IL1L          ,0
 IL1VL         ,0
 URYVL         ,0
 AVL           ,0
 RMEV          ,0
 ADEL          ,0
 RMER        ,0
 RMDL        ,4
 URAVL       ,0
 CEPVL         ,0
 RIBR          ,1
 SIAVR         ,0
 BDUL          ,0
 PVCR          ,1
 VA02          ,0
 PVDR          ,0
 VA12          ,0
 AVKR        ,0
 DB07          ,0
 AUAR        ,0
 RMDVL       ,0
 SIBVR       ,4
 SMDVL       ,0
 BAGR        ,4
 IL1L        ,0
 VA11          ,0
 PVWL          ,0
 PDER          ,0
 DA02          ,0
 DB02          ,0
 DB03          ,0
 VA08          ,0
 VB11          ,0
 PVR         ,1
 SDQR        ,4
 PVM         ,0
 PDEL        ,0
 PDER        ,0
 PVCL        ,1
 PVCR        ,1
 SIADR       ,0
 DA09        ,4
 SAAVR       ,4
 AVBR        ,1
 DB07        ,4
 DB01        ,4
 DB06        ,4
 VD13          ,0
 PQR           ,0
 PVWR          ,0
 DD02          ,0
 VD04          ,0
 VD06          ,0
 VD07          ,0
 AVHR        ,1
 AVDL        ,0
 LUAR        ,0
 PQR         ,0
 PVWR        ,4
 VD13        ,4
 VC06        ,4
 RMEL          ,0
 RMED          ,0
 DVC           ,0
 RMEV        ,0
 RIBR        ,0
 SIADL       ,4
 AIML        ,0
 DD01          ,1
 AVG           ,0
 PVDL          ,0
 DA08          ,0
 vBWML12       ,0
 vBWMR14       ,0
 VB01        ,4
 VD01          ,0
 DD06          ,1
 LUAL        ,4
 PHAL        ,0
 ASJR        ,0
 DA07        ,4
 dBWML3        ,0
 dBWML6        ,0
 URYDR         ,0
 dBWMR3        ,1
 vBWML4        ,0
 dBWMR4        ,0
 dBWMR5        ,0
 vBWMR4        ,1
 URAVR         ,0
 ADER          ,0
 vBWMR3        ,0
 AVKL          ,0
 FLPR          ,0
 VA01          ,0
 FLPR        ,0
 DD01        ,0
 FLPL          ,0
 dBWMR6        ,0
 RIR         ,0
 ALNR          ,0
 RMED        ,0
 SMDDR       ,4
 FLPL        ,0
 RIMR        ,4
 OLQDR       ,4
 OLQVR       ,4
 SMBDR       ,0
 SIBDR       ,4
 URXR        ,0
 RMHR        ,4
 OLLR        ,0
 ADEL        ,4
 URYDR       ,4
 AQR         ,4
 vBWMR6        ,0
 vBWML9        ,0
 VD09          ,0
 vBWMR20       ,0
 PVDR        ,0
 DVB         ,4
 VD11        ,4
 VC03        ,4
 VA03          ,0
 VA04          ,0
 VD02          ,0
 AVAL        ,1
 SMBDL       ,4
 PLNL          ,0
 SABD        ,4
 vBWML1        ,0
 vBWML2        ,0
 vBWML6        ,0
 AS10          ,0
 vBWML10       ,0
 vBWML13       ,0
 SABVL         ,0
 DA04          ,0
 DA07          ,0
 DA03          ,0
 AS04          ,0
 DB03        ,4
 VB10        ,0
 VB11        ,0
 VB09        ,0
 AS05        ,4
 AS06        ,4
 DB02        ,4
 DB04        ,4
 VB02        ,4
 VB04        ,4
 VB05        ,4
 VB06        ,4
