gene,mean_members,mean_control,effect_size,pval,qval
WBGene00017949,0.0,0.07564766839378237,-0.07564766839378237,4.801060877520163e-10,9.631699719375049e-08
WBGene00002225,0.10023148148148148,0.33522493626120575,-0.23499345477972428,5.052986155027286e-10,1.0047393444009565e-07
WBGene00003612,0.015046296296296295,0.19285303067686488,-0.17780673438056857,5.484008592610328e-10,1.080878851468083e-07
WBGene00007320,0.0,0.03661485319516407,-0.03661485319516407,5.792845714394026e-10,1.1150640006135621e-07
WBGene00009675,0.008333333333333333,0.14066946294925572,-0.1323361296159224,5.806332639271296e-10,1.1150640006135621e-07
WBGene00019629,0.08637566137566137,0.31714779175919067,-0.23077213038352928,5.793401355652977e-10,1.1150640006135621e-07
WBGene00014074,0.6176256613756613,5.3377333662307755,-4.720107704855114,6.020822108306078e-10,1.146456372470587e-07
WBGene00018383,0.015046296296296295,0.1561641582366971,-0.1411178619404008,6.215926115811334e-10,1.1707377401952331e-07
WBGene00011813,0.8036044973544975,1.9692984620445764,-1.165693964690079,6.252549237768836e-10,1.1707377401952331e-07
WBGene00050885,0.33888888888888885,0.7271321654741345,-0.38824327658524566,6.524028895067445e-10,1.2114744234981027e-07
WBGene00012395,0.11319444444444444,0.4941442552841516,-0.3809498108397072,6.630129933645892e-10,1.2155630788687937e-07
WBGene00016589,0.7171957671957672,1.6365079365079362,-0.9193121693121691,6.654246237076043e-10,1.2155630788687937e-07
WBGene00008639,0.8016203703703705,1.8354387696356604,-1.0338183992652898,6.727230096269104e-10,1.2189849438150847e-07
WBGene00000049,0.017592592592592594,0.13289744222386712,-0.11530484963127453,7.002109843070332e-10,1.2566439498880377e-07
WBGene00219619,0.5371362433862434,1.605469199769718,-1.0683329563834745,7.046915202540956e-10,1.2566439498880377e-07
WBGene00000718,0.04824735449735449,0.16045727444691174,-0.11220991994955726,7.176619687366448e-10,1.2696965964995018e-07
WBGene00020218,0.047685185185185185,0.27454560407928286,-0.22686041889409767,7.54821176755187e-10,1.3250060172275231e-07
WBGene00011635,0.9178240740740741,1.9647010444937907,-1.0468769704197167,7.872946477311303e-10,1.3712963906876565e-07
WBGene00000517,0.0,0.06609096142774899,-0.06609096142774899,8.07784035067808e-10,1.396161498764506e-07
WBGene00008089,0.0,0.04265975820379965,-0.04265975820379965,8.708853325431517e-10,1.4937345448024484e-07
WBGene00015697,0.12962962962962962,0.3959618389670203,-0.26633220933739066,8.808257098002526e-10,1.4993388540531723e-07
WBGene00016054,0.0,0.05146804835924007,-0.05146804835924007,8.927808318681963e-10,1.508262594830564e-07
WBGene00016221,0.0,0.04515996381281355,-0.04515996381281355,9.13206626303757e-10,1.531256693016352e-07
WBGene00021548,2.7520502645502645,5.590829837980097,-2.8387795734298327,1.0661021225374921e-09,1.7743887845403638e-07
WBGene00001368,2.895138888888889,13.726704498725224,-10.831565609836336,1.0779975426114117e-09,1.7809946165393976e-07
WBGene00015282,0.17509920634920637,0.532683608849412,-0.3575844025002056,1.1618640940364904e-09,1.905541921817949e-07
WBGene00015687,14.698710317460318,115.35755407517065,-100.65884375771034,1.187039582445834e-09,1.9327240853605394e-07
WBGene00164973,0.0,0.0327000575705239,-0.0327000575705239,1.1985518171303394e-09,1.937428833028892e-07
WBGene00022862,0.12728174603174602,0.3914302163006826,-0.26414847026893656,1.2163532178389771e-09,1.9521600322588556e-07
WBGene00018871,1.1214947089947092,8.933119499958877,-7.811624790964168,1.3247052417410694e-09,2.110978870686531e-07
WBGene00022708,0.0,0.032815198618307416,-0.032815198618307416,1.44426081097181e-09,2.285288462093352e-07
WBGene00010141,0.46167328042328043,1.3927625627107494,-0.931089282287469,1.5297593422421767e-09,2.4036477385202427e-07
WBGene00013999,0.004629629629629629,0.14375359815774325,-0.13912396852811362,1.625924069327988e-09,2.513697937758002e-07
WBGene00008691,0.5463955026455026,1.5738712065136937,-1.0274757038681912,1.6167993764976864e-09,2.513697937758002e-07
WBGene00009135,0.9306547619047619,2.0879430874249523,-1.1572883255201902,1.6333610704199933e-09,2.513697937758002e-07
WBGene00020471,0.010416666666666666,0.06113989637305698,-0.050723229706390316,1.6495186065923698e-09,2.5212948007839426e-07
WBGene00020450,0.35796957671957674,0.9605806398552513,-0.6026110631356746,1.6959339684653784e-09,2.574725698476256e-07
WBGene00007734,0.02361111111111111,0.21023110453162266,-0.18661999342051155,1.7409453786292389e-09,2.625322262578548e-07
WBGene00020012,0.07655423280423279,0.4067522000164487,-0.3301979672122159,1.7577486827804483e-09,2.6329903435595927e-07
WBGene00021983,0.9124669312169312,5.375721687638786,-4.463254756421855,1.8210189188013989e-09,2.70970027063236e-07
WBGene00000108,0.0,0.07587795048934945,-0.07587795048934945,1.8693422967700793e-09,2.763306056982034e-07
WBGene00001714,0.04523809523809524,0.2100008224360556,-0.16476272719796037,1.9144362796425312e-09,2.8114685468815706e-07
WBGene00044316,0.0,0.11672012501028044,-0.11672012501028044,1.9278406157468554e-09,2.8127695321568895e-07
