gene,mean_hub,mean_control,effect_size,pval,qval
WBGene00197461,0.10801687763713078,0.5082310587465227,-0.400214181109392,8.402554660385228e-08,1.9873368490967968e-05
WBGene00235157,0.0,0.01901489117983963,-0.01901489117983963,8.520192794745067e-08,1.9941688740117385e-05
WBGene00021011,0.9469760900140649,28.433390607101952,-27.486414517087887,8.804427224006494e-08,2.039450260785587e-05
WBGene00008392,0.0,0.032187857961053834,-0.032187857961053834,9.244216893497082e-08,2.0623131003389193e-05
WBGene00015300,0.025316455696202524,0.20172639502536407,-0.17640993932916155,9.169275123675747e-08,2.0623131003389193e-05
WBGene00018814,0.29085794655414904,0.8890770741286205,-0.5982191275744715,9.27026672901468e-08,2.0623131003389193e-05
WBGene00195186,0.20492264416315045,2.0032646048109966,-1.7983419606478461,9.242530270913083e-08,2.0623131003389193e-05
WBGene00001245,0.0,0.0427262313860252,-0.0427262313860252,9.671486270625332e-08,2.130476715830202e-05
WBGene00044011,0.01856540084388186,0.8361642938962527,-0.8175988930523709,1.0272385700797254e-07,2.2193291760693603e-05
WBGene00003651,0.5001406469760902,1.469153984617902,-0.9690133376418119,1.0204853087344057e-07,2.2193291760693603e-05
WBGene00016975,0.2860759493670886,1.6764604810996564,-1.3903845317325678,1.0562780900239197e-07,2.2603345147378526e-05
WBGene00007490,0.8917018284106891,5.541834396989036,-4.650132568578347,1.094460920079214e-07,2.319947397477345e-05
WBGene00011833,0.0,0.027491408934707907,-0.027491408934707907,1.1226635767876718e-07,2.357488589424505e-05
WBGene00020761,0.5293952180028128,1.1378415971199478,-0.6084463791171351,1.1645356473680456e-07,2.422737602669719e-05
WBGene00003603,1.6309423347398033,3.9410652920962197,-2.310122957356416,1.1753010756642458e-07,2.422737602669719e-05
WBGene00000993,0.5690576652601969,1.7490508918343972,-1.1799932265742004,1.1881975515734325e-07,2.427055526027587e-05
WBGene00015073,0.0,0.028947799050891832,-0.028947799050891832,1.2143167730160084e-07,2.458061583143846e-05
WBGene00019461,0.0,0.023105874652266406,-0.023105874652266406,1.2491761448363515e-07,2.4813026188987283e-05
