hub_def,hub,control
degree,AINR;RIH;ADER;ASIL;CEPVR;URYVR;PVNL;RMFL;AIBR;AVHR;CEPVL;ASKR;URBL;RIS;SMBDL;IL1R;RMDR;RMDVL;SMDVL;RICR;CEPDR;AWBR;DVA;SAAVL;OLLL;AVEL;AVER;OLLR;OLQVR;OLQDR;AVKL;HSNL;RMGR;ADFL;AVFL;PVCL;IL1L;OLQVL;URADR;AIML;ADLL;RIAL;IL2VL;OLQDL;PVR;AWBL;IL2R;GLRDL;RIGR;ASER;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AQR;RMED;SDQL;IL1VL;AIAL;RMEL, ADER          
degree,AINR;RIH;ADER;ASIL;CEPVR;URYVR;PVNL;RMFL;AIBR;AVHR;CEPVL;ASKR;URBL;RIS;SMBDL;IL1R;RMDR;RMDVL;SMDVL;RICR;CEPDR;AWBR;DVA;SAAVL;OLLL;AVEL;AVER;OLLR;OLQVR;OLQDR;AVKL;HSNL;RMGR;ADFL;AVFL;PVCL;IL1L;OLQVL;URADR;AIML;ADLL;RIAL;IL2VL;OLQDL;PVR;AWBL;IL2R;GLRDL;RIGR;ASER;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AQR;RMED;SDQL;IL1VL;AIAL;RMEL,RMEV 
degree,AINR;RIH;ADER;ASIL;CEPVR;URYVR;PVNL;RMFL;AIBR;AVHR;CEPVL;ASKR;URBL;RIS;SMBDL;IL1R;RMDR;RMDVL;SMDVL;RICR;CEPDR;AWBR;DVA;SAAVL;OLLL;AVEL;AVER;OLLR;OLQVR;OLQDR;AVKL;HSNL;RMGR;ADFL;AVFL;PVCL;IL1L;OLQVL;URADR;AIML;ADLL;RIAL;IL2VL;OLQDL;PVR;AWBL;IL2R;GLRDL;RIGR;ASER;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AQR;RMED;SDQL;IL1VL;AIAL;RMEL, AWBL          
degree,AINR;RIH;RIMR;ASIL;CEPVR;PVNL;CEPVL;IL2DL;IL2VR;CEPDL;OLLR;OLQDR;HSNL;HSNR;ADFL;URAVL;OLQVL;URADR;URADL;IL2VL;IL2R;RIBL;RIBR;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQL;RMER;IL1VL;RIPL;AIAL;RMEL;IL1DR, RIAR        
degree,AINR;RIH;RIMR;ASIL;CEPVR;PVNL;CEPVL;IL2DL;IL2VR;CEPDL;OLLR;OLQDR;HSNL;HSNR;ADFL;URAVL;OLQVL;URADR;URADL;IL2VL;IL2R;RIBL;RIBR;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQL;RMER;IL1VL;RIPL;AIAL;RMEL;IL1DR, HSNR        
degree,AINR;RIH;RIMR;ASIL;CEPVR;PVNL;CEPVL;IL2DL;IL2VR;CEPDL;OLLR;OLQDR;HSNL;HSNR;ADFL;URAVL;OLQVL;URADR;URADL;IL2VL;IL2R;RIBL;RIBR;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQL;RMER;IL1VL;RIPL;AIAL;RMEL;IL1DR, IL1DR       
degree,AIYL;AIZL;ASHL,PVT
degree,AIYL;AIZL;ASHL,RMED 
degree,AIYL;AIZL;ASHL, ASKL        
degree,AIYL;ASER;AIZL,AUAL
degree,AIYL;ASER;AIZL, RMHR        
degree,AIYL;ASER;AIZL, AIAL        
degree,AIYR;AFDR;RIML;AWCR;AWAR;RMEV;ASER;RIGL;RMDDL;RMDDR;AIZL;AIZR,RMDDL
degree,AIYR;AFDR;RIML;AWCR;AWAR;RMEV;ASER;RIGL;RMDDL;RMDDR;AIZL;AIZR,ADEL 
degree,AIYR;AFDR;RIML;AWCR;AWAR;RMEV;ASER;RIGL;RMDDL;RMDDR;AIZL;AIZR,AINR
degree,AIYR;AUAR;AWCR;ASGR;AWCL;RMDVR;ASHR;AVKR;HSNL;IL1L;RIBL;RIBR;RIGR;AIAR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RMER;ADEL;AIMR,AVKR
degree,AIYR;AUAR;AWCR;ASGR;AWCL;RMDVR;ASHR;AVKR;HSNL;IL1L;RIBL;RIBR;RIGR;AIAR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RMER;ADEL;AIMR, SAAVL         
