Neuron,TotalStrength,AvgRelatedness,StrengthImbalance
I5 ,157.0,7.833333333333333,157.0
I6 ,221.0,7.85,221.0
IL1DL,202.0,13.078125,94.0
IL1DL ,144.0,6.785714285714286,144.0
IL1DR,189.0,13.739285714285714,69.0
IL1DR ,302.0,7.357142857142857,302.0
IL1L,286.0,14.816976127320956,204.0
IL1L ,330.0,8.0,330.0
IL1R,291.0,14.928014184397163,193.0
IL1R ,304.0,7.3,304.0
IL1VL,182.0,14.928571428571427,82.0
IL1VL ,267.0,8.5,267.0
IL1VR,159.0,15.311974789915965,53.0
IL1VR ,306.0,7.9,306.0
IL2DL,149.0,10.817073170731707,143.0
IL2DL ,177.0,7.5,177.0
IL2DR,139.0,13.470588235294118,135.0
IL2DR ,236.0,7.0,236.0
IL2L,136.0,15.210526315789473,60.0
IL2L ,268.0,8.05,268.0
IL2R,157.0,14.927826086956522,65.0
IL2R ,201.0,6.666666666666667,201.0
IL2VL,123.0,15.38888888888889,115.0
IL2VL ,215.0,7.75,215.0
IL2VR,143.0,16.041666666666668,135.0
IL2VR ,306.0,7.875,306.0
LUAL ,262.0,8.833333333333334,262.0
LUAR ,326.0,6.615384615384615,326.0
M1 ,75.0,6.928571428571429,75.0
M2L ,120.0,7.3076923076923075,120.0
M2R ,118.0,7.038461538461538,118.0
M3L ,81.0,7.5,81.0
M3R ,36.0,8.0,36.0
M4 ,471.0,7.194444444444445,471.0
M5 ,54.0,7.5,54.0
MCL ,43.0,6.833333333333333,43.0
MCR ,93.0,8.285714285714286,93.0
MI ,105.0,7.40625,105.0
NSML ,323.0,8.590909090909092,323.0
NSMR ,231.0,7.566666666666666,231.0
OLLL,370.0,16.894984326018808,228.0
OLLL ,386.0,8.36111111111111,386.0
OLLR,356.0,16.669642857142858,184.0
OLLR ,372.0,7.571428571428571,372.0
OLQDL,131.0,15.293233082706767,3.0
OLQDL ,122.0,8.038461538461538,122.0
OLQDR,124.0,15.132936507936508,8.0
OLQDR ,137.0,7.2,137.0
OLQVL,129.0,15.41989247311828,15.0
OLQVL ,117.0,7.785714285714286,117.0
OLQVR,134.0,13.861184792219275,4.0
OLQVR ,240.0,7.636363636363637,240.0
PDA ,297.0,7.642857142857143,297.0
PDB ,222.0,8.214285714285714,222.0
PDEL ,197.0,7.2272727272727275,197.0
PDER ,244.0,8.192307692307692,244.0
PHAL ,186.0,6.7368421052631575,186.0
PHAR ,218.0,7.095238095238095,218.0
PHBL ,447.0,7.318181818181818,447.0
PHBR ,469.0,6.884615384615385,469.0
PHCL ,139.0,7.777777777777778,139.0
PHCR ,264.0,8.0,264.0
PLML ,96.0,8.3,96.0
PLMR ,84.0,7.8,84.0
PLNL,40.0,19.633333333333333,26.0
PLNL ,123.0,7.142857142857143,123.0
PLNR,44.0,18.45,30.0
PLNR ,131.0,7.333333333333333,131.0
PQR ,347.0,7.795454545454546,347.0
PVCL,185.0,16.156462585034014,29.0
PVCL ,801.0,8.484848484848484,801.0
PVCR,182.0,15.772222222222222,36.0
PVCR ,985.0,6.852941176470588,985.0
PVDL ,282.0,7.285714285714286,282.0
PVDR ,284.0,7.5,284.0
PVM ,134.0,7.3125,134.0
PVNL,71.0,18.548684210526314,1.0
PVNL ,313.0,7.484848484848484,313.0
PVNR,63.0,18.36904761904762,1.0
PVNR ,313.0,7.351063829787234,313.0
PVPL,115.0,14.926388888888889,51.0
PVPL ,870.0,7.555555555555555,870.0
PVPR,100.0,13.506410256410255,48.0
