hub_def,PC,n_hubs,n_controls,mean_hub,mean_control,effect_size,t_stat,pval,qval
betweenness,PC17,20,27,229.83634156082735,114.61709671934642,115.21924484148093,0.23200246112630246,0.8177185250868346,0.9864106750298767
betweenness,PC18,20,27,46.59904112527887,-17.588626322025807,64.18766744730468,0.14566982702739417,0.8848929480771823,0.9864106750298767
betweenness,PC19,20,27,-265.78576647728005,-239.98122396258134,-25.80454251469871,-0.09382740131191389,0.9256638816912013,0.9864106750298767
betweenness,PC20,20,27,442.498264842007,138.00786400392226,304.4904008380847,0.5194055371112992,0.6060374818994443,0.9182386089385519
betweenness,PC21,20,27,7.307739000575182,2.8624351018156378,4.445303898759544,0.017184701609757103,0.9864106750298767,0.9864106750298767
betweenness,PC22,20,27,-118.35493539423427,111.02150683692038,-229.37644223115467,-0.7890290797354075,0.43427797832333415,0.9182386089385519
betweenness,PC23,20,27,-25.759258729476244,-39.734853216639074,13.97559448716283,0.0335517160929891,0.9735090932904114,0.9864106750298767
betweenness,PC24,20,27,244.57862377506999,-18.048203479372805,262.6268272544428,0.43704050257508736,0.6643396498925589,0.9490566427036555
betweenness,PC25,20,27,21.118263474718578,291.3989221532594,-270.2806586785408,-0.5582352335855001,0.5808252904892557,0.9182386089385519
betweenness,PC26,20,27,706.9928921438999,-4.525058677793059,711.5179508216929,0.9842509153126815,0.33668589393092563,0.9182386089385519
betweenness,PC27,20,27,-47.5569714285351,-24.015259944073552,-23.541711484461548,-0.06852519487990581,0.9457475445627908,0.9864106750298767
betweenness,PC28,20,27,168.8553982113468,-90.08201344870965,258.93741166005645,0.5729161442735362,0.5696007591038271,0.9182386089385519
betweenness,PC29,20,27,-244.0574803989103,518.2964302595631,-762.3539106584733,-1.4558415285326007,0.15485654316186462,0.9182386089385519
betweenness,PC30,20,27,386.928901369096,-191.52540653748244,578.4543079065785,1.2060042900438956,0.23542025519449045,0.9182386089385519
betweenness,PC31,20,27,-30.34364640258458,-228.72641579986677,198.3827693972822,1.1597603760472532,0.2522636290143279,0.9182386089385519
betweenness,PC32,20,27,33.01129162159848,-230.3758266014657,263.3871182230642,1.1106001249266484,0.2727297957223119,0.9182386089385519
betweenness,PC33,20,27,310.933190487746,210.9366107794512,99.9965797082948,0.19775954044088564,0.8442914863143117,0.9864106750298767
betweenness,PC34,20,27,251.15034207070545,188.73214040972667,62.41820166097878,0.17817922557287152,0.8594578441249907,0.9864106750298767
betweenness,PC35,20,27,-12.940823390112715,-75.79240214652636,62.851578756413645,0.8552548840599079,0.3975522195412132,0.9182386089385519
betweenness,PC36,20,27,-257.1215431167192,-128.9143531770283,-128.2071899396909,-0.6741144318726126,0.5038877625500185,0.9182386089385519
betweenness,PC37,20,27,237.23140288332314,-143.24071989842753,380.47212278175067,1.1970905151507907,0.24138467717078854,0.9182386089385519
betweenness,PC38,20,27,3.602591208715245,179.38519521960413,-175.7826040108889,-0.9508867169401892,0.3468158115572074,0.9182386089385519
betweenness,PC39,20,27,-110.91641962173942,34.04254445127505,-144.95896407301447,-0.7324037524720249,0.4680176721032444,0.9182386089385519
betweenness,PC40,20,27,216.1017279984168,29.43134971475648,186.67037828366034,1.14214494103954,0.2599994077427223,0.9182386089385519
betweenness,PC41,20,27,-13.052652856253895,15.043919207662034,-28.09657206391593,-0.30539496956544865,0.7617182410109056,0.9864106750298767
betweenness,PC42,20,27,-30.89123218151907,20.876075730798423,-51.76730791231749,-0.5928186570856324,0.5565983709703932,0.9182386089385519
betweenness,PC43,20,27,-156.03198166519783,105.85413499921873,-261.8861166644166,-1.8449153945086834,0.0726097231578132,0.9182386089385519
betweenness,PC44,20,27,-75.93550929711685,-33.89725505412263,-42.03825424299422,-0.5409863166012868,0.5915372449310043,0.9182386089385519
betweenness,PC45,20,27,-2.171985624982831,-17.814596569875313,15.642610944892482,0.10814513889141766,0.91437611695808,0.9864106750298767
betweenness,PC46,20,27,164.76254153166764,-112.08239885466749,276.8449403863351,2.3588103755025633,0.022901088898431402,0.9182386089385519
betweenness,PC47,20,27,76.54583636155934,-90.19812990627246,166.7439662678318,1.4269249788969982,0.16064590689782327,0.9182386089385519
betweenness,PC48,20,27,40.3258772088535,-54.24481195423965,94.57068916309315,1.3650384136150757,0.17982320377248975,0.9182386089385519
betweenness,PC49,20,27,-114.01666099236184,-150.5278450280456,36.511184035683755,0.3464697316184206,0.7306053693802494,0.9864106750298767
betweenness,PC50,20,27,130.5949943124132,58.9613790847868,71.63361522762641,0.6719347518847039,0.5052105741321959,0.9182386089385519
cycle,PC1,20,32,17764.527233614448,9513.165646969228,8251.36158664522,0.3147453147132415,0.7549015588208017,0.8862548594675778
cycle,PC2,20,32,-2475.181569665334,-1306.0093058968469,-1169.172263768487,-0.652600677541955,0.5170159747682656,0.8862548594675778
cycle,PC3,20,32,-1870.9550334415628,-508.7852233053013,-1362.1698101362615,-0.665712928608859,0.5086750757333024,0.8862548594675778
cycle,PC4,20,32,-731.4317209847029,-1105.1585544480317,373.72683346332883,1.4216732800576908,0.16292233296743452,0.8862548594675778
cycle,PC5,20,32,-1106.6134493842526,-1509.678045768105,403.0645963838524,0.8794921605331585,0.3837840919014195,0.8862548594675778
cycle,PC6,20,32,-910.4861851274279,412.3453513114091,-1322.831536438837,-0.9444757724231686,0.3500289475013696,0.8862548594675778
cycle,PC7,20,32,-579.0692047936507,-72.61648580170313,-506.45271899194756,-0.9316367696437415,0.3567275153419758,0.8862548594675778
cycle,PC8,20,32,-393.8781427127844,-73.79985964652946,-320.0782830662549,-0.31843736743121676,0.7517473397858949,0.8862548594675778
cycle,PC9,20,32,-226.37626917435622,1159.3002231676783,-1385.6764923420344,-0.9767857457764675,0.3360385924699063,0.8862548594675778
cycle,PC10,20,32,-470.04685809167967,-575.5685294414427,105.52167134976304,0.6519855048728491,0.5177698380219026,0.8862548594675778
cycle,PC11,20,32,-522.4347120374075,-584.3291651558804,61.89445311847294,0.3755227050403778,0.7096414016006825,0.8862548594675778
cycle,PC12,20,32,-202.007670401792,-286.8174280367403,84.80975763494828,0.26546046579803984,0.7922881464668338,0.8862548594675778
cycle,PC13,20,32,-450.2653695404889,-395.15382353914373,-55.111546001345175,-0.3513852225780143,0.7271053409126411,0.8862548594675778
cycle,PC14,20,32,-224.00889857678249,-207.34191555793967,-16.666983018842814,-0.08406358166184956,0.933393216351426,0.9333932163514259
cycle,PC15,20,32,243.110959756765,-463.6363777543671,706.7473375111322,1.678210835527706,0.10596823524523653,0.8830686270436378
cycle,PC16,20,32,549.9938496697717,22.514235217239495,527.4796144525322,0.8437940224106131,0.4049215095069194,0.8862548594675778
cycle,PC17,20,32,229.83634156082735,126.81913124658088,103.01721031424647,0.21790049889612978,0.8286839202789655,0.8862548594675778
cycle,PC18,20,32,46.59904112527887,168.45282859741943,-121.85378747214055,-0.2792035087089005,0.7814430420469891,0.8862548594675778
cycle,PC19,20,32,-265.78576647728005,161.88071318461937,-427.6664796618994,-1.6612149939779413,0.10307012281864189,0.8830686270436378
cycle,PC20,20,32,442.498264842007,341.4358439084719,101.06242093353512,0.21467064396364507,0.8313032414037106,0.8862548594675778
cycle,PC21,20,32,7.307739000575182,-49.25214024284715,56.55987924342233,0.21253965513037978,0.8330795678995231,0.8862548594675778
cycle,PC22,20,32,-118.35493539423427,-239.68512270974628,121.330187315512,0.38820050730338057,0.6995219752516137,0.8862548594675778
cycle,PC23,20,32,-25.759258729476244,463.6657238113261,-489.4249825408023,-0.670752595719799,0.505579265745693,0.8862548594675778
cycle,PC24,20,32,244.57862377506999,452.7189065908018,-208.1402828157318,-0.37256741015234573,0.7115325345115078,0.8862548594675778
cycle,PC25,20,32,21.118263474718578,-261.62227344080816,282.7405369155267,0.5593254498650543,0.5795683121551114,0.8862548594675778
cycle,PC26,20,32,706.9928921438999,-293.88318134976504,1000.876073493665,1.3410209607949632,0.19315942058065413,0.8862548594675778
