cycle_id,size,label,a,b,c,d,N,n,K,coverage,jaccard,overlap,odds_ratio,risk_ratio,phi,exp,var,z,fisher_p,hypergeom_p,chi2,chi2_p,cov_ci_low,cov_ci_high,qval,reject_0.05
143,88,NPR10,30,6,58,85,179,36,88,0.8333333333333334,0.3191489361702128,0.8333333333333334,6.8579881656804735,2.029106029106029,0.3429541111253837,17.69832402234637,7.2283061484776,4.575578540045921,2.9167729408447594e-06,2.9167729408447594e-06,19.3768806162272,1.0729819366221392e-05,0.6810920568872054,0.9212955240498188,0.00011718975586374196,True
296,70,NPR10,26,10,44,99,179,36,70,0.7222222222222222,0.325,0.7222222222222222,5.643124665596575,2.317643486182812,0.34049667631298314,14.078212290502794,6.8871098792312795,4.542792270319383,7.270589890561541e-06,7.270589890561541e-06,19.048649229211158,1.2742793979642318e-05,0.5600751000260289,0.841516620598654,0.00025325888118789367,True
226,117,NPR10,34,2,83,60,179,36,117,0.9444444444444444,0.2857142857142857,0.9444444444444444,9.99880239520958,1.6080271888655122,0.30666311429924453,23.53072625698324,6.547718881250813,4.0913962518392974,8.94672016572508e-06,8.94672016572508e-06,15.264059353208443,9.347833128592534e-05,0.8185534279135275,0.9846300133358382,0.0002876714637902372,True
53,77,NPR10,27,9,50,93,179,36,77,0.75,0.313953488372093,0.75,5.359562272016675,2.1193470698421195,0.3241255555788542,15.486033519553073,7.089300261006877,4.324374277131382,1.5458703688913444e-05,1.5458703688913444e-05,17.207475450623843,3.351150818902567e-05,0.5892954623327166,0.8624952233700517,0.00046155272442613,True
235,108,NPR10,32,4,76,67,179,36,108,0.8888888888888888,0.2857142857142857,0.8888888888888888,6.372549019607843,1.6534181240063592,0.292858276236174,21.720670391061454,6.9214100332824975,3.9072167399421445,3.830163298139168e-05,3.830163298139168e-05,13.894938175087823,0.00019331840727117376,0.7468519140963513,0.9559335969968435,0.0010673388390814481,True
198,75,NPR10,26,10,49,94,179,36,75,0.7222222222222222,0.3058823529411765,0.7222222222222222,4.818181818181818,2.0835380835380835,0.3083599658636105,15.083798882681565,7.040557936828831,4.114035075377755,4.158550645905839e-05,4.158550645905839e-05,15.49689410749507,8.264093126607563e-05,0.5600751000260289,0.841516620598654,0.0010864213562429004,True
215,34,NPR10,16,20,18,125,179,36,34,0.4444444444444444,0.2962962962962963,0.47058823529411764,5.460118655240606,3.471146822498174,0.3255375714678493,6.837988826815643,4.449993670328992,4.3432129187755635,5.9445533682858774e-05,5.9445533682858774e-05,16.955520044807567,3.826589356419623e-05,0.2954126874008022,0.6041893824430271,0.0014616607693785275,True
357,117,NPR10,33,3,84,59,179,36,117,0.9166666666666666,0.275,0.9166666666666666,6.739644970414201,1.542939389093235,0.2773713867327745,23.53072625698324,6.547718881250813,3.700595862789546,7.596992806954478e-05,7.596992806954478e-05,12.355421373230513,0.00043970773515816726,0.7817330875072737,0.9712513886640066,0.0017641905518372063,True
193,68,NPR10,24,12,44,99,179,36,68,0.6666666666666666,0.3,0.6666666666666666,4.3824719101123595,2.1427269966595808,0.29646044216918166,13.675977653631286,6.813093757331284,3.955275627723574,9.567266572530377e-05,9.567266572530377e-05,14.245160492403139,0.0001604729230970242,0.5033399787115652,0.7978538117569468,0.0021047986459566833,True
219,83,NPR10,27,9,56,87,179,36,83,0.75,0.29347826086956524,0.75,4.482999534233815,1.8942836641951686,0.2880729225737738,16.692737430167597,7.192200723160529,3.8433721589503653,0.0001056730584225005,0.0001056730584225005,13.448282854368134,0.000245230531829181,0.5892954623327166,0.8624952233700517,0.0022085669210302602,True
391,127,NPR10,34,2,93,50,179,36,127,0.9444444444444444,0.26356589147286824,0.9444444444444444,7.453475935828877,1.4360456713397889,0.2596588167760638,25.54189944134078,5.96100571984841,3.4642807047147746,0.00016669735147946632,0.00016669735147946632,10.683962015380473,0.0010806835494189,0.8185534279135275,0.9846300133358382,0.0030554742611495736,True
412,101,NPR10,30,6,71,72,179,36,101,0.8333333333333334,0.2803738317757009,0.8333333333333334,4.757934373318989,1.66017766017766,0.2722838205561452,20.312849162011172,7.11096351619712,3.6327192639569454,0.00016812418183358898,0.00016812418183358898,11.936205078841219,0.0005505350583559,0.6810920568872054,0.9212955240498188,0.0030554742611495736,True
73,95,NPR10,29,7,66,77,179,36,95,0.8055555555555556,0.28431372549019607,0.8055555555555556,4.583959899749374,1.7264783580573053,0.27631079117786467,19.106145251396647,7.203032350755651,3.686445753188033,0.0001540098012825654,0.0001540098012825654,12.31984786047286,0.00044816722775719155,0.6497195700482261,0.9024690458107127,0.0030554742611495736,True
130,145,NPR10,36,0,109,34,179,36,145,1.0,0.2482758620689655,1.0,23.0,1.2972972972972974,0.2429621874857607,29.162011173184357,4.449993670328992,3.2415198857202987,0.00019249239733807783,0.00019249239733807783,9.077715631506202,0.0025874305591971924,0.9035813714055363,1.0,0.0033525759203048553,True
20,128,NPR10,34,2,94,49,179,36,128,0.9444444444444444,0.26153846153846155,0.9444444444444444,7.228571428571429,1.420849420849421,0.2549559149874296,25.743016759776538,5.892405411745976,3.401536168924237,0.00021895965195131332,0.00021895965195131332,10.26895179494559,0.0013528764403474153,0.8185534279135275,0.9846300133358382,0.0035982657129771966,True
200,121,NPR10,33,3,88,55,179,36,121,0.9166666666666666,0.2661290322580645,0.9166666666666666,6.0024213075060535,1.4732020155748968,0.2580392950524675,24.335195530726256,6.3346968718800944,3.4426735899339973,0.00022934434529715578,0.00022934434529715578,10.58275564106107,0.001141473871837328,0.7817330875072737,0.9712513886640066,0.0035982657129771966,True
399,91,NPR10,28,8,63,80,179,36,91,0.7777777777777778,0.2828282828282828,0.7777777777777778,4.250578971746179,1.7467546286443925,0.27037617480184656,18.30167597765363,7.2283061484776,3.607268095149737,0.00023242386184302465,0.00023242386184302465,11.771014599959095,0.0006016017819929707,0.6191529705388181,0.8828366802420353,0.0035982657129771966,True
