cycle_id,size,label,a,b,c,d,N,n,K,coverage,jaccard,overlap,odds_ratio,risk_ratio,phi,exp,var,z,fisher_p,hypergeom_p,chi2,chi2_p,cov_ci_low,cov_ci_high,qval,reject_0.05
41,4,Basal,1,35,3,140,179,36,4,0.027777777777777776,0.02564102564102564,0.25,1.6961770623742454,1.667953667953668,0.01843740328619624,0.8044692737430168,0.6318449430487413,0.24598564085924912,0.5961569969646644,0.5961569969646644,0.0,1.0,0.004920407139810443,0.14169718653273855,0.9711104439259199,False
318,56,Basal,11,25,45,98,179,36,56,0.3055555555555556,0.13580246913580246,0.3055555555555556,0.9762982115923292,0.9836649836649837,-0.007892816746827158,11.262569832402235,6.217354239599614,-0.10530330955587862,0.6149454095934404,0.6149454095934404,0.0,1.0,0.1800445159482992,0.4685627285051034,0.9963069039149537,False
112,114,Basal,22,14,92,51,179,36,114,0.6111111111111112,0.171875,0.6111111111111112,0.863932898415657,0.9466764061358656,-0.026876933386837113,22.92737430167598,6.6885300399873895,-0.3585830163210824,0.712353436566312,0.712353436566312,0.027461177486481136,0.8683819147412187,0.44864459096605147,0.75215126934629,1.0,False
118,112,Basal,22,14,90,53,179,36,112,0.6111111111111112,0.1746031746031746,0.6111111111111112,0.9173175843017718,0.9675974316858295,-0.015123843399691772,22.52513966480447,6.773377789482506,-0.2017772379971424,0.6564152785646874,0.6564152785646874,9.383107564077879e-05,0.9922712970213586,0.44864459096605147,0.75215126934629,1.0,False
152,112,Basal,21,15,91,52,179,36,112,0.5833333333333334,0.16535433070866143,0.5833333333333334,0.7958751983077736,0.9144882587505538,-0.04392350263953036,22.52513966480447,6.773377789482506,-0.5860126167363808,0.7833932117800255,0.7833932117800255,0.15602486107383504,0.6928430177552612,0.4220025157487166,0.7285943794855394,1.0,False
260,101,Basal,20,16,81,62,179,36,101,0.5555555555555556,0.17094017094017094,0.5555555555555556,0.9527793270124558,0.9789421323163655,-0.008793479787280352,20.312849162011172,7.11096351619712,-0.11731965327657924,0.6215897268947619,0.6215897268947619,0.0,1.0,0.395810617556973,0.7045873125991978,1.0,False
101,96,Basal,18,18,78,65,179,36,96,0.5,0.15789473684210525,0.5,0.8343949044585988,0.9171974522292995,-0.036536077984966435,19.307262569832403,7.192200723160529,-0.4874520786961442,0.7506970038544843,0.7506970038544843,0.09111730405499252,0.7627615114643902,0.34474325409626827,0.6552567459037317,1.0,False
138,104,Basal,18,18,86,57,179,36,104,0.5,0.14754098360655737,0.5,0.6647398843930635,0.8323699421965318,-0.08237661319386114,20.916201117318437,7.040557936828831,-1.0990410999729727,0.9011936638808009,0.9011936638808009,0.8338580267666807,0.36115930747190184,0.34474325409626827,0.6552567459037317,1.0,False
25,92,Basal,17,19,75,68,179,36,92,0.4722222222222222,0.15315315315315314,0.4722222222222222,0.8142299201901851,0.9020941471272597,-0.04190631478259523,18.502793296089386,7.224695605945893,-0.5590999739949173,0.7725067251339861,0.7725067251339861,0.1399704370328432,0.7083104036446045,0.31986041515179053,0.629940619770124,1.0,False
257,89,Basal,17,19,72,71,179,36,89,0.4722222222222222,0.1574074074074074,0.4722222222222222,0.8850574712643678,0.9394221808014912,-0.025072079076303187,17.899441340782122,7.230111419743453,-0.3345032564252477,0.6988675126575417,0.6988675126575417,0.022191878207795633,0.8815777891689554,0.31986041515179053,0.629940619770124,1.0,False
2,86,Basal,16,20,70,73,179,36,86,0.4444444444444444,0.1509433962264151,0.4444444444444444,0.8391281785158277,0.9108683151236343,-0.03615580337158432,17.29608938547486,7.219279792148332,-0.48237858255228455,0.7482230794819775,0.7482230794819775,0.08828010105673274,0.7663751440806763,0.2954126874008022,0.6041893824430271,1.0,False
104,77,Basal,15,21,62,81,179,36,77,0.4166666666666667,0.15306122448979592,0.4166666666666667,0.940093023255814,0.9651891891891892,-0.01368215591235338,15.486033519553073,7.089300261006877,-0.182542727855619,0.6429057633219459,0.6429057633219459,0.0,1.0,0.2714056205144606,0.5779974842512834,1.0,False
5,61,Basal,10,26,51,92,179,36,61,0.2777777777777778,0.11494252873563218,0.2777777777777778,0.7116688038102217,0.7934925216478614,-0.06669616199131219,12.268156424581006,6.497171285806914,-0.8898377876546386,0.8625471081966105,0.8625471081966105,0.48389382394488,0.4866638482028337,0.1584833794013461,0.43992489997397105,1.0,False
6,53,Basal,10,26,43,100,179,36,53,0.2777777777777778,0.12658227848101267,0.2777777777777778,0.9154196486662329,0.9394221808014912,-0.020125168759566565,10.659217877094973,6.027800756684992,-0.26850324082398735,0.6770488228119077,0.6770488228119077,0.0042291958565543715,0.9481483086265189,0.1584833794013461,0.43992489997397105,1.0,False
18,64,Basal,10,26,54,89,179,36,64,0.2777777777777778,0.1111111111111111,0.2777777777777778,0.6506837458888697,0.749814034217704,-0.08350355069263678,12.871508379888269,6.643398258341051,-1.114076321502904,0.9068852945827268,0.9068852945827268,0.8513184929879907,0.3561796099317073,0.1584833794013461,0.43992489997397105,1.0,False
52,56,Basal,10,26,46,97,179,36,56,0.2777777777777778,0.12195121951219512,0.2777777777777778,0.8307973219720024,0.8788142981691368,-0.03795269329325399,11.262569832402235,6.217354239599614,-0.5063520842474155,0.758166993884081,0.758166993884081,0.09405603288987449,0.7590827217038172,0.1584833794013461,0.43992489997397105,1.0,False
81,52,Basal,9,27,43,100,179,36,52,0.25,0.11392405063291139,0.25,0.7981191222570533,0.8499534016775396,-0.044762847541976646,10.458100558659218,5.96100571984841,-0.5972108744587559,0.7873774865934648,0.7873774865934648,0.1548587241633123,0.6939347667541835,0.13750477662994837,0.4107045376672835,1.0,False
126,50,Basal,9,27,41,102,179,36,50,0.25,0.11688311688311688,0.25,0.8532311062431545,0.8909150113969392,-0.03279915670312033,10.05586592178771,5.821999832377688,-0.4375953303196691,0.7372133722283224,0.7372133722283224,0.053370459213482505,0.8172988965910707,0.13750477662994837,0.4107045376672835,1.0,False
239,55,Basal,9,27,46,97,179,36,55,0.25,0.10975609756097561,0.25,0.7243401759530792,0.7951176983435047,-0.06227516827335897,11.061452513966481,6.1559750165605935,-0.830854374640094,0.8500485658165688,0.8500485658165688,0.3982848092360557,0.5279763847273304,0.13750477662994837,0.4107045376672835,1.0,False
40,46,Basal,8,28,38,105,179,36,46,0.2222222222222222,0.10810810810810811,0.2222222222222222,0.8172704488493963,0.8592488592488593,-0.03991388602884703,9.251396648044693,5.522324802245999,-0.5325176588907027,0.7694723722566055,0.7694723722566055,0.10281336861714427,0.7484792513246576,0.11716331975796462,0.3808470294611818,1.0,False
300,63,Basal,8,28,55,88,179,36,63,0.2222222222222222,0.08791208791208792,0.2222222222222222,0.47558084400189665,0.5960555149744339,-0.13629745261188794,12.670391061452515,6.5964612054288585,-1.8184348255439875,0.9807728140141233,0.9807728140141233,2.6514019917396356,0.10345861467765861,0.11716331975796462,0.3808470294611818,1.0,False
334,50,Basal,8,28,42,101,179,36,50,0.2222222222222222,0.10256410256410256,0.2222222222222222,0.712280701754386,0.7783783783783784,-0.06386290828967345,10.05586592178771,5.821999832377688,-0.8520374685589323,0.8565983820328442,0.8565983820328442,0.4181240776880312,0.517874580262842,0.11716331975796462,0.3808470294611818,1.0,False
