Unnamed: 0	pearson_r_strict	spearman_r_strict	abs_pearson_strict	abs_spearman_strict	rank_p_strict	rank_s_strict	rank_product_strict	gold_strict	gold_umbrella	gold_union	variance_var_bulk	variance_var_aggr	dynamic_range_dyn_bulk	meta_rank_product	meta_score_mean	tier
WBGene00000012	0.0518234884595188	0.210013501192376	0.0518234884595188	0.210013501192376	15206.0	6798.0	10167.122896867137	True	True	True	33478514.859735776		15205.94817651154	9149.088269650829	3353504.1542752786	High
WBGene00000013	-0.2736251777117969	-0.2877353860961588	0.2736251777117969	0.2877353860961588	4655.0	4409.0	4530.3305618906	True	True	True	5340264.961363855		4847.287735386096	3894.435581792943	536260.1015242924	Low
WBGene00000014	0.9474211041690548	0.2932157169004628	0.9474211041690548	0.2932157169004628	1242.0	4293.0	2309.0920293483323	True	True	True	2624600.3117139046		4802.726548705187	6611.388003803722	264386.09995694045	Very Low
WBGene00000016	-0.1421889655021055	-0.0451156159596519	0.1421889655021055	0.0451156159596519	8978.0	15045.0	11622.13448554094	True	True	True	37151535.02202047		15045.142188965505	7648.105827075531	3720987.3404522054	High
WBGene00000017	-0.1946411816480532	-0.1386750490563073	0.1946411816480532	0.1386750490563073	6257.0	9900.5	7870.668872465669	True	True	True	15398472.239588045		9900.69864556431	6149.41174620907	1543855.0518852284	Low
WBGene00000018	0.1406990119853464	-0.015440141374699	0.1406990119853464	0.015440141374699	9089.0	16805.0	12358.828625723394	True	True	True	43194391.246283285		16805.04159248578	8330.7778860777	4325778.017578559	High
WBGene00000019	0.0171615143604807	0.2954279976210544	0.0171615143604807	0.2954279976210544	16974.0	4217.0	8460.458498213911	True	True	True	37881477.75815903		17615.006436773096	8244.893371944348	3793698.9741644985	High
WBGene00000020	0.3287342590741953	0.3849198665546613	0.3287342590741953	0.3849198665546613	4176.0	2255.0	3068.693533085375	True	True	True	2809108.39466556		4282.671265740926	6900.685300374453	282979.2872073012	Very Low
WBGene00000022	-0.0301782103591692	0.0658244232853938	0.0301782103591692	0.0658244232853938	16336.0	13954.0	15098.09736357532	True	True	True	48191710.47113708		16336.03017821036	8240.088281925982	4826167.481860964	Very High
WBGene00000023	0.0691501009483397	-0.154293510927069	0.0691501009483397	0.154293510927069	14094.0	9060.0	11300.07256613868	True	True	True	34856788.659522645		15265.19112543725	7785.592691145855	3491429.3654205566	High
WBGene00000025								False	True	True	3238258.216969965		3808.689481207841	9001.752349455473	1083689.5529335428	Low
WBGene00000028	0.2171111860600725	0.0442441904451784	0.2171111860600725	0.0442441904451784	5612.0	15114.0	9209.764817844156	True	True	True	32839461.14001664		16102.970428635974	8753.527795233505	3289425.3925769106	High
WBGene00000030	0.0268658978372274	0.2613646863526096	0.0268658978372274	0.2613646863526096	16488.0	5126.0	9193.339328013515	True	True	True	36501509.38487826		16783.975515511087	8786.021904925781	3655788.729808788	High
WBGene00000031	-0.1639612831453802	-0.1390448491871241	0.1639612831453802	0.1390448491871241	7623.0	9884.5	8680.411482182166	True	True	True	18031988.55351851		9884.671249945452	6604.411822684113	1807466.554807332	Low
WBGene00000033	-0.1541329608463876	-0.2266666666666666	0.1541329608463876	0.2266666666666666	8208.0	6233.0	7152.65433248385	True	True	True	12865203.495097471		8208.226666666667	5980.915207513142	1290098.6291304133	Low
WBGene00000034	0.0091885311127781	-0.0964189583998088	0.0091885311127781	0.0964189583998088	17353.0	12109.0	14495.774453267408	True	True	True	53204174.98105516		17587.13115679384	6786.608651582327	5327250.651369387	Very High
WBGene00000035	0.2384447091043738	-0.1437561184872091	0.2384447091043738	0.1437561184872091	5147.0	9671.0	7055.255984016455	True	True	True	13946045.921820624		9671.16595609086	7449.498823468833	1398504.0319473618	Low
WBGene00000036	0.936505663110482	0.4347924750600696	0.936505663110482	0.4347924750600696	1311.0	1645.0	1468.5349842615258	True	True	True	489021.1902517021		1644.56520752494	4374.770554791639	49946.78035945565	Very Low
WBGene00000037	0.8841761473417588	0.5720307218742879	0.8841761473417588	0.5720307218742879	1608.0	608.0	988.768931550744	True	True	True	395382.6886643282		1860.4279692781256	3999.670147839908	40445.04681267354	Very Low
WBGene00000038	0.9909525191059058	0.5947420306489265	0.9909525191059058	0.5947420306489265	737.0	518.0	617.872155061223	True	True	True	97605.4531566831		793.405257969351	2076.0859870346035	10235.09879458478	Very Low
WBGene00000039	-0.1757774674060229	-0.1616555463464772	0.1757774674060229	0.1616555463464772	7028.0	8781.0	7855.753814879893	True	True	True	14441521.665073276		8781.189941139584	6134.579095425748	1448010.218792472	Low
WBGene00000040	-0.1788228181628259	0.202572347379335	0.1788228181628259	0.202572347379335	6889.0	7035.0	6961.617268997197	True	True	True	13937718.216636743		8945.184897852456	7237.128012214571	1397478.6551960502	Low
WBGene00000041	-0.1303733694725257	0.0923866890635346	0.1303733694725257	0.0923866890635346	9739.0	12439.5	11006.738413353884	True	True	True	32842286.090449046		13913.140271417487	8204.48064457122	3289758.9134551766	High
WBGene00000042	0.3819482185834082	0.5182021113209787	0.3819482185834082	0.5182021113209787	3839.0	900.0	1858.7899289591603	True	True	True	1921235.4228513343		4018.626502159885	6144.096577101756	193799.77361602153	Very Low
WBGene00000043	0.9957652890996026	0.3276692009031505	0.9957652890996026	0.3276692009031505	579.0	3519.0	1427.410592646699	True	True	True	1623843.9078678745		3903.6942976413006	5678.482064332386	163895.4141691475	Very Low
WBGene00000044	0.834146466081598	0.6032680567164004	0.834146466081598	0.6032680567164004	1846.0	479.0	940.3371735712676	True	True	True	448861.58777939406		1906.4281129475096	4080.486471969586	45811.671436692806	Very Low
WBGene00000045	0.9931803857509393	0.1280218104714347	0.9931803857509393	0.1280218104714347	678.0	10394.0	2654.643478887513	True	True	True	13237941.800895328		11186.887732978776	7286.207929219371	1327014.3782440806	Low
WBGene00000046	-0.0739874854131381	0.0762507503080001	0.0739874854131381	0.0762507503080001	13774.0	13269.0	13519.142206515917	True	True	True	51219480.77304942		16361.078550333516	7912.56370530314	5128431.671001307	Very High
WBGene00000047	0.9624194169177752	0.182976900711851	0.9624194169177752	0.182976900711851	1116.0	7848.0	2959.4540036973035	True	True	True	9174371.87415863		9817.86057314053	7504.742837332894	920362.0222365435	Low
WBGene00000048	0.8304955022688337	0.3990225858938943	0.8304955022688337	0.3990225858938943	1862.0	2064.0	1960.3999591920008	True	True	True	1074200.5677067558		2395.6261552332894	5552.076113815822	108803.71289711732	Very Low
WBGene00000049	0.522143063361038	0.3655580759455505	0.522143063361038	0.3655580759455505	3210.0	2565.0	2869.433742047375	True	True	True	2567051.61912702		3601.679524181467	6794.957110434842	258609.4464905962	Very Low
WBGene00000050	-0.2001862355175988	-0.1657583735962312	0.2001862355175988	0.1657583735962312	6067.0	8598.0	7222.469522261759	True	True	True	14254146.133854508		9026.202331358783	5965.578671476816	1429102.5384379607	Low
WBGene00000051	0.1396472722832539	0.550106870717635	0.1396472722832539	0.550106870717635	9153.0	715.0	2558.201516690974	True	True	True	9987581.97158724		9590.86430527058	7165.022364832283	1001676.5439282323	Low
WBGene00000053	0.9228338142583346	0.462737157478681	0.9228338142583346	0.462737157478681	1405.0	1350.0	1377.2254717365636	True	True	True	555214.7963921622		1721.5754125750575	4556.912217162759	56562.82806355801	Very Low
WBGene00000054	0.3419832712834358	0.6907225882693879	0.3419832712834358	0.6907225882693879	4082.0	214.0	934.6378977978584	True	True	True	1950629.185917304		4216.658016728717	4967.902103948754	196504.6449347498	Very Low
WBGene00000055	0.9507526790094346	0.5170907694162615	0.9507526790094346	0.5170907694162615	1217.0	905.0	1049.46891330806	True	True	True	304226.6412425245		1268.5000436174662	3609.863792022044	31227.94096783689	Very Low
WBGene00000056	0.34976129036992	0.6164322898829703	0.34976129036992	0.6164322898829703	4028.0	437.0	1326.7388590073028	True	True	True	1920738.2766398296		4112.65023870963	5697.747346371851	193634.2345471079	Very Low
WBGene00000057	0.4017189522268573	0.2982167338625285	0.4017189522268573	0.2982167338625285	3723.0	4156.0	3933.546491399333	True	True	True	3797956.504103343		4155.701783266138	7240.889843631054	382116.70420930116	Very Low
WBGene00000058	0.9814468196907477	0.2326092726157686	0.9814468196907477	0.2326092726157686	898.0	5974.0	2316.1718416386984	True	True	True	3874353.244856353		5973.767390727384	6724.121394274041	389624.17335951776	Very Low
WBGene00000059	0.5111946542935772	0.3647739459072137	0.5111946542935772	0.3647739459072137	3247.0	2573.0	2890.4205576351687	True	True	True	2630658.1587357093		3690.6840753098936	6827.415480715677	264988.84307865705	Very Low
WBGene00000060	0.0621531956752307	0.6038206643252695	0.0621531956752307	0.6038206643252695	14541.0	474.0	2625.3445488164025	True	True	True	23413697.51447498		14540.937846804323	7436.878089028885	2345331.7006907356	Medium
