Neuron	pearson_r_strict	spearman_r_strict	abs_pearson_strict	abs_spearman_strict	rank_p_strict	rank_s_strict	rank_product_strict	variance_var_bulk	variance_var_aggr	dynamic_range_dyn_bulk	meta_rank_product	meta_score_mean	meta_score_median	Type	LineageGroup	Functions	RichClubScore	TotalStrength	AvgRelatedness	StrengthImbalance	total_3node_motifs	as_source	as_target	MultifunctionalityScore	is_known_hub	literature_refs	is_novel_candidate
WBGene00003724	0.0110606382575884	0.4035387508111074	0.0110606382575884	0.4035387508111074	17259.0	2014.0	5895.729471405552	33596294.89558076	0.1120914533412153	17258.98893936174	7860.382379423172	3058780.357969198	2014.0											0	False		True
WBGene00003739	-0.0235560850061265	0.3651610411920424	0.0235560850061265	0.3651610411920424	16643.0	2569.0	6538.797060622083	33874001.78479902	0.1120914533412153	17527.023556085005	7941.159318508056	3084111.055195251	2569.0											0	False		True
WBGene00003778	0.012767635448634	0.3947865744365956	0.012767635448634	0.3947865744365956	17168.0	2111.0	6020.103653592685	34233806.938693605	0.1120914533412153	17167.98723236455	8046.323109635528	3116756.479989916	2111.0											0	False		True
WBGene00003808	-0.0105667249641149	0.4523822403211964	0.0105667249641149	0.4523822403211964	17281.0	1450.0	5005.74170328434	34011062.43948272	0.1120914533412153	17281.013979502204	7521.241329143491	3096327.495759144	1450.0											0	False		True
WBGene00003818	0.018302965901309	0.3719419667113413	0.018302965901309	0.3719419667113413	16917.0	2455.0	6444.473213537318	33560689.68652132	0.1120914533412153	17029.981697034098	8165.98148364401	3055609.365045169	2455.0											0	False		True
WBGene00004894	-0.0224702915386634	0.371779067653941	0.0224702915386634	0.371779067653941	16702.0	2459.0	6408.604996409125	32760584.12478399	0.1120914533412153	16949.02247029154	8067.494743210749	2982833.7366039534	2459.0											0	False		True
WBGene00006306	0.0065751424385486	0.5913133040744764	0.0065751424385486	0.5913133040744764	17476.0	526.0	3031.8931379585265	34022273.14734187	0.1120914533412153	17475.993424857563	6702.954218133878	3097044.29963556	526.0											0	False		True
WBGene00006405	0.0085149534213114	0.4043099557323844	0.0085149534213114	0.4043099557323844	17384.0	2005.0	5903.805552353499	35258386.10319815	0.1120914533412153	17594.993185090832	7577.313742334043	3209895.650310836	2005.0											0	False		True
WBGene00006496	0.0270277604335552	0.3602127200178647	0.0270277604335552	0.3602127200178647	16481.0	2657.0	6617.402587118302	32418513.421744443	0.1120914533412153	16719.97417428818	8422.599277347432	2951764.7531232373	2657.0											0	False		True
WBGene00007910	0.9970749363863172	0.0040322800275996	0.9970749363863172	0.0040322800275996	510.0	17529.0	2989.948160085723	32343315.463529784	0.1120914533412153	17529.027256886726	6537.671769388228	2944401.20227473	510.0											0	False		True
